						IRREG	"O = Essential Oil(s) tested
C = Control(s) used (if any)
A = Activity(ies) tested
S = Species being tested
P = Parameters values = number of measurement types T = Time Sol = Solution Or = Origin Stg = Insect Stage ?? = Concentration"	ROTGRID = Columns with a values in it.																	
Article URL	Table URL (Where available)	ID	activity (antimicrobial = antibacterial + antifungal)	activity_method	activity_result	table_no	tabletype_draft (Manny)	notes	tabletype_final (Peter)	table_title	Table_footnote	Abbreviation Key	Col1	Col2	Col3	Col4	Col5	Col6	Col7	Col8	Col9	Col10		Original Article URL	SCHOLARLY.HTML LINK
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4391421/		PMC4391421	anti-microbial	Materials and methods >> Determination of antimicrobial activity	Results and Discussion	2	GRID(O*A*P(4))			Effects of thyme oil against bacteria expressed by the mean ...			Test microorganism	"Amount of essential oil [μL] (5,10,15,20)"	-	-	-							https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4391421/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC4391421/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5080681/		PMC5080681	Anthelmintic	Methods >> Anthelmintic activity	Results>> Anthelmintic activity	2	IRREG(OC*A2*P(5))			Anthelmintic activity of T. bovei essential oil	"* p value <0.05, ** p value ≤ 0.001, and *** p value ≤ 0.0001"		Treatment	Concentration (mg/ml)	Time for paralysis (min) ± SD	Time for death (min) ± SD	-							https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5080681/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5080681/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5080681/		PMC5080681	antimicrobial activity	Methods >> Antimicrobial tests:	Results >> Antibacterial and antifungal activities	4	GRID(O*A*P5)	"The last record in this row is a fungus, the others are bacteria"		Antimicrobial activities of T. bovei essential oil	"The values correspond to the mean and standard deviation of triplicates. Different letters indicate a significant difference (p <0.05). Equation antioxidant activity Y = 4,96x + 18.92."		Microorganism	MIC value (mg/ml) for T. bovei essential oil	-	-	-							https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5080681/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5080681/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5080681/		PMC5080681	Antioxidant activity	Methods >> DPPH radical-scavenging activity	Results >> Antioxidant activity :	3	GRID(O*C*A*P(12))			Percentage inhibition of DPPH activity by T. bovei extract and Trolox			Concentration μg/ml	% inhibition by T. bovei essential oil ± SD	% of inhibition by Trolox ± SD	-	-							https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5080681/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5080681/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132230/		PMC5132230	antimicrobial	Materials and Methods >> Antimicrobial activity  >> Determination of the minimum inhibitory concentration (mic) and minimum bactericidal concentration (mbc); Materials and Methods >> Microorganisms	Results and Discussion >> Microbiological activity of the essential Aeollanthus suaveolens oil   	4	GRID(O*AC*P5)	DMSO (Controle negativo) = no oil. It’s a solvent.		Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) of the essential oil Aeollanthus suaveolens.	ND: Not Detected		Microorganism	MIC (mg.mL -1)	MBC (mg.mL -1)	-	-							https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132230/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5080681/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132230/		PMC5132230	Antioxidant activity	Materials and Methods >> Antioxidant activity	Results and Discussion >> Essential antioxidant activity from Aeollanthus suaveolens essential oil by the DPPH radical capture method	2	GRID(O*A*P6)			Antioxidant activity of Aeollanthus suaveolens essential oil.	The values correspond to the mean and standard deviation of triplicates. Different letters indicate a significant difference (p <0.05).		OE concentrations of A. suaveolens (mg.mL -1)	% AA	-	-	-							https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132230/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5080681/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132230/		PMC5132230	cytotoxicity	Materials and Methods >> Cytotoxic activity with Artemia salina leachg :	Results and Discussion >> Toxicity on Artemia salina essential Aeollanthus suaveolens oil	3	GRID(O*A*P8)			Essential oil toxicity of Aeollanthus suaveolens front of the larvae of A. salina.	The values correspond to the mean and standard deviation of triplicates. Different letters indicate a significant difference (p <0.05).		Concentrations (μg.mL -1)	Mortality%	-	-	-							https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132230/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5080681/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5203915/		PMC5203915	Antibacterial  and Antifungal 	Material and Methods >>  Antibacterial and Antifungal Activity >> Microorganisms Strains and Growth Conditions	[result]	2	APA(O2*C*A2*P6)			"Antibacterial and antifungal activity of essential oils from Rhaponticum carthamoides hairy roots (HR) and roots of soil-grown plants (SGR). The Minimum Inhibitory Concentration (MIC), the Minimum Bactericidal Concentration (MBC), and the Minimum Fungicidal Concentration (MFC) of essential oils were determined using the microdilution assay and are presented in µg/mL."	"aVancomycin; bnorfloxacin; camphotericin B.
Data represent the median values of at least three replicates."		Microorganism	MIC	MBC/MFC	MIC	MBC/MFC	MIC	MBC/MFC					https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5203915/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5203915/scholarly.html
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5203915/		PMC5203915	Antioxidant	Material and Methods >> Radical scavenging activity	[result]	[no]				[table_title]														https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5203915/	https://htmlpreview.github.io/?https://github.com/petermr/CEVOpen/blob/master/searches/oil186/PMC5203915/scholarly.html
