species,frequency,WIKIDATA_ID
Acetobacter aceti,1,Q3604286
Acinetobacter lwoffii,1,Q17097067
Aedes aegypti,2,Q1148004
Aeromonas hydrophila,1,Q2697755
Agrobacterium tumefaciens,1,Q131472
Alternaria alternata,3,Q2704244
Alternaria spp.,1,Q133266
Fusarium spp.,1,Q131672
Anopheles arabiensis,1,Q13853909
Anopheles gambiae,1,Q135237
Anopheles stephensi,1,Q4115863
Aspergillus,1,Q335130
Aspergillus brasiliensis,2,Q10419946
Aspergillus flavus,6,Q137096
Aspergillus fumigates,2,Q134359
Aspergillus nidulans,1,Q683881
Aspergillus niger,10,Q132014
Aspergillus ochraceus,2,Q4807897
Aspergillus spp.,1,Q335130
Bacillus cereus,12,Q131307
Bacillus megaterium,1,Q148703
Bacillus subtilis,11,Q131238
Botrytis cinerea,5,Q1135851
Brochothrix thermosphacta,1,Q3645205
Callosobruchus maculatus,1,Q1633920
Candida albicans,18,Q310443
Candida dubliniensis,1,Q3247005
Candida glabrata,1,Q139137
Candida krusei,2,Q289229
Candida lactis-condensi,1,Q10441553
Candida parapsilosis,1,Q144068
Candida spp.,1,Q131260
Candida tropicalis,4,Q143138
Cladosporium cladosporioides,1,Q5124957
Cladosporium sphaerospermum,1,Q10454504
Clavibacter michiganensis,1,Q2978666
Clostridium perfringens,2,Q309465
Colletotrichum acutatum,1,Q5147068
Colletotrichum fragariae,1,Q5147078
Colletotrichum gloeosporioides,3,Q3683010
Cryptococcus grubii,1,Q309498
Cryptococcus neoformans,3,Q131924
Culex quinquefasciatus,1,Q3007100
Debariomyces hansenii,1,Q10467497
Dickeya solani,1,Q5273669
Enterobacter cloacae,1,Q4038096
Enterobacteriaceae,1,Q380136
Enterococcus faecalis,7,Q140014
Epidermophyton floccosum,1,Q149541
Escherichia coli,33,Q25419
Eucalyptus cinerea,1,Q763431
Fusarium culmorum,1,Q2712591
Fusarium graminearum,3,Q288349
Fusarium moniliforme,1,Q26828071
Fusarium oxysporum,3,Q139958
Fusarium sporotrichioides,1,Q5114748
Fusarium spp.,1,Q131672
Klebsiella pneumonia,4,Q132592
Lasioderma serricorne,1,Q133538
Leishmania amazonensis,1,Q30314626
Leishmania major,1,Q1950715
Liposcelis bostrychophila,1,Q6556765
Listeria ivanovii,1,Q3834924
Listeria monocytogenes,8,Q292015
Listeria plantarum,1,Q746209
Macrophomina phaseolina,1,Q3018557
Micrococcus flavus,2,Q4044201
Micrococcus luteus,3,Q142000
Microsporum canis,3,Q140376
Microsporum gypseum,1,Q10584822
Monilinia fructicola,2,Q6900282
Monilinia fructigena,1,Q1620122
Monilinia laxa,1,Q2313186
Mycobacterium smegmatis,1,Q606230
Neisseria gonorrhea,1,Q131129
Paracoccidioides brasiliensis,1,Q310186
Pectobacterium atrosepticum,1,Q3373933
Pectobacterium carotovorum,1,Q164586
Penicillium citrinum,1,Q10622902
Penicillium corylophilum,1,Q10622912
Penicillium expansum,1,Q147358
Penicillium funiculosum,1,Q1948480
Penicillium ochrochloron,1,Q10623007
Penicillium purpurogenum,1,Q7162871
Penicillium spp.,1,Q843136
Penicillium viridicatum,1,Q22285993
Photobacterium phosphoreum,1,Q7187716
Proteus vulgaris,2,Q2701588
Pseudomonas aeruginosa,23,Q31856
Pseudomonas savastanoi,1,Q309784
Pseudomonas syringae,1,Q311202
Rhipicephalus microplus,1,Q4808965
Rhizoctonia solani,2,Q54363941
Rhizopus stolonifer,1,Q1500736
Rhodotorula mucilaginosa,1,Q10653339
Rhyzopertha dominica,1,Q1312676
Saccharomyces cerevisiae,3,Q719725
Sacharomyces cerevaceae,1,Q719725
Salmonella agona,1,Q12970368
Salmonella choleraesuis,1,Q62897310
Salmonella enterica,3,Q2264864
Salmonella enteritidis,3,Q62897324
Salmonella paratyphi,1,Q62897340
Salmonella spp.,1,Q150839
Salmonella typhimurium,12,Q166491
Sclerotium rolfsii,1,Q148911
Serratia marcescens,1,Q140004
Shigella boydii,1,Q4892937
Shigella dysenteriae,2,Q265094
Shigella sonnei,1,Q6382438
Sitophilus oryzae,1,Q219224
Sitophilus zeamais,1,Q3272137
Spodoptera littoralis,1,Q2453196
Staphylococcus aureus,38,Q188121
Staphylococcus epidermidis,8,Q131915
Streptococcus agalactiae,1,Q132949
Streptococcus mutans,1,Q131452
Streptococcus paeumoniae,1,Q221179
Streptococcus pyogenes,2,Q131271
Streptococcus uberis,1,Q310707
Tiarosporella phaseolina,1,Q3018557
Tribolium castaneum,2,Q837947
Tribolium confusum,1,Q4501895
Trichoderma spp.,1,Q135322
Trichophyton mentagrophytes,2,Q7840903
Trichophyton schoenleinii,1,Q3998699
Trichophyton verrucosum,1,Q2452678
Tricophyton mentagrophytes,1,Q7840903
Trypanosoma brucei,1,Q33244
Verticillium dahliae,1,Q2699339
Vibrio spp.,1,Q753490
Xanthomonas campestris,1,Q3753551
Yersinia enterocolitica,2,Q135177
