PMCID	table_no	table_title	notes	serial   	compound 	percent
PMC4391421	Table 1	Chemical composition of thyme EO		1	4	3
PMC5080681	Table 1	Chemical composition, concentrations (%) and calculated rete ...		.	1	2
PMC5132230	Table 1	Chemical composition of the Aeollanthus suaveolens essential ...		1	4	5
PMC5203915	Table 1	Percentage of composition of essential oils from Rhaponticum ...		1	2	5,6
PMC5237462	Table 1	Major constituents of the essential oils of M. piperita.		1	4	5
PMC5248495	Table 1	Chemical composition of essential oils of Ocimum basilicum v ...		.	1	3,4,5
PMC5282690			no EO composition table.			
PMC5307246			no EO composition table.	.	1	2
PMC5307902	Table 3	Percentage chemical composition of the essential oil from leaves of		.	1	3
PMC5324201	Table 9	Compound composition (% w/w) in the essential oil and water ...	fatty acid table is not included. 	1	3	.
PMC5330108	Table 1	Phytochemical constituents of Mentha piperita essential oil by gas chromatography-mass spectrometry analysis				
PMC5344628	Table 2. 	The main classes of compounds found in the studied essential oils.		.	1	.
PMC5344628	Table 3	The composition of the selected commercial essential oils fr ...				
PMC5364420	Table 1	Chemical composition of essential oil from C. rotundus rhizo ...		.	1	2
PMC5393100	Table 1	Essential oil composition of Pimpinella anisum				
PMC5397855	Table 2	Chemical composition of the garlic essential oil.		1	2	.
PMC5411863	Table 2	Percentage composition of the essential oil of the fruits of ...		1	3	.
PMC5411863	Table 3	The main components of essential oil of K. anatolica Hub.-Mor. from four altitudes				
PMC5412227	Table 1	Chemical composition of the essential oils from the aerial p ...		.	1	3
PMC5412227	Table 2	Comparison of the main components in D. kotschyi essential o ...				
PMC5423258	Table 2	Chemical composition of essential oils of C. decurrens, C. sempervirens and T. articulat a aerial parts		1	4	5
PMC5426739						
PMC5427463	Table 1	Chemical composition of S. officinalis leaves essential oil				
PMC5448358	Table 3	Chemical composition of the essential oil of the aerial part ...		.	1	4
PMC5454990	Table 2	Chemical composition of essential oils of Ocotea species. RI ...		.	1	.
PMC5454990	Table 3	Antimicrobial and cytotoxic activities of Ocotea essential o ...				
PMC5485486	Table 2	Main major compounds of essential oil of Aloysia citriodora ...		1	2	.
PMC5485486	Table 1	Chemical composition after GC-MS analysis of the essential o ...				
PMC5485486	Table 2	Main major compounds of essential oil of Aloysia citriodora ...				
PMC5486035	Table 1	Chemical composition of Pistacia vera L. variety Bronte hull ...		1	3	4
PMC5497343	Table 2	Chemical composition of the essential oils of T. minuta flow ...		1	2	5
PMC5507808	Table 1	Collection data and essential oil yield for the aerial pats ...	Extracted from 3_float_groups			
PMC5507808	Table 4	Composition of the essential oils of Salvia blancoana subsp. ...				
PMC5527698	Table 4	Composition of the essential oils of Salvia blancoana subsp. ...				
PMC5524814	Table 4	Composition of the essential oils of Salvia blancoana subsp. ...		.	2	3
PMC5524814	Table 5	Comparison of the composition found for the essential oils f ...				
PMC5535876			no EO composition table.			
