PMCID	raw_table_number	raw_filename 	raw_table_title	extracted_subtable_name 	matches20191121	matches20191121_notes	matches20191121_compound	matches20191121_percent	original composition	extracted compoisition	error* (optional column)	graphic_table	compound_col_name	percent_col_name 	additional_percent_col_names	notes	FN	FP
PMC4391421	Table 1	table_1.xml	Chemical composition of thyme EO	composition_extracted_1.html					BODY 15 FOOTER 1	BODY 12 FOOTER 0			Constituents*	Area % of total				
PMC5080681	Table 1	table_1.xml	Chemical composition, concentrations (%) and calculated retention indices, of T. bovei essential oil as characterized by GC/MS analysis	composition_extracted_1.html					BODY 27 FOOTER 8	BODY 27 FOOTER 8			Constituents	%				
PMC5132230	Table 1	table_1.xml	Chemical composition of the Aeollanthus suaveolens essential oil.	composition_extracted_1.html					BODY 19 FOOTER 5	Not extracted.			Compounds	Relative Percentage (%)				
PMC5203915	Table 1	table_1.xml	Percentage of composition of essential oils from Rhaponticum carthamoides roots of soil-grown plants (SGR) and hairy roots (HR).	composition_extracted_1.html					BODY 62 FOOTER 6	BODY 62 FOOTER 6			Constituent ; Class of compound		SGR [%] ; HR [%]	Two EO profiles.		
PMC5237462	Table 1	table_1.xml	Major constituents of the essential oils of M. piperita.	composition_extracted_1.html			FN		BODY 11 FOOTER 4	BODY 11 FOOTER 4			Components	Peak Area (%)				
PMC5248495	Table 1	table_1.xml	Chemical composition of essential oils of Ocimum basilicum var.purpureum, Ocium basilicum var. thyrsiflora, Ocimum citriodorum	composition_extracted_1.html			FN		BODY 33 FOOTER 0	BODY 33 FOOTER 0			Chemical components		O. basilicumvar.purpureum,%b ; O. basilicumvar.thyrsiflora,% ; O. xcitriodorum,	Three EO profile.		
PMC5282690	TN								BODY 0 FOOTER 0	Not extracted.								
PMC5307246	TN								BODY 0 FOOTER 0	Not extracted.								
PMC5307902	Table 3	table_3.xml	Percentage chemical composition of the essential oil from leaves of P. amboinicus by gas chromatography-mass spectrometry.	FN	FN		FN	FN	BODY 19 FOOTER 0	Not extracted.		YES	FN	FN		No EO composition is extracted. 	Compounds; Area (%)	
PMC5324201	Table 9	table_9.xml	Compound composition (% w/w) in the essential oil and water ...	composition_extracted_1.html		FP - table:  Proximate composition of Anethum sowa L. Root ; table:  Fatty acid composition of Anethum sowa L. root extract (cold and hot extracts) by GC		FN	BODY 24 FOOTER 1	BODY 25 FOOTER 0			Name of Compounds	FN		Not regular title. Multiple column headers are there. 	Essential oil - Conc. (%); Water extract part - Conc. (%)	
PMC5330108	Table 1	table_1.xml	Phytochemical constituents of Mentha piperita essential oil by gas chromatography-mass spectrometry analysis	FN	FN		FN	FN	BODY 21 FOOTER 0	Not extracted.		YES	FN	FN		No EO composition is extracted. 	Compound name; Peak area (%)	
PMC5344628	Table 3	table_3.xml	The composition of the selected commercial essential oils fr ...	composition_extracted_1.html				FN	BODY 26 FOOTER 0	BODY 26 FOOTER 0			Chemical Compound	FN		Title is not regular.	Thyme; Clove; Rosemary; Tea Tree	
PMC5364420	Table 1	table_1.xml	Chemical composition of essential oil from C. rotundus rhizo ...	composition_extracted_1.html					BODY 59 FOOTER 0	BODY 59 FOOTER 0			Compounds	Percentage (%)				
PMC5393100	Table 1	table_1.xml	Essential oil composition of Pimpinella anisum  fruit	FN	FN		FN	FN	BODY 19 FOOTER 05	Not extracted.		YES	FN	FN		EO composition is not extracted.	Compound ; Area percentage A1	
PMC5397855	Table 2	table_2.xml	Chemical composition of the garlic essential oil.	composition_extracted_1.html					BODY 14 FOOTER 0	BODY 14 FOOTER 0			Compound			 		
PMC5411863	Table 2	table_2.xml	Percentage composition of the essential oil of the fruits of K.anatolica Hub.-Mor.	composition_extracted_1.html		FP - table:  The main components of essential oil of K. anatolica Hub.-Mor. from four altitudes	FN	FN	BODY 55 FOOTER 8	BODY 55* FOOTER 0	extra records - percentage. 		Component	FN		Titles are alphabets. Multiple column header.Two tables are in articles.	% ( subheaders are A; B; C; D)	
PMC5411863	Table 3	table_3.xml	The main components of essential oil of K. anatolica Hub.-Mor. from four altitudes	composition_extracted_2.html			FN	FN	BODY 05 FOOTER 0	BODY 05* FOOTER 0	Total - into main body.		Chemical Component	FN		Titles are alphabets. Multiple column header. Two EO tables in article.	% ( subheaders are A; B; C; D)	
PMC5412227	Table 1	table_1.xml	Chemical composition of the essential oils from the aerial p ...	composition_extracted_1.html					BODY 48 FOOTER 01	BODY 48 FOOTER 0*	Total - into main body.		Compounds	Relative content (%)		Two EO tables are reported.		
PMC5412227	Table 2	table_2.xml	Comparison of the main components in D. kotschyi essential oils from other studies and this study	composition_extracted_2.html					BODY 06 FOOTER 0	BODY 06 FOOTER 0			Major constituents			Two EO tables are reported.		
PMC5423258	Table 2	table_2.xml	Chemical composition of essential oils of C. decurrens, C. sempervirens and T. articulata aerial parts	composition_extracted_1.html					BODY 32 FOOTER 0	BODY 32 FOOTER 0			Compound	Percentage (%)				
PMC5426739	TN								Not extracted.	Not extracted.						fatty acida composition.		
PMC5427463	Table 1	table_1.xml	Chemical composition of S. officinalis leaves essential oil	FN	FN				BODY 49 FOOTER 07	Not extracted.		YES	FN	FN		EO table is not extracted. 	Compound name ; Peak area (%)	
PMC5448358	Table 3	table_3.xml	Chemical composition of the essential oil of the aerial part ...	composition_extracted_1.html			FN		BODY 61 FOOTER 01	BODY 61 FOOTER 1			Components	Content (%)				
PMC5454990	Table 2	table_2.xml	Chemical composition of essential oils of Ocotea species. RICalc, calculated retention index; RILit, literature retention index.	composition_extracted_1.html				FN	BODY 104 FOOTER 0	BODY 104 FOOTER 0			Constituents	FN		Titles are not regular.	Cau-L; Cau-B ; Cuj-L; Cuj-B ; Can-L ; Can-B	
PMC5485486	Table 1	table_1.xml	Chemical composition after GC-MS analysis of the essential o ...	composition_extracted_1.html			FN		BODY 72 FOOTER 0	BODY 72 FOOTER 0			Componenta		% AGc ; % BMd ; % BEe ; % DEf ; % MAg	Two EO tables are there. Five EO profiles.		
PMC5485486	Table 2	table_2.xml	Main major compounds of essential oil of Aloysia citriodora analyzed by GC- MS.	composition_extracted_2.html			FN		BODY 05 FOOTER 0	BODY 05 FOOTER 0	compound - not extracted.		FN		% AGa ; % BMb ; % BEc ; % DEd ; % MAe	Two EO tables are there. Five EO profiles.	Molecules	
PMC5486035	Table 1	table_1.xml	Chemical composition of Pistacia vera L. variety Bronte hull ...	composition_extracted_1.html					BODY 42 FOOTER 4	BODY 42 FOOTER 0*			Compound	Areab(%)				
PMC5497343	Table 2	table_2.xml	Chemical composition of the essential oils of T. minuta flow ...	composition_extracted_1.html					BODY 98 FOOTER 2	BODY 98 FOOTER 0			Chemical constituents	% Composition				
PMC5507808	Table 1		Chemical composition of essential oil of Pimenta racemosa investigated	FN	FN		FN	FN	BODY 24 FOOTER 1	Not extracted.			FN	FN		Extracted into 3_floats-group section.	Components ; Percentage (%)	
PMC5524814	Table 4	table_4.xml	Composition of the essential oils of Salvia blancoana subsp. ...	composition_extracted_1.html					BODY 15 FOOTER 7	BODY 15 FOOTER 0*	Compound - not extracted.		Constituentsc	Percentage in the essential oilsd		Two EO composition tables are there.		
PMC5524814	Table 5	table_5.xml	Comparison of the composition found for the essential oils f ...	FN	FN		FN	FN	BODY 12 FOOTER 0	Not extracted.			FN	FN		Titles are not regular. Two EO composition tables.	Component a , b ; S. blancoana subsp. mariolensis and S. × hegelmaieri and S. officinalis subsp. lavandulifolia	
PMC5527698	Table 1	table_1.xml	Chemical composition of Mentha piperita essential oil	FN	FN		FN	FN	BODY 15 FOOTER 7	Not extracted.		YES	FN	FN		EO table is not extracted. 	Constituents ; Picsaera ( %) 	
PMC5535876	TN																	
PMC5543433	Table 1	table_1.xml	Chemical composition of essential oil isolated by hydrodisti ...	composition_extracted_1.html			FN		BODY 21 FOOTER 4	BODY 21 FOOTER 4			aComponents	d%				
PMC5546729	Table 1	table_1.xml	The essential oil composition of Iranian and Indian Nigella ...	composition_extracted_1.html					BODY 16 FOOTER 0	BODY 16 FOOTER 0			Compound		SFE, % ; Hex, % ; Met, % ; Hex/Met, %	Multiple profiles of EO. Four EO profiles.		
PMC5551175	Table 1	table_1.xml	Chemical composition of the essential oils from Azadirachta ...	composition_extracted_1.html			FN		BODY 161 FOOTER 9	BODY 161 FOOTER 09			Componenta	%d				
PMC5568258	Table 1	table_1.xml	Essential oil components identified by GC-MS and GC/FID	FN	FN		FN	FN	BODY 12 FOOTER 5	BODY 12 FOOTER 5			FN	FN		No composition is extracted.	Compound ; Essential Oil (%)	
PMC5569441	Table 1	table_1.xml	Chemical composition of cinnamon in the essential oil of cin ...	composition_extracted_1.html					BODY 15 FOOTER 1	BODY 15 FOOTER 1			Compound	Concentration (%)				
PMC5575638	Table 2	table_2.xml	Essential oil compositions of garlic ( Allium sativum) obtai ...	FN	FN		FN	FN	BODY 40 FOOTER 2	Not extracted.			FN	FN		Two EO tables are there.  Multiple column headers.	Compound ; Percent Composition ( Clevenger-Type Hydrodistillation; Industrial Steam Distillation ; Industrial Hydrodistillation ). 	
PMC5575638	Table 3	table_3.xml	Essential oil compositions of wild garlic ( Allium vineale) ...	FN	FN		FN	FN	BODY 31 FOOTER 3	Not extracted.			FN	FN		No mapping of columns are there. Two EO tables are there.	Compound ; Percent Composition	
PMC5577677	TN															NO EO for plants.		
PMC5585972	Table 3	table_3.xml	Chemical composition of the cinnamon essential oil	composition_extracted_2.html					BODY 2 FOOTER 0	Not extracted.			Compound	% composition		Two EO composition tables are there.		
PMC5585972	Table 4	table_4.xml	Chemical composition of clove essential oil	composition_extracted_2.html					BODY 5 FOOTER 0	Not extracted.			Compound	% composition		Two EO composition tables are there.		
PMC5590060	Table 1	table_1.xml	Composition of E. foetidum essential oils.	composition_extracted_1.html			FN	FN	BODY 34 FOOTER 5	Not extracted.			Compounds	%		 		
PMC5590062	Table 1	table_1.xml	Composition of the essential oils from the leaves of A. scha ...	composition_extracted_1.html					BODY 35 FOOTER 7	BODY 35 FOOTER 7			Compounds	%				
PMC5590063	Table 1	table_1.xml	Identification of constituents of the essential oil from lea ...	FN			FN	FN	BODY 79 FOOTER 1	Not extracted.			FN	FN		No composition is extracted. Multiple column header.	Compound a ; Content (as % of Total Oil) + SD	
PMC5590065	Table 1	table_1.xml	Composition of A. danielli essential oils.	composition_extracted_1.html					BODY 40 FOOTER 0 	BODY 40 FOOTER 0 			Compound		Leaf (%) ; Stem (%) ; Seed (%) ; Rhizome (%) ; Pod (%) ; 	Two EO tables are there. Five EO profiles.		
PMC5590065	Table 2	table_2.xml	Percentage composition of classes of compounds in A. danielli essential oils.	composition_extracted_2.html					BODY 09 FOOTER 0	Not extracted.			Compound Class		Leaf (%) ; Stem (%) ; Seed (%) ; Rhizome (%) ; Pod (%)	Two EO tables are there. Five EO profiles.		
PMC5590066	Table 1	table_1.xml	Chemical composition of EO of wild Achillea millefolium L. ( ...	composition_extracted_1.html					BODY 43 FOOTER 5	BODY 43 FOOTER 5			Compounds	(%)c				
PMC5590067	Table 2	table_2.xml	Chemical composition of the essential oil of Z. monogynum.	composition_extracted_1.html					BODY 18 FOOTER 1	BODY 18 FOOTER 1			Compound	%				
PMC5590070	Table 1	table_1.xml	Chemical composition of T. vulgare essential oil from northe ...	composition_extracted_1.html		FP - table:  Anti-inflammation, antioxidant, antibacterial, and cytotoxic activities of T. vulgare essential oil and its main constituents			BODY 58 FOOTER 1	BODY 59* FOOTER 1*			Identified Compounds	Relative CONCENTRATION (%)				
