PMC4391421	Materials and methods	Romania
PMC5080681	Collecting and preparing plant materials	Palestine
PMC5132230	Plant material	Brazil
PMC5203915		
PMC5237462	 Collection of Plant Material	Brazil
PMC5248495	Plant material	Armenia
PMC5282690	Plant material	Morocco
PMC5307246	Plant Material	Sudan
PMC5307902	Plant material	Brazil
PMC5324201	Plant material	 Bangladesh
PMC5330108	Preparation of essential oil	India
PMC5344628		
PMC5364420	Plant materials	China
PMC5393100		
PMC5397855	Garlic essential oil	 Brasil
PMC5411863	Plant Material	Turkey
PMC5412227	Plant material	Iran
PMC5423258	Plant materials	Egypt
PMC5426739	Materials	Iran
PMC5427463	Plant material	Tunisia
PMC5448358	Plant material	Republic of Congo
PMC5454990	Plant Material	Brazil
PMC5485486	Plant Material	Morocco
PMC5486035	 Plant Material and Isolation of Essential Oil	Italy
PMC5497343	Plant material	South Africa
PMC5507808	Collection of Plant Leaves	Republic of Benin
PMC5524814	Plant material	Spain
PMC5527698	Plant material	Morocco
PMC5535876	Efficacy of Argan Oil on Pain, Metabolic Syndrome and Oxidative Stress in Rheumatology and Nephrology Patients 	Morocco
PMC5543433	Collection of plant material	Tunisia
PMC5546729	Materials and methods	Iran
PMC5551175	Plant Material	Cameroon
PMC5568258	Plant material and essential oil extraction	Brazil
PMC5569441	Materials	 Iran
PMC5575638	Plant Material	Spain
PMC5575638		
PMC5577677	Collection of essential oils	 Tanzania
PMC5585972	Plant Sample	Nigeria
PMC5590060	Plant Material	Brazil
PMC5590062	Plant Materials	Brazil
PMC5590063	Plant Sample	 Nigeria
PMC5590065	Plant Material	France
PMC5590066	Plant Material	Brazil
PMC5590067	Plant Material and Extraction of Essential Oil	Canada.
PMC5590070		
PMC5592951	Materials	 China
PMC5597067	Essential oils	Egypt
PMC5602041	Plant material	Brazil
PMC5602841	Plant Material	Brazil
PMC5603114	Materials and methods	Egypt
PMC5613177	Plant material: identification and collection	Nigeria
PMC5615139	Plant Material	 Tajikistan
PMC5615285	 Cultivation Conditions and Plant Material	Kefalonia
PMC5620597	Essential Oils	Mexico
PMC5622382	Plant Material	Brazil
PMC5622390	Material and Methods	Brazil
PMC5622397	Essential Oil Extracted from Rosemary (R EO) 	Spain
PMC5622398	Plant Material	Dudai
PMC5622398	Chemical Composition of Essential oils of Artemisia Species 	 Iran, India, China
PMC5622398	Essential oil	Tunisia
PMC5622398	Collection of Plant material and extraction of essential oil	 India
PMC5622398	Essential Oil	 Brazil 
PMC5622401	Plant material and EOs preparation. 	Iran 
PMC5622403	Methods	Java
PMC5625792	Plant collection	Tunisia
PMC5641611	Materials	 Italy
PMC5651092	Plant material	Libya
PMC5653886	Plant material	Iran
PMC5660901		
PMC5661929	Preparation of Essential Oils	China
PMC5668225	Plant Material	Brazil
PMC5669080		
PMC5669111	Collection and Preparing Plant Materials	Palestine
PMC5674267	Sample collection and preparation	Nigeria
PMC5684592	 Plant Material	Iran
PMC5694497		
PMC5694587	Crop Experimental Design	Morocco
PMC5694611		
PMC5694875	THE GEOGRAPHICAL DISTRIBUTION OF ECHINOPHORA GENUS IN IRAN 	Iran
PMC5694991	Collection of the Plant Material	Romania
PMC5699893	Collection of Samples	Nigeria
PMC5702407	Extraction of essential oil from the leaves of L. erythrocarpa	Korea
PMC5702920		
PMC5717781	Material	Iran
PMC5723952	Plant material and sample preparation	 China
PMC5725564	Plant Material	 Spain
PMC5735349	Materials	 Italy
PMC5736702	Plant Material	Brazil
PMC5742650	Essential Oil	Ecuador
PMC5745743	Plant Material	India
PMC5746745	Materials	Italy
PMC5747963		
PMC5748641	Plant material	Tunisia
PMC5750594		
PMC5750605	MATERIALS AND METHODS	 Iran
PMC5750654	Plant material	Egypt
PMC5751248	Materials and Methods	Iran
PMC5761127	 Materials and Methods	Italy
PMC5772139		
PMC5778200	Red propolis sample collection and essential oil preparation	Brazil 
PMC5778779	Plant Material and Extraction of Essential Oil	Brazil
PMC5788217	Nepeta cataria production	 Burundi 
PMC5789270	Plant material	Mexico
PMC5789316	Chemicals and media	USA
PMC5794096	Plant material and preparation of essential oil	Iran
PMC5795983	Plant material	Tunisia
PMC5797122	Plant material	Mexico
PMC5806308	Plant material	Iran
PMC5807769	Plant material and essential oil extraction	Tunisia
PMC5811758	Plant material and essential oil extraction	Iran
PMC5813356	Materials	Lesvos Island
PMC5822514		
PMC5830750	Material	Cameroon
PMC5838999		
PMC5842484	Preparation and analysis of AEO	Iran
PMC5846372	Material	Cameroon
PMC5848570	Argan Oil	Morocco
PMC5849894	MATERIALS AND METHODS	Iran
PMC5849899	Collection of Plant Materials	India
PMC5849928	Collection and Preparation of Cleistocalyx operculatus Essential Oil 	Vietnam
PMC5852288	Collection of Pumpkin Samples	Italy
PMC5855832		
PMC5858069	Plant Material and Preparation of the Essential Oils and Extracts	 Iran
PMC5858457	Essential Oil Preparation	 Iran
PMC5859817		
PMC5867545	Plant material	Mexico
PMC5867556		
