CID	Compound	WIKIDATA_query_id	notes	cmpdname	cmpdsynonym	mw	mf	polararea	complexity	xlogp	heavycnt	hbonddonor	hbondacc	rotbonds	inchikey	iupacname	meshheadings	annothits	annothitcnt	aids	cidcdate	dois
264	butanoic acid	butyric acid (Q193213)		Butyric acid	butyric acid|butanoic acid|n-Butyric acid|107-92-6|n-Butanoic acid|propylformic acid|ethylacetic acid|1-propanecarboxylic acid|Butanic acid|butyrate|1-Butyric acid|Buttersaeure|butanoate|Kyselina maselna|Butyric acid (natural)|Propanecarboxylic acid|Buttersaeure [German]|1-butanoic acid|FEMA Number 2221|Kyselina maselna [Czech]|FEMA No. 2221|CCRIS 6552|HSDB 940|butoic acid|Ethyacetic Acid|2-butanoate|NSC 8415|UNII-40UIR9Q29H|UN2820|MFCD00002814|AI3-15306|EINECS 203-532-3|BRN 0906770|CH3-[CH2]2-COOH|40UIR9Q2	88.11	C4H8O2	37.3	49.5	0.8	6	1	2	2	FERIUCNNQQJTOY-UHFFFAOYSA-N	butanoic acid	Butyric Acid	131070	16	155,157,161,165,167,175,192,200,206,212,220,256,264,274,276,296,330,1201,3329,23251,23252,23253,23254,23255,23256,41060,41062,81291,81447,94965,95143,95754,154429,217956,237685,336938,336939,344916,344917,347392,347396,347397,347403,347410,347412,347413,360149,360150,360151,410585,412897,412899,416474,416475,447579,498773,498776,569928,569929,569930,569931,569932,569933,569934,569935,569936,569937,569944,624611,624613,651631,651632,651633,651634,682070,720516,720552,720634,720635,720637,720674,720675,720678	20040916	/s0716-97602010000100005|10.1001/archophthalmol.2009.64|10.1001/archsurg.140.12.1184|10.1001/archsurg.1989.01410010099020|10.1001/archsurg.1991.01410280069010|10.1001/archsurg.2010.102|10.1002/(sici)1096-9071(199706)52:2&lt;179::aid-jmv11&gt;3.0.co;2-g|10.1002/(sici)1096-9071(199706)52:2&lt;179::aid-jmv11&gt;3.3.co;2-y|10.1002/(sici)1097-0215(19960904)67:5&lt;715::aid-ijc21&gt;3.0.co;2-2|10.1002/(sici)1097-0215(19960904)67:5&lt;724::aid-ijc22&gt;3.0.co;2-3|10.1002/(sici)1097-0215(19970904)72:5&lt;898::aid-i
323	cumarin	coumarin (Q111812) : CumarinLow German 		Coumarin	coumarin|91-64-5|2H-Chromen-2-one|2H-1-Benzopyran-2-one|1,2-Benzopyrone|cumarin|Rattex|Tonka bean camphor|Coumarinic anhydride|chromen-2-one|Coumarine|Benzo-alpha-pyrone|cis-o-Coumarinic acid lactone|o-Hydroxycinnamic acid lactone|o-Hydroxycinnamic lactone|2-Oxo-1,2-benzopyran|Coumarinic lactone|Kumarin|Benzo-a-pyrone|Kumarin [Czech]|5,6-Benzo-2-pyrone|2H-1-Benzopyran, 2-oxo-|5,6-Benzo-alpha-pyrone|2H-Benzo(b)pyran-2-one|2H-Benzo[b]pyran-2-one|1-Benzopyran-2-one|Caswell No. 259C|o-Coumaric acid lactone|o-Hy	146.14	C9H6O2	26.3	196	1.4	11	0	2	0	ZYGHJZDHTFUPRJ-UHFFFAOYSA-N	chromen-2-one	NULL	131038	15	1,3,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,39,45,47,49,51,53,55,57,59,63,65,67,69,71,73,75,77,79,81,99,101,103,105,107,109,113,119,121,123,125,129,133,135,137,139,141,143,145,179,192,200,212,220,222,226,248,256,268,270,302,316,328,330,421,426,427,433,434,435,445,485,530,540,541,542,543,544,545,546,584,585,595,596,603,605,608,631,654,655,656,657,658,659,660,661,662,663,664,665,666,667,731,757,758,759,760,761,764,775,781,782,793,797,798,799,800,803,804,817,818,827,828,841,861,862,868,871,873,875,878,880,8	20040916	10.1001/archderm.122.12.1408|10.1001/archderm.129.6.753|10.1001/archderm.129.6.766|10.1001/archderm.1954.01540200095010|10.1001/archderm.1955.01540250016004|10.1001/archderm.1955.03730350060011|10.1001/archderm.1956.01550070011003|10.1001/archderm.1957.01550150128021|10.1001/archderm.1958.01560050009002|10.1001/archderm.1958.01560110043006|10.1001/archderm.1959.01560190055007|10.1001/archderm.1986.01660240072019|10.1001/archderm.1993.01680270091012|10.1001/archderm.1993.01680270104015|10.1001/archinte.163.2
325	para-cymen-7-ol			4-Isopropylbenzyl alcohol	4-isopropylbenzyl alcohol|Cumic alcohol|Cuminol|cuminyl alcohol|536-60-7|(4-Isopropylphenyl)methanol|cuminic alcohol|Cumyl alcohol|p-Cymen-7-ol|CUMIN ALCOHOL|p-Isopropylbenzyl alcohol|p-cumic alcohol|Benzenemethanol, 4-(1-methylethyl)-|4-(1-Methylethyl)benzenemethanol|Benzyl alcohol, p-isopropyl-|para-cymen-7-ol|Cuminylalcohol|[4-(Propan-2-Yl)Phenyl]Methanol|NSC 15672|p-cymene-7-ol|UNII-V261W8XR62|p-Cumin-7-ol|FEMA No. 2933|p-ISOPROPYL BENZYL ALCOHOL|4-(1-methylethyl)benzene methanol|4-(1-methylethyl)-benze	150.22	C10H14O	20.2	101	2.3	11	1	1	2	OIGWAXDAPKFNCQ-UHFFFAOYSA-N	(4-propan-2-ylphenyl)methanol	NULL	130910	14	1201,485350,485395,493033,504770,540299,588519,651631,651632,651633,651634,720516,720552,720634,720635,720637,720641,720674,720675,720678,720679,720680,720681,720682,720683,720684,720685,720686,720687,720691,720692,720693,720719,720725,743012,743014,743015,743033,743035,743036,743040,743041,743042,743053,743054,743063,743064,743065,743066,743067,743069,743074,743075,743077,743078,743079,743080,743081,743083,743084,743085,743086,743091,743094,743122,743139,743140,743191,743194,743199,743202,743203,743209,743	20050326	10.1002/rcm.4845|10.1007/978-0-85729-323-7_1990|10.1007/978-0-85729-323-7_993|10.1007/978-1-4684-4142-0_18|10.1007/978-1-4899-3312-6_9|10.1007/978-3-030-16546-8_14|10.1007/978-3-0348-6808-2_4|10.1007/978-3-319-14021-6_10|10.1007/978-3-319-26065-5_20|10.1007/978-3-319-48765-6_46|10.1007/978-3-319-68717-9_19|10.1007/978-3-540-49339-6_4|10.1007/978-3-642-18659-2_20|10.1007/978-3-642-47350-0_339|10.1007/978-3-642-47350-0_340|10.1007/978-3-642-51421-0_3|10.1007/978-3-642-51979-6_46|10.1007/978-3-642-51979-6_86|1
325	p-cymen-7-ol			4-Isopropylbenzyl alcohol	4-isopropylbenzyl alcohol|Cumic alcohol|Cuminol|cuminyl alcohol|536-60-7|(4-Isopropylphenyl)methanol|cuminic alcohol|Cumyl alcohol|p-Cymen-7-ol|CUMIN ALCOHOL|p-Isopropylbenzyl alcohol|p-cumic alcohol|Benzenemethanol, 4-(1-methylethyl)-|4-(1-Methylethyl)benzenemethanol|Benzyl alcohol, p-isopropyl-|para-cymen-7-ol|Cuminylalcohol|[4-(Propan-2-Yl)Phenyl]Methanol|NSC 15672|p-cymene-7-ol|UNII-V261W8XR62|p-Cumin-7-ol|FEMA No. 2933|p-ISOPROPYL BENZYL ALCOHOL|4-(1-methylethyl)benzene methanol|4-(1-methylethyl)-benze	150.22	C10H14O	20.2	101	2.3	11	1	1	2	OIGWAXDAPKFNCQ-UHFFFAOYSA-N	(4-propan-2-ylphenyl)methanol	NULL	130910	14	1201,485350,485395,493033,504770,540299,588519,651631,651632,651633,651634,720516,720552,720634,720635,720637,720641,720674,720675,720678,720679,720680,720681,720682,720683,720684,720685,720686,720687,720691,720692,720693,720719,720725,743012,743014,743015,743033,743035,743036,743040,743041,743042,743053,743054,743063,743064,743065,743066,743067,743069,743074,743075,743077,743078,743079,743080,743081,743083,743084,743085,743086,743091,743094,743122,743139,743140,743191,743194,743199,743202,743203,743209,743	20050326	10.1002/rcm.4845|10.1007/978-0-85729-323-7_1990|10.1007/978-0-85729-323-7_993|10.1007/978-1-4684-4142-0_18|10.1007/978-1-4899-3312-6_9|10.1007/978-3-030-16546-8_14|10.1007/978-3-0348-6808-2_4|10.1007/978-3-319-14021-6_10|10.1007/978-3-319-26065-5_20|10.1007/978-3-319-48765-6_46|10.1007/978-3-319-68717-9_19|10.1007/978-3-540-49339-6_4|10.1007/978-3-642-18659-2_20|10.1007/978-3-642-47350-0_339|10.1007/978-3-642-47350-0_340|10.1007/978-3-642-51421-0_3|10.1007/978-3-642-51979-6_46|10.1007/978-3-642-51979-6_86|1
326	cuminaldehyde	cuminaldehyde (Q419952)		4-Isopropylbenzaldehyde	4-isopropylbenzaldehyde|cuminaldehyde|122-03-2|cuminic aldehyde|cumaldehyde|cuminal|p-cumic aldehyde|Cumic aldehyde|Cuminyl aldehyde|Benzaldehyde, 4-(1-methylethyl)-|P-ISOPROPYLBENZALDEHYDE|p-Isopropylbenzenecarboxaldehyde|Benzaldehyde, p-isopropyl-|4-(1-Methylethyl)benzaldehyde|P-isopropyl benzaldehyde|p-Cuminic aldehyde|4-(Propan-2-Yl)Benzaldehyde|4-(Methylethyl)benzaldehyde|4-Isopropylbenzenecarboxylate|4-Isopropyl-benzaldehyde|NSC 4886|MFCD00006953|UNII-O0893NC35F|FEMA No. 2341|EINECS 204-516-9|4-propan	148.2	C10H12O	17.1	121	2.7	11	0	1	2	WTWBUQJHJGUZCY-UHFFFAOYSA-N	4-propan-2-ylbenzaldehyde	NULL	65374	13	155,157,161,165,167,175,1188,213388,293934,468443,651631,651632,651633,651634,720516,720552,720634,720635,720637,720674,720675,720678,720679,720680,720681,720682,720683,720684,720685,720686,720687,720691,720692,720693,720719,720725,743012,743014,743015,743033,743035,743036,743040,743041,743042,743053,743054,743063,743064,743065,743066,743067,743069,743074,743075,743077,743078,743079,743080,743081,743083,743084,743085,743086,743091,743094,743122,743139,743140,743191,743194,743199,743202,743203,743209,743210,	20050326	10.1002/cbdv.200590038|10.1002/cbdv.201700058|10.1002/jsfa.4513|10.1002/ps.1993|10.1002/ptr.2374|10.1007/0-306-46864-6_28|10.1007/0-306-46880-8_49|10.1007/10468797_10|10.1007/10735542_826|10.1007/3-540-27331-X_14|10.1007/978-0-387-70638-2_1790|10.1007/978-0-85729-323-7_124|10.1007/978-0-85729-323-7_144|10.1007/978-0-85729-323-7_2574|10.1007/978-1-4613-2958-9_30|10.1007/978-1-4614-4310-0_22|10.1007/978-1-4615-2371-0_3|10.1007/978-1-4615-4815-7_4|10.1007/978-1-4615-5871-2_25|10.1007/978-1-4615-7685-3_12|10.10
326	cuminal	cuminaldehyde (Q419952) : cuminal		4-Isopropylbenzaldehyde	4-isopropylbenzaldehyde|cuminaldehyde|122-03-2|cuminic aldehyde|cumaldehyde|cuminal|p-cumic aldehyde|Cumic aldehyde|Cuminyl aldehyde|Benzaldehyde, 4-(1-methylethyl)-|P-ISOPROPYLBENZALDEHYDE|p-Isopropylbenzenecarboxaldehyde|Benzaldehyde, p-isopropyl-|4-(1-Methylethyl)benzaldehyde|P-isopropyl benzaldehyde|p-Cuminic aldehyde|4-(Propan-2-Yl)Benzaldehyde|4-(Methylethyl)benzaldehyde|4-Isopropylbenzenecarboxylate|4-Isopropyl-benzaldehyde|NSC 4886|MFCD00006953|UNII-O0893NC35F|FEMA No. 2341|EINECS 204-516-9|4-propan	148.2	C10H12O	17.1	121	2.7	11	0	1	2	WTWBUQJHJGUZCY-UHFFFAOYSA-N	4-propan-2-ylbenzaldehyde	NULL	65374	13	155,157,161,165,167,175,1188,213388,293934,468443,651631,651632,651633,651634,720516,720552,720634,720635,720637,720674,720675,720678,720679,720680,720681,720682,720683,720684,720685,720686,720687,720691,720692,720693,720719,720725,743012,743014,743015,743033,743035,743036,743040,743041,743042,743053,743054,743063,743064,743065,743066,743067,743069,743074,743075,743077,743078,743079,743080,743081,743083,743084,743085,743086,743091,743094,743122,743139,743140,743191,743194,743199,743202,743203,743209,743210,	20050326	10.1002/cbdv.200590038|10.1002/cbdv.201700058|10.1002/jsfa.4513|10.1002/ps.1993|10.1002/ptr.2374|10.1007/0-306-46864-6_28|10.1007/0-306-46880-8_49|10.1007/10468797_10|10.1007/10735542_826|10.1007/3-540-27331-X_14|10.1007/978-0-387-70638-2_1790|10.1007/978-0-85729-323-7_124|10.1007/978-0-85729-323-7_144|10.1007/978-0-85729-323-7_2574|10.1007/978-1-4613-2958-9_30|10.1007/978-1-4614-4310-0_22|10.1007/978-1-4615-2371-0_3|10.1007/978-1-4615-4815-7_4|10.1007/978-1-4615-5871-2_25|10.1007/978-1-4615-7685-3_12|10.10
454	octanal	caprylaldehyde (Q416673) : n-octanal		Octanal	Octanal|Caprylaldehyde|n-Octanal|Caprylic aldehyde|124-13-0|1-octanal|n-Octyl aldehyde|n-Octaldehyde|n-Caprylaldehyde|Octanaldehyde|n-Octylal|Aldehyde C-8|Octanoic aldehyde|OCTYLALDEHYDE|C-8 aldehyde|Octaldehyde|Octyl aldehyde|1-Octylaldehyde|1-Octaldehyde|1-Caprylaldehyde|n-Octanaldehyde|Antifoam-LF|Aldehyde C8|Oktylaldehyd|Oktanal|Octanal, tech.|Octanal (natural)|Octylaldehyd|Kaprylaldehyd|Caprylaldehyd|Octyl aldehydes|NSC 1508|MFCD00007029|UNII-XGE9999H19|FEMA No. 2797|HSDB 5147|ALDEHIDO C-8|EINECS 204-6	128.21	C8H16O	17.1	59.6	NULL	9	0	1	6	NUJGJRNETVAIRJ-UHFFFAOYSA-N	octanal	NULL	98270	14	1201,1576,155162,651631,651632,651633,651634,720516,720552,720634,720635,720637,720674,720675,720678,720679,720680,720681,720682,720683,720684,720685,720686,720687,720691,720692,720693,720719,720725,743012,743014,743015,743033,743035,743036,743040,743041,743042,743053,743054,743063,743064,743065,743066,743067,743069,743074,743075,743077,743078,743079,743080,743081,743083,743084,743085,743086,743091,743094,743122,743139,743140,743191,743194,743199,743202,743203,743209,743210,743211,743212,743213,743215,74321	20040916	10.1002/adic.200590045|10.1002/ajmg.a.32255|10.1002/anie.200601910|10.1002/arch.20427|10.1002/bip.20342|10.1002/bit.20089|10.1002/btpr.517|10.1002/chem.200902635|10.1002/elps.200900394|10.1002/ijc.24970|10.1002/jps.1095|10.1002/jsfa.4122|10.1002/jsfa.4126|10.1002/jssc.200900281|10.1002/mnfr.200500229|10.1002/pca.1068|10.1002/ps.3597|10.1002/psc.1177|10.1006/bbrc.2001.5014|10.1007/0-306-47816-1_3|10.1007/0-387-24980-X_17|10.1007/10_2014_281|10.1007/10757146_5|10.1007/12_2011_137|10.1007/12_2015_347|10.1007/1
798	indol	indole (Q319541) : Indol		Indole	indole|1H-Indole|120-72-9|Indol|2,3-Benzopyrrole|1-Benzazole|Ketole|1-Azaindene|Benzopyrrole|2,3-Benzopyrole|Caswell No. 498B|Indol [German]|Indole (natural)|1-Benzo(b)pyrrole|FEMA No. 2593|HSDB 599|CCRIS 4421|EPA Pesticide Chemical Code 025000|Benzo[b]pyrrole|UNII-8724FJW4M5|1H-Benzo[b]pyrrole|AI3-01540|NSC 1964|EINECS 204-420-7|MFCD00005607|CHEMBL15844|CHEBI:16881|SIKJAQJRHWYJAI-UHFFFAOYSA-N|8724FJW4M5|NCGC00167539-01|Indole, 99+%|DSSTox_CID_737|DSSTox_RID_75761|DSSTox_GSID_20737|IND|CAS-120-72-9|benzazol	117.15	C8H7N	15.8	101	2.1	9	1	0	0	SIKJAQJRHWYJAI-UHFFFAOYSA-N	1H-indole	NULL	131038	15	155,157,161,165,167,175,1189,1199,1471,1490,1688,1766,1768,2528,2546,2551,2662,19262,23454,23714,23978,34005,54188,54189,56359,73213,73214,99593,99595,203473,220591,236904,237685,238119,281482,281483,281484,288184,288192,332912,343398,343680,475504,475505,475506,475507,475508,492961,504327,504332,504749,504832,504834,504847,504865,571750,571751,571752,571753,571754,571755,588579,588834,602332,624030,624031,624032,624044,624170,624172,624173,624296,624297,644084,644085,644086,644087,644088,651631,651632,6516	20040916	10.1001/archderm.1948.01520210101015|10.1001/archpsyc.1959.03590040036003|10.1001/archpsyc.1961.01710150016003|10.1001/archpsyc.1964.01720210081012|10.1002/(sici)1097-0134(19990101)34:1&lt;4::aid-prot2&gt;3.0.co;2-6|10.1002/(sici)1097-0134(20000701)40:1&lt;112::aid-prot130&gt;3.0.co;2-c|10.1002/(sici)1521-3765(20000502)6:9&lt;1531::aid-chem1531&gt;3.3.co;2-4|10.1002/1097-0290(20010305)72:5&lt;523::aid-bit1016&gt;3.3.co;2-d|10.1002/1097-4644(20010601)81:3&lt;507::aid-jcb1064&gt;3.0.co;2-m|10.1002/1097-4644(2
957	octanol	caprylic alcohol (Q161666) : N-Octanol		1-Octanol	1-octanol|Octan-1-ol|octanol|N-octanol|111-87-5|Octyl alcohol|Capryl alcohol|caprylic alcohol|n-Octyl alcohol|Heptyl carbinol|1-Hydroxyoctane|Primary octyl alcohol|Alcohol C-8|n-Octan-1-ol|Octilin|Sipol L8|Alfol 8|Lorol 20|Dytol M-83|n-Caprylic alcohol|1-Octyl alcohol|n-Heptyl carbinol|EPAL 8|octyl-alcohol|Alcohols, C6-12|N-octyl-alcohol|Octyl alcohol, normal-primary|C8 alcohol|Fatty alcohol(C8)|Octyl alcohol, primary|Caswell No. 611A|Octyl alcohol (natural)|FEMA Number 2800|Lorol C 8-98|n-Capryl alcohol|NS	130.229	C8H18O	20.2	43.8	3	9	1	1	6	KBPLFHHGFOOTCA-UHFFFAOYSA-N	octan-1-ol	1-Octanol	130943	16	155,157,161,165,167,175,421,426,427,433,434,435,445,530,540,541,542,543,544,545,546,584,585,595,596,603,605,654,655,656,657,658,659,660,661,662,663,664,665,666,667,875,880,881,884,885,886,887,889,892,893,894,900,902,912,921,923,924,925,926,938,946,947,948,955,960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,982,983,984,985,986,987,988,989,993,994,995,1030,1188,1452,1457,1458,1469,1471,1476,1477,1478,1479,1948,1987,2016,2023,2025,2029,2052,2057,2066,2099,2101,2107,2112,	20040916	10.1002/(sici)1098-1136(199705)20:1&lt;10::aid-glia2&gt;3.0.co;2-9|10.1002/(sici)1098-1136(199705)20:1&lt;10::aid-glia2&gt;3.3.co;2-2|10.1002/(sici)1520-6327(200001)43:1&lt;22::aid-arch4&gt;3.0.co;2-u|10.1002/(sici)1520-6327(200001)43:1&lt;22::aid-arch4&gt;3.3.co;2-l|10.1002/(sici)1520-6408(1997)20:2&lt;133::aid-dvg6&gt;3.0.co;2-8|10.1002/(sici)1522-2683(19990801)20:12&lt;2390::aid-elps2390&gt;3.0.co;2-h|10.1002/(sici)1522-2683(19990801)20:12&lt;2390::aid-elps2390&gt;3.3.co;2-8|10.1002/0471142956.cy1312s54|
957	octilin	caprylic alcohol (Q161666) : Octilin		1-Octanol	1-octanol|Octan-1-ol|octanol|N-octanol|111-87-5|Octyl alcohol|Capryl alcohol|caprylic alcohol|n-Octyl alcohol|Heptyl carbinol|1-Hydroxyoctane|Primary octyl alcohol|Alcohol C-8|n-Octan-1-ol|Octilin|Sipol L8|Alfol 8|Lorol 20|Dytol M-83|n-Caprylic alcohol|1-Octyl alcohol|n-Heptyl carbinol|EPAL 8|octyl-alcohol|Alcohols, C6-12|N-octyl-alcohol|Octyl alcohol, normal-primary|C8 alcohol|Fatty alcohol(C8)|Octyl alcohol, primary|Caswell No. 611A|Octyl alcohol (natural)|FEMA Number 2800|Lorol C 8-98|n-Capryl alcohol|NS	130.229	C8H18O	20.2	43.8	3	9	1	1	6	KBPLFHHGFOOTCA-UHFFFAOYSA-N	octan-1-ol	1-Octanol	130943	16	155,157,161,165,167,175,421,426,427,433,434,435,445,530,540,541,542,543,544,545,546,584,585,595,596,603,605,654,655,656,657,658,659,660,661,662,663,664,665,666,667,875,880,881,884,885,886,887,889,892,893,894,900,902,912,921,923,924,925,926,938,946,947,948,955,960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,982,983,984,985,986,987,988,989,993,994,995,1030,1188,1452,1457,1458,1469,1471,1476,1477,1478,1479,1948,1987,2016,2023,2025,2029,2052,2057,2066,2099,2101,2107,2112,	20040916	10.1002/(sici)1098-1136(199705)20:1&lt;10::aid-glia2&gt;3.0.co;2-9|10.1002/(sici)1098-1136(199705)20:1&lt;10::aid-glia2&gt;3.3.co;2-2|10.1002/(sici)1520-6327(200001)43:1&lt;22::aid-arch4&gt;3.0.co;2-u|10.1002/(sici)1520-6327(200001)43:1&lt;22::aid-arch4&gt;3.3.co;2-l|10.1002/(sici)1520-6408(1997)20:2&lt;133::aid-dvg6&gt;3.0.co;2-8|10.1002/(sici)1522-2683(19990801)20:12&lt;2390::aid-elps2390&gt;3.0.co;2-h|10.1002/(sici)1522-2683(19990801)20:12&lt;2390::aid-elps2390&gt;3.3.co;2-8|10.1002/0471142956.cy1312s54|
