PMCID	raw_table_number	raw_filename 	raw_table_title	extracted_subtable_name 	matches20191121	matches20191121_notes	matches20191121_compound	matches20191121_percent	original composition	extracted compoisition	graphic_table	compound_col_name	percent_col_name 	additional_percent_col_names	notes	FN	FP
PMC4391421	Table 1	table_1.xml	Chemical composition of thyme EO	composition_extracted_1.html					BODY 15 FOOTER 1	BODY 12 FOOTER 0		Constituents*	Area % of total				
PMC5080681	Table 1	table_1.xml	Chemical composition, concentrations (%) and calculated retention indices, of T. bovei essential oil as characterized by GC/MS analysis	composition_extracted_1.html					BODY 27 FOOTER 8	BODY 27 FOOTER 8		Constituents	%				
PMC5132230	Table 1	table_1.xml	Chemical composition of the Aeollanthus suaveolens essential oil.	composition_extracted_1.html					BODY 19 FOOTER 5	Not extracted.		Compounds	Relative Percentage (%)				
PMC5203915	Table 1	table_1.xml	Percentage of composition of essential oils from Rhaponticum carthamoides roots of soil-grown plants (SGR) and hairy roots (HR).	composition_extracted_1.html					BODY 62 FOOTER 6	BODY 62 FOOTER 6		Constituent ; Class of compound		SGR [%] ; HR [%]	Two EO profiles.		
PMC5237462	Table 1	table_1.xml	Major constituents of the essential oils of M. piperita.	composition_extracted_1.html			FN		BODY 11 FOOTER 4	BODY 11 FOOTER 4		Components	Peak Area (%)				
PMC5248495	Table 1	table_1.xml	Chemical composition of essential oils of Ocimum basilicum var.purpureum, Ocium basilicum var. thyrsiflora, Ocimum citriodorum	composition_extracted_1.html			FN		BODY 33 FOOTER 0	BODY 33 FOOTER 0		Chemical components		O. basilicumvar.purpureum,%b ; O. basilicumvar.thyrsiflora,% ; O. xcitriodorum,	Three EO profile.		
PMC5282690	TN								BODY 0 FOOTER 0	Not extracted.							
PMC5307246	TN								BODY 0 FOOTER 0	Not extracted.							
PMC5307902	Table 3	table_3.xml	Percentage chemical composition of the essential oil from leaves of P. amboinicus by gas chromatography-mass spectrometry.	FN	FN		FN	FN	BODY 19 FOOTER 0	Not extracted.	YES	FN	FN		No EO composition is extracted. 	Compounds; Area (%)	
PMC5324201	Table 9	table_9.xml	Compound composition (% w/w) in the essential oil and water ...	composition_extracted_1.html		FP - table:  Proximate composition of Anethum sowa L. Root ; table:  Fatty acid composition of Anethum sowa L. root extract (cold and hot extracts) by GC		FN	BODY 24 FOOTER 1	BODY 25 FOOTER 0		Name of Compounds	FN		Not regular title. Multiple column headers are there. 	Essential oil - Conc. (%); Water extract part - Conc. (%)	
