EID,SYNONYM
C214,acetate
C214,Acetate Ion
C214,"Acetic acid, ion(1-)"
C214,Acetate ions
C214,71-50-1
C214,monoacetate
C214,MeCO2 anion
C214,UNII-569DQM74SC
C214,ethanoate
C214,Acetat
C214,569DQM74SC
C214,Ethanoat
C214,Shotgun
C214,CHEMBL1354
C214,Azetat
C214,racemic acetate
C214,acetyl hydroxide
C214,Acetic cid glacial
C214,TCLP extraction fluid 2
C214,AC1Q1J2O
C214,AC1Q1J9D
C214,AC1L18N9
C214,CH3-COO(-)
C214,DTXSID1037694
C214,CHEBI:30089
C214,CTK5D4394
C214,QTBSBXVTEAMEQO-UHFFFAOYSA-M
C214,BDBM50159793
C214,CMC_13391
C214,STL282721
C214,AKOS022101130
C214,AN-23801
C214,AN-25008
C214,LS-189936
C214,1395-EP1441224A2
C214,1395-EP2269610A2
C214,1395-EP2269977A2
C214,1395-EP2269978A2
C214,1395-EP2269985A2
C214,1395-EP2269990A1
C214,1395-EP2269991A2
C214,1395-EP2269993A1
C214,1395-EP2270004A1
C214,1395-EP2270006A1
C214,1395-EP2270008A1
C214,1395-EP2270010A1
C214,1395-EP2270014A1
C214,1395-EP2270016A1
C214,1395-EP2270113A1
C214,1395-EP2272813A2
C214,1395-EP2272817A1
C214,1395-EP2272822A1
C214,1395-EP2272831A1
C214,1395-EP2272843A1
C214,1395-EP2272846A1
C214,1395-EP2272847A1
C214,1395-EP2272849A1
C214,1395-EP2272935A1
C214,1395-EP2272972A1
C214,1395-EP2272973A1
C214,1395-EP2275102A1
C214,1395-EP2275105A1
C214,1395-EP2275395A2
C214,1395-EP2275404A1
C214,1395-EP2275411A2
C214,1395-EP2275412A1
C214,1395-EP2275417A2
C214,1395-EP2275420A1
C214,1395-EP2277507A1
C214,1395-EP2277565A2
C214,1395-EP2277566A2
C214,1395-EP2277567A1
C214,1395-EP2277568A2
C214,1395-EP2277569A2
C214,1395-EP2277570A2
C214,1395-EP2277848A1
C214,1395-EP2277861A1
C214,1395-EP2277872A1
C214,1395-EP2277875A2
C214,1395-EP2277876A1
C214,1395-EP2277877A1
C214,1395-EP2277898A2
C214,1395-EP2279741A2
C214,1395-EP2279750A1
C214,1395-EP2280005A1
C214,1395-EP2280008A2
C214,1395-EP2280009A1
C214,1395-EP2280010A2
C214,1395-EP2280011A1
C214,1395-EP2280012A2
C214,1395-EP2281559A1
C214,1395-EP2281563A1
C214,1395-EP2281812A1
C214,1395-EP2281815A1
C214,1395-EP2281817A1
C214,1395-EP2281818A1
C214,1395-EP2281824A1
C214,1395-EP2284149A1
C214,1395-EP2284150A2
C214,1395-EP2284151A2
C214,1395-EP2284152A2
C214,1395-EP2284153A2
C214,1395-EP2284155A2
C214,1395-EP2284156A2
C214,1395-EP2284157A1
C214,1395-EP2284159A1
C214,1395-EP2284160A1
C214,1395-EP2284162A2
C214,1395-EP2284163A2
C214,1395-EP2284164A2
C214,1395-EP2284169A1
C214,1395-EP2284170A1
C214,1395-EP2284171A1
C214,1395-EP2284172A1
C214,1395-EP2284178A2
C214,1395-EP2284179A2
C214,1395-EP2286795A1
C214,1395-EP2286811A1
C214,1395-EP2286812A1
C214,1395-EP2287140A2
C214,1395-EP2287148A2
C214,1395-EP2287150A2
C214,1395-EP2287153A1
C214,1395-EP2287158A1
C214,1395-EP2287159A1
C214,1395-EP2287161A1
C214,1395-EP2287162A1
C214,1395-EP2287167A1
C214,1395-EP2289510A1
C214,1395-EP2289868A1
C214,1395-EP2289871A1
C214,1395-EP2289876A1
C214,1395-EP2289884A1
C214,1395-EP2289890A1
C214,1395-EP2289892A1
C214,1395-EP2289893A1
C214,1395-EP2289894A2
C214,1395-EP2292222A1
C214,1395-EP2292227A2
C214,1395-EP2292280A1
C214,1395-EP2292590A2
C214,1395-EP2292593A2
C214,1395-EP2292595A1
C214,1395-EP2292597A1
C214,1395-EP2292600A1
C214,1395-EP2292607A2
C214,1395-EP2292613A1
C214,1395-EP2292614A1
C214,1395-EP2292615A1
C214,1395-EP2292617A1
C214,1395-EP2292628A2
C214,1395-EP2295055A2
C214,1395-EP2295402A2
C214,1395-EP2295406A1
C214,1395-EP2295407A1
C214,1395-EP2295409A1
C214,1395-EP2295411A1
C214,1395-EP2295412A1
C214,1395-EP2295413A1
C214,1395-EP2295415A1
C214,1395-EP2295416A2
C214,1395-EP2295419A2
C214,1395-EP2295426A1
C214,1395-EP2295427A1
C214,1395-EP2295429A1
C214,1395-EP2295430A2
C214,1395-EP2295431A2
C214,1395-EP2295432A1
C214,1395-EP2295433A2
C214,1395-EP2295434A2
C214,1395-EP2295437A1
C214,1395-EP2295550A2
C214,1395-EP2298313A1
C214,1395-EP2298415A1
C214,1395-EP2298728A1
C214,1395-EP2298731A1
C214,1395-EP2298732A1
C214,1395-EP2298734A2
C214,1395-EP2298735A1
C214,1395-EP2298736A1
C214,1395-EP2298744A2
C214,1395-EP2298745A1
C214,1395-EP2298748A2
C214,1395-EP2298761A1
C214,1395-EP2298764A1
C214,1395-EP2298765A1
C214,1395-EP2298767A1
C214,1395-EP2298768A1
C214,1395-EP2298770A1
C214,1395-EP2298772A1
C214,1395-EP2298775A1
C214,1395-EP2298776A1
C214,1395-EP2298777A2
