"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Abelmoschus moschatus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Malvaceae";"Terrestrial";
"Abrus precatorius";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia concinna";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia confusa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia farnesiana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia longifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia mangium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia mearnsii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia melanoxylon";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia nilotica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia retinodes";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia saligna";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acanthaster planci";"Animalia";"Echinodermata";"Asteroidea";"Spinulosida";"Acanthasteridae";"Marine";
"Acanthocereus tetragonus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Cactacea";"Terrestrial";
"Acanthogobius flavimanus";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Gobiidae";"Freshwater";
"Acanthophora spicifera";"Plantae";"Rhodophyta";"Florideophiceae";"Ceramiales";"Rhodomelaceae";"Marine";
"Acanthus mollis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Acanthaceae";"Terrestrial";
"Acer ginnala";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Aceraceae";"Terrestrial";
"Acer platanoides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Aceraceae";"Terrestrial";
"Achatina fulica";"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Achatinidae";"Terrestrial";
"Acnemia bifida";"Animalia";"Arthropoda";"Insecta";"Diptera";"	Mycetophilidae";"Terrestrial";
"Acridotheres fuscus";"Animalia";"Chordata";"Aves";"Passeriformes";"Sturnidae";"Terrestrial";
"Acridotheres tristis";"Animalia";"Chordata";"Aves";"Passeriformes";"Sturnidae";"Terrestrial";
"Acromyrmex octospinosus";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Adelges piceae";"Animalia";"Arthropoda";"Insecta";"Homoptera";"Adelgidae";"Terrestrial";
"Adelges tsugae";"Animalia";"Arthropoda";"Insecta";"Homoptera";"Adelgidae";"Terrestrial";
"Adenanthera pavonina";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Aedes aegypti";"Animalia";"Arthropoda";"Insecta";"Diptera";"Culicidae";"Terrestrial";
"Aedes albopictus";"Animalia";"Arthropoda";"Insecta";"Diptera";"Culicidae";"Terrestrial";
"Aegilops triuncialis";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Agapanthus praecox";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Agave americana";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Agavaceae";"Terrestrial";
"Agave sisalana";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Agavaceae";"Terrestrial";
"Ageratina adenophora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ageratina riparia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ageratum conyzoides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Agrilus planipennis";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Buprestidae";"Terrestrial";
"Agrostis capillaris";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Agrostis gigantea";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Ailanthus altissima";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Simaroubaceae";"Terrestrial";
"Akebia quinata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Lardizabalaceae";"Terrestrial";
"Albizia julibrissin";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Albizia lebbeck";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Alectoris chukar";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Terrestrial";
"Aleurites moluccana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Alexandrium minutum";"Plantae";"Pyrrophycophyta";"Dinophyceae";"Gonyaulacales";"Goniodomataceae";"Marine";
"Alitta succinea";"Animalia";"Annelida";"Polychaeta";"Aciculata";"Nereididae";"Marine";
"Alliaria petiolata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Alnus glutinosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fagales";"Betulaceae";"Terrestrial";
"Alosa pseudoharengus";"Animalia";"Chordata";"Actinopterygii";"Clupeiformes";"Clupeidae";"Freshwater";
"Alpinia zerumbet";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Alternanthera philoxeroides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Amaranthaceae";"Terrestrial";
"Alternanthera sessilis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Amaranthaceae";"Terrestrial";
"Ambrosia artemisiifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ambystoma tigrinum";"Animalia";"Chordata";"Amphibia";"Caudata";"Ambystomatidae";"Freshwater_terrestrial";
"Ameiurus nebulosus";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Ictaluridae";"Terrestrial";
"Ammophila arenaria";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Ammotragus lervia";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Ampelopsis brevipedunculata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Vitaceae";"Terrestrial";
"Anas platyrhynchos";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Freshwater_terrestrial";
"Andropogon virginicus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Angiopteris evecta";"Plantae";"Pteridophyta";"Filicopsida";"Marattiales";"Marattiaceae";"Terrestrial";
"Annona glabra";"Plantae";"Magnoliophyta";"Magnoliopsida";"Magnoliales";"Annonaceae";"Terrestrial";
"Annona squamosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Magnoliales";"Annonaceae";"Terrestrial";
"Anolis aeneus";"Animalia";"Chordata";"Reptilia";"Squamata";"Polychrotidae";"Terrestrial";
"Anolis carolinensis";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis cristatellus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis distichus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis equestris";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis extremus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis garmani";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis leachii";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis lineatus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis maynardi";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis porcatus";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis richardii";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis trinitatis";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anolis wattsi";"Animalia";"Chordata";"Reptilia";"";"Polychrotidae";"Terrestrial";
"Anopheles quadrimaculatus";"Animalia";"Arthropoda";"Insecta";"Diptera";"Culicidae";"Terrestrial";
"Anoplolepis gracilipes";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Anoplophora chinensis";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Cerambycidae";"Terrestrial";
"Anoplophora glabripennis";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Cerambycidae";"Terrestrial";
"Anredera cordifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Basellaceae";"Terrestrial";
"Anser anser";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Freshwater_terrestrial";
"Anthonomus grandis";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Terrestrial";
"Antidesma bunias";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Antigonon leptopus";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Pontederiaceae";"Terrestrial";
"Aphanomyces astaci";"Fungi";"Myxomycota";"Phycomycota";"Saprolegniales";"Saprolegniaceae";"Freshwater";
"Apis mellifera scutellata";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Apiidae";"Terrestrial";
"Archontophoenix cunninghamiana";"Plantae";"Magnoliophyta";"Liliopsida";"Arecales";"Arecaceae";"Terrestrial";
"Ardisia acuminata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Primulales";"Myrsinaceae";"Terrestrial";
"Ardisia crenata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Primulales";"Myrsinaceae";"Terrestrial";
"Ardisia elliptica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Primulales";"Myrsinaceae";"Terrestrial";
"Arundo donax";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Ascidiella aspersa";"Animalia";"Chordata";"Ascidiacea";"Enterogona";"Ascidiidae";"Marine";
"Asparagus densiflorus";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Asparagus officinalis";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Asterias amurensis";"Animalia";"Echinodermata";"Asteroidea";"Forcipulatida";"Asteriidae";"Marine";
"Asystasia gangetica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Acanthaceae";"Terrestrial";
"Aulacaspis yasumatsui";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Diaspididae";"Terrestrial";
"Austroeupatorium inulifolium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Eupatorieae";"Terrestrial";
"Avian Influenza Virus";"Virus";"";"";"";"Orthomyxovirdae";"Terrestrial";
"Axis axis";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Azolla pinnata";"Plantae";"Pteridophyta";"Filicopsida";"Hydropteridales";"Azollaceae";"Terrestrial";
"Bacopa monnieri";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Scrophulariaceae";"Terrestrial";
"Bactrocera tryoni";"Animalia";"Arthropoda";"Insecta";"Diptera";"Tephritidae";"Terrestrial";
"Bagaza Virus (BAGV)";"Virus";"";"";"";"Flaviviridae";"Terrestrial";
