"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Abelmoschus moschatus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Malvaceae";"Terrestrial";
"Abrus precatorius";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia concinna";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia confusa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia farnesiana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia longifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia mangium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia mearnsii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia melanoxylon";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia nilotica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia retinodes";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acacia saligna";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Acanthocereus tetragonus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Cactacea";"Terrestrial";
"Acanthophora spicifera";"Plantae";"Rhodophyta";"Florideophiceae";"Ceramiales";"Rhodomelaceae";"Marine";
"Acanthus mollis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Acanthaceae";"Terrestrial";
"Acer ginnala";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Aceraceae";"Terrestrial";
"Acer platanoides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Aceraceae";"Terrestrial";
"Adenanthera pavonina";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Aegilops triuncialis";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Agapanthus praecox";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Agave americana";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Agavaceae";"Terrestrial";
"Agave sisalana";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Agavaceae";"Terrestrial";
"Ageratina adenophora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ageratina riparia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ageratum conyzoides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Agrostis capillaris";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Agrostis gigantea";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Ailanthus altissima";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Simaroubaceae";"Terrestrial";
"Akebia quinata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Lardizabalaceae";"Terrestrial";
"Albizia julibrissin";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Albizia lebbeck";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Aleurites moluccana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Alexandrium minutum";"Plantae";"Pyrrophycophyta";"Dinophyceae";"Gonyaulacales";"Goniodomataceae";"Marine";
"Alliaria petiolata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Alnus glutinosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fagales";"Betulaceae";"Terrestrial";
"Alpinia zerumbet";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Alternanthera philoxeroides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Amaranthaceae";"Terrestrial";
"Alternanthera sessilis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Amaranthaceae";"Terrestrial";
"Ambrosia artemisiifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Ammophila arenaria";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Ampelopsis brevipedunculata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Vitaceae";"Terrestrial";
"Andropogon virginicus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Angiopteris evecta";"Plantae";"Pteridophyta";"Filicopsida";"Marattiales";"Marattiaceae";"Terrestrial";
"Annona glabra";"Plantae";"Magnoliophyta";"Magnoliopsida";"Magnoliales";"Annonaceae";"Terrestrial";
"Annona squamosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Magnoliales";"Annonaceae";"Terrestrial";
"Anredera cordifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Basellaceae";"Terrestrial";
"Antidesma bunias";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Antigonon leptopus";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Pontederiaceae";"Terrestrial";
"Archontophoenix cunninghamiana";"Plantae";"Magnoliophyta";"Liliopsida";"Arecales";"Arecaceae";"Terrestrial";
"Ardisia acuminata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Primulales";"Myrsinaceae";"Terrestrial";
"Ardisia crenata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Primulales";"Myrsinaceae";"Terrestrial";
"Ardisia elliptica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Primulales";"Myrsinaceae";"Terrestrial";
"Arundo donax";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Asparagus densiflorus";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Asparagus officinalis";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Liliaceae";"Terrestrial";
"Asystasia gangetica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Acanthaceae";"Terrestrial";
"Austroeupatorium inulifolium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Eupatorieae";"Terrestrial";
"Azolla pinnata";"Plantae";"Pteridophyta";"Filicopsida";"Hydropteridales";"Azollaceae";"Terrestrial";
"Bacopa monnieri";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Scrophulariaceae";"Terrestrial";
"Bambusa vulgaris";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Begonia cucullata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Begoniaceae";"Terrestrial";
"Bellis perennis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Berberis buxifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Berberidaceae";"Terrestrial";
"Berberis darwinii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Berberidaceae";"Terrestrial";
"Berberis thunbergii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ranunculales";"Berberidaceae";"Terrestrial";
"Bidens pilosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Boehmeria penduliflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Urticaceae";"Terrestrial";
"Bothriochloa pertusa";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Brassica elongata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Brassica tournefortii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Bromus inermis";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Bromus rubens";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Bromus tectorum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Buddleja davidii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Buddlejaceae";"Terrestrial";
"Buddleja madagascariensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Buddlejaceae";"Terrestrial";
"Butomus umbellatus";"Plantae";"Magnoliophyta";"Liliopsida";"Alismatales";"Butomaceae";"Terrestrial";
"Cabomba caroliniana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Nymphaeales";"Cabombaceae";"Terrestrial";
"Caesalpinia decapetala";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Calluna vulgaris";"Plantae";"Magnoliophyta";"Magnoliopsida";"Ericales";"Ericaceae";"Terrestrial";
"Camelina sativa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Canna indica";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Cannaceae";"Terrestrial";
"Cardamine flexuosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Cardamine glacialis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Cardiospermum grandiflorum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Sapindaceae";"Terrestrial";
"Carduus nutans";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Carpobrotus edulis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Caryophyllales";"Aizoaceae";"Terrestrial";
"Castilla elastica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Moraceae";"Terrestrial";
"Casuarina equisetifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Casuarinales";"Casuarinaceae";"Terrestrial";
"Caulerpa taxifolia";"Plantae";"Chlorophyta";"Chlorophyceae";"Caulerpales";"Caulerpaceae";"Marine";
"Caulerpa webbiana";"Plantae";"Chlorophyta";"Chlorophyceae";"Caulerpales";"Caulerpaceae";"Marine";
"Cecropia peltata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Cecropiaceae";"Terrestrial";
"Cecropia schreberiana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Cecropiaceae";"Terrestrial";
"Cedrela odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Meliaceae";"Terrestrial";
"Celastrus orbiculatus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Celastrales";"Celastraceae";"Terrestrial";
"Cenchrus ciliaris";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus clandestinus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus echinatus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus macrourus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus polystachios";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cenchrus setaceus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Centaurea biebersteinii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
