,United States,China,Australia,United states,Canada,India,Germany,New Zealand,South Africa,South Africa,Kenya,Saudi Arabia,France,Argentina,Spain,Ethopia,Poland,Sri Lanka,Netherlands,Greece,South Africa,Czech Republic,Turkey,Puerto Rico,United Kingdom
Alliaria petiole,4,0,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Prosopis,3,0,1,1,1,0,0,1,1,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Phragmites australis,6,3,4,1,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Prosopis juliflora,3,3,3,2,1,1,1,0,1,2,2,2,0,0,0,3,0,1,1,0,0,0,1,0,0
Eichhornia crassipes,2,2,2,0,2,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
Parthenium hysterophorus,1,1,3,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
Impatiens glandulifera,4,1,1,1,0,1,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Bromus tectorum,2,0,1,0,1,1,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
Ageratina adenophores,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lantana camara,2,1,2,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0
Alliaria petiole,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mikania micrantha,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Microstegium vimineum,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spartina alterniflora,1,2,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alternanthera p,3,4,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Triadica sebifera,3,1,0,0,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
common reed,2,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nicotiana glauca,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0
Bromus tectorum,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bidens pilosa,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Cenchrus ciliaris,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Lythrum salicaria,1,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cabomba caroliniana,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
