PMCID	section	country	WIKIDATA_ID
PMC4391421	Materials and methods	Romania	Q218
PMC5080681	Collecting and preparing plant materials	Palestine	Q23792
PMC5132230	Plant material	Brazil	Q155
PMC5203915			
PMC5237462	 Collection of Plant Material	Brazil	Q155
PMC5248495	Plant material	Armenia	Q399
PMC5282690	Plant material	Morocco	Q1028
PMC5307246	Plant Material	Sudan	Q1049
PMC5307902	Plant material	Brazil	Q155
PMC5324201	Plant material	Bangladesh	Q902
PMC5330108	Preparation of essential oil	India	Q668
PMC5344628			
PMC5364420	Plant materials	China	Q29520
PMC5393100			
PMC5397855	Garlic essential oil	Brazil	Q155
PMC5411863	Plant Material	Turkey	Q43
PMC5412227	Plant material	Iran	Q794
PMC5423258	Plant materials	Egypt	Q79
PMC5426739	Materials	Iran	Q794
PMC5427463	Plant material	Tunisia	Q948
PMC5448358	Plant material	Republic of Congo	Q971
PMC5454990	Plant Material	Brazil	Q155
PMC5485486	Plant Material	Morocco	Q1028
PMC5486035	 Plant Material and Isolation of Essential Oil	Italy	Q38
PMC5497343	Plant material	South Africa	Q258
PMC5507808	Collection of Plant Leaves	Republic of Benin	Q1108659
PMC5524814	Plant material	Spain	Q29
PMC5527698	Plant material	Morocco	Q1028
PMC5535876	Efficacy of Argan Oil on Pain, Metabolic Syndrome and Oxidative Stress in Rheumatology and Nephrology Patients 	Morocco	Q1028
PMC5543433	Collection of plant material	Tunisia	Q948
PMC5546729	Materials and methods	Iran	Q794
PMC5551175	Plant Material	Cameroon	Q1009
PMC5568258	Plant material and essential oil extraction	Brazil	Q155
PMC5569441	Materials	Iran	Q794
PMC5575638	Plant Material	Spain	Q29
PMC5575638	Plant Material	USA	Q30
PMC5577677			
PMC5585972	Collection of essential oils	Tanzania	Q924
PMC5590060	Plant Sample	Nigeria	Q1033
PMC5590062	Plant Material	Brazil	Q155
PMC5590063	Plant Materials	Brazil	Q155
PMC5590065	Plant Sample	Nigeria	Q1033
PMC5590066	Plant Material	France	Q142
PMC5590067	Plant Material	Brazil	Q155
PMC5590070	Plant Material and Extraction of Essential Oil	Canada	Q16
PMC5592951			
PMC5597067	Materials	China	Q29520
PMC5602041	Essential oils	Egypt	Q79
PMC5602841	Plant material	Brazil	Q155
PMC5603114	Plant Material	Brazil	Q155
PMC5613177	Materials and methods	Egypt	Q79
PMC5615139	Plant material: identification and collection	Nigeria	Q1033
PMC5615285	Plant Material	Tajikistan	Q863
PMC5620597	 Cultivation Conditions and Plant Material	Kefalonia	Q178488
PMC5622382	Essential Oils	Mexico	Q96
PMC5622390	Plant Material	Brazil	Q155
PMC5622397	Material and Methods	Brazil	Q155
PMC5622398	Essential Oil Extracted from Rosemary (R EO) 	England	Q21
PMC5622398	Essential Oil Extracted from Rosemary (R EO) 	France	Q142
PMC5622398	Essential Oil Extracted from Rosemary (R EO) 	Portugal	Q45
PMC5622398	Essential Oil Extracted from Rosemary (R EO) 	Russia	Q159
PMC5622398	Essential Oil Extracted from Rosemary (R EO) 	Spain	Q29
PMC5622401	Plant Material	Dudai	Q612
PMC5622403	Chemical Composition of Essential oils of Artemisia Species 	Iran	Q794
PMC5622403	Chemical Composition of Essential oils of Artemisia Species 	India	Q668
PMC5622403	Chemical Composition of Essential oils of Artemisia Species 	China	Q29520
PMC5625792	Essential oil	Tunisia	Q948
PMC5641611	Collection of Plant material and extraction of essential oil	India	Q668
PMC5651092	Essential Oil	Brazil 	Q155
PMC5653886	Plant material and EOs preparation. 	Iran 	Q794
PMC5660901	Methods	Java	Q3757
PMC5661929	Plant collection	Tunisia	Q948
