Dictionary Repo Location,Dictionary Name,Has .md?,New xml? (Child Syn),File Name & Title match?,Desc tag,Version tag,Encoding tag,Date tag?,Author tag?,Contributors?,Name tag,Term tag,wikipediaPage tag,wikipediaURL tag,wikidataURL tag,wikidataID tag,Other ID tag,Notes,has it's own ID format?
https://github.com/petermr/dictionary/blob/main/openVirus20210120/country/country.xml,country.xml,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,-,,
https://github.com/petermr/dictionary/blob/main/openVirus20210120/disease/disease.xml,disease.xml,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,-,,
https://github.com/petermr/dictionary/blob/main/openVirus20210120/drug/drug.xml,drug.xml,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,YES,YES,-,,
https://github.com/petermr/dictionary/blob/main/openVirus20210120/npi/npi.xml,npi.xml,NO,-,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,,
https://github.com/petermr/dictionary/blob/main/openVirus20210120/organization/organization.xml,organization.xml,NO,-,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,Data is in a different order than other dictionaries. Usually name and term come first. Also has crossrefIDs,
https://github.com/petermr/dictionary/blob/main/openVirus20210120/test_trace/test_trace.xml,test_trace.xml,NO,-,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,"has it's own ID format ""CM.PROJECT_TEST.11""","""CM.PROJECT_TEST.11"""
https://github.com/petermr/dictionary/blob/main/openVirus20210120/virus/virus.xml,virus.xml,NO,-,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,,
https://github.com/petermr/dictionary/blob/main/openVirus20210120/zoonosis/zoonosis.xml,zoonosis.xml,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,NO,,
https://github.com/petermr/dictionary/blob/main/cevopen/activity/eo_activity.xml,eo_activity.xml,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,,
https://github.com/petermr/dictionary/blob/main/cevopen/analysis/eo_analysis_method.xml,eo_analysis_method.xml,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO,NO,YES,NO,,
