activity,count
antioxidant,1370
antimicrobial,1105
anti-inflammatory,645
agents,538
antifungal,515
derivatives,408
antiviral,339
cytotoxicity,314
Antifungal,169
analgesic,152
wound healing,150
antidiabetic,131
derivative,125
Therapeutic,114
cosmetics,93
sedative,72
antimalarial,71
prostaglandin,71
Antioxidants,70
repellent,67
anxiolytic,65
antiseptic,62
pesticides,62
diuretic,61
antiparasitic,58
insecticide,52
hepatotoxicity,51
genotoxic,50
adjuvant,49
antispasmodic,48
anthelmintic,48
antimicrobial agent,45
antipyretic,43
wound healing,,42
Calcium,40
neurotoxicity,38
hypolipidemic,36
genotoxicity,35
antihyperlipidemic,35
adenosine,33
Inhibitors,33
antihyperglycemic,32
antiulcer,29
antiprotozoal,29
wound healing.,28
perfume,28
liver damage,28
fungicide,27
fungicides,27
prostaglandins,26
anticoagulant,25
stimulant,25
disinfectant,24
GABAergic,24
phytotoxicity,23
nephrotoxicity,22
Antiparasitic,22
make up,22
anti-inflammatory agent,21
pesticide,21
oxidant,20
Diuretic,20
vasodilator,20
laxative,18
antiviral drug,18
anesthetic,18
antitussive,18
insect repellent,17
hemostatic,17
astringent,16
antimycotic,15
antiemetic,15
allergens,15
muscle relaxant,15
aphrodisiac,15
neuroprotection,15
Repellent,14
reproductive toxicity,14
immunostimulant,13
Minor,13
herbicide,12
irritating,12
protease inhibitor,12
carminative,12
anticancer drug,11
herbicides,11
larvicide,11
antineoplastic,11
hypocholesterolemic,10
myorelaxant,10
bronchodilator,10
hypnotic,10
antimicrobial agent.,9
antimicrobial agent,,9
anticancer agent,9
phototoxic,9
allergen,9
protease inhibitors,9
oxidants,9
depressant,9
carcinogen,9
anti-inflammatory agent,,8
immunomodulator,7
antiulcerogenic,7
insect repellent,,7
irritant,7
allelopathy,7
Dermatitis,7
Expectorant,7
Larvicide,6
emetic,6
ACE inhibitors,6
antioxidante,6
acaricide,6
carcinogens,6
Antibacterials,6
Prostaglandin,6
antidiarrhoeal,5
purgative,5
decongestant,5
antihistamine,5
protease inhibitor,,5
vermifuge,5
mitogens,5
anaphylactic,5
Perfume,5
analgesics,4
spermicide,4
enterotoxin,4
liver damage.,4
insect repellent.,4
prooxidant,4
antiviral drug,,4
coloring agent,4
sunscreen,4
anticancer agent.,4
coloring agents,4
Platelet,4
hypoglycemic agent,4
Insecticides,4
mitogen,4
anti-inflammatory agent.,4
Fungicides,4
ACE inhibitor,4
muscle relaxant,,3
Choleretic,3
liver damage,,3
reproductive toxicity,,3
ACE inhibitors.,3
makeup,3
anthelmintics,3
antimalarials,3
protease inhibitors.,3
protease inhibitor.,3
Disinfectants,3
neurotoxin,3
pheromone,3
calcium antagonist,3
Angiotensin-Converting Enzyme,3
acetylcholinesterase inhibitor,3
hypoglycemic agent,,2
painkiller,2
Bacteriostatic,2
antihemorrhagic,2
oxidizing agent,2
Antiinflammatory,2
febrifuge,2
adaptogen,2
Aldose reductase inhibitor,2
antiviral drug.,2
skin contact,2
antidiarrheal agents.,2
Adaptogen,2
antineuralgic,2
Photoprotection,2
pain reliever,2
calcium channel blocker,2
hypoglycemic agents,,2
pungency,2
antioxydant,2
convulsant,2
colorant,2
acaricides,2
Photoprotective,2
deodorant,2
parfum,2
antidiarrheal agents,2
CNS depressant,2
muscle relaxant.,1
cytostasis,1
antihypertensive drug,1
tranquilizer,1
Acaricide,1
Antifeedant,1
Anticancer Agents,1
H1 receptor antagonists,1
rubefacient,1
hallucinogenic drug,1
reproductive toxicity.,1
humectant,1
Deodorant,1
reproductive effects,1
bacteriostatic agent,1
antimicrobial agent;,1
molluscicide,1
anti-Inflammatory,1
wound healing;,1
antimitotic agent,1
antiinflammatory agents,1
antipruritic,1
anticancer drug,,1
cytokine activity,1
antacid,1
anorectic,1
Antifibrinolytics,1
antihepatotoxicity,1
anticancer agent,,1
Protease Inhibitors,1
anti-infective agent,1
Antagonists,1
enterotoxins,1
anaesthetics,1
protease inhibitors,,1
Hepatoprotection,1
Adenosine,1
Stomachic,1
prostaglandine,1
lipoxygenase inhibitor,1
protein kinase inhibitors,1
antihypertensive agents,1
insectifuge,1
oxidizer,1
protease inhibitor;,1
cough suppressant,1
platelet aggregation inhibitors,1
anticoagulants,1
anti-obesity agent,1
cough suppressant,,1
anti-TNF,1
photosensitizer,1
calcium channel blockers,,1
Astringent,1
antidiarrheal drugs,1
calcium channel blockers,1
CNS depressant,,1
antimutagens,1
neurotoxins,1
anti-emetics,1
skin exposure,1
anesthetics,1
emetics,1
barbiturates,1
insecticida,1
skin absorption,1
lipid-lowering agent,1
vasodilators,1
antiinflammatories,1
antiinflamatorio,1
vermicide,1
Anticancer Agents.,1
oxydant,1
antihypertensive agent.,1
Chemoprevention,1
barbiturate,1
hypoglycemic agents;,1
anticonvulsants,1
Allergen,1
