id,"name","description","chebi_name","chebi_id","created_at","updated_at",creator_id,updater_id,"chebi_definition"
1,"(+)-inotropic","An agent that alters the force or energy of muscular contractions. Positively inotropic agents increase the strength of muscular contraction.",NULL,NULL,"2012-04-10 10:05:13","2015-11-11 02:32:19",NULL,NULL,NULL
2,"(-)-chronotropic","An agent that may change the heart rate by affecting the nerves controlling the heart, or by changing the rhythm produced by the sinoatrial node. Negative chronotropes decrease heart rate.",NULL,NULL,"2012-04-10 10:05:13","2015-11-11 02:32:19",NULL,NULL,NULL
3,"(-)-inotropic","An agent that alters the force or energy of muscular contractions. Negatively inotropic agents weaken the force of muscular contractions.",NULL,NULL,"2012-04-10 10:05:13","2015-11-11 02:32:19",NULL,NULL,NULL
4,"11beta-hydroxysteroid-dehydrogenase inhibitor",NULL,"enzyme inhibitor","23924","2012-04-10 10:05:13","2015-10-27 17:47:35",NULL,NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
5,"12-lipoxygenase inhibitor",NULL,"enzyme inhibitor","23924","2012-04-10 10:05:13","2015-10-27 17:47:36",NULL,NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
6,"17beta-hydroxysteroid-dehydrogenase inhibitor",NULL,"enzyme inhibitor","23924","2012-04-10 10:05:13","2015-10-27 17:47:37",NULL,NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
7,"5alpha-reductase inhibitor",NULL,"5alpha-reductase inhibitor","50781","2012-04-10 10:05:13","2015-10-27 17:47:37",NULL,NULL,"An EC 1.3.1.* (oxidoreductase acting on CH-CH group of donor, NAD(+) or NADP(+) as acceptor) inhibitor that interferes with the action of of 3-oxo-5alpha-steroid 4-dehydrogenase (NADP(+)), EC 1.3.1.22, the enzyme which converts testosterone (CHEBI:17347) into the more potent androgen 5alpha-dihydrotestosterone."
8,"5-hydroxyeicosatetraenoic-acid inhibitor",NULL,"inhibitor","35222","2012-04-10 10:05:13","2015-10-27 17:47:38",NULL,NULL,"A substance that diminishes the rate of a chemical reaction."
9,"5-hydroxytryptamine inhibitor",NULL,"serotonergic antagonist","48279","2012-04-10 10:05:13","2015-10-27 17:47:38",NULL,NULL,"Drugs that bind to but do not activate serotonin receptors, thereby blocking the actions of serotonin or serotonergic agonists."
10,"5-lipoxygenase inhibitor",NULL,"enzyme inhibitor","23924","2012-04-10 10:05:13","2015-10-27 17:47:39",NULL,NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
11,"8-hydroxyeicosatetraenoic-acid inhibitor",NULL,"inhibitor","35222","2012-04-10 10:05:13","2015-10-27 17:47:40",NULL,NULL,"A substance that diminishes the rate of a chemical reaction."
12,"beta inhibitor",NULL,"inhibitor","35222","2012-04-10 10:05:13","2015-10-27 17:47:40",NULL,NULL,"A substance that diminishes the rate of a chemical reaction."
13,"abortifacient",NULL,"abortifacient","50691","2012-04-10 10:05:14","2015-10-29 22:40:58",NULL,NULL,"A chemical substance that interrupts pregnancy after implantation."
14,"absorbent","A substance or item able to soak liquid easily.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:10",NULL,NULL,NULL
15,"acantholytic","Causing loss of intercellular connections, such as desmosomes, resulting in loss of cohesion between keratinocytes.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:18",NULL,NULL,NULL
16,"acaricide",NULL,"acaricide","22153","2012-04-10 10:05:14","2015-10-27 17:47:41",NULL,NULL,"A substance used to destroy pests of the subclass Acari (mites and ticks)."
17,"acarifuge",NULL,"pesticide","25944","2012-04-10 10:05:14","2015-10-27 17:47:41",NULL,NULL,"Strictly, a substance intended to kill pests. In common usage, any substance used for controlling, preventing, or destroying animal, microbiological or plant pests."
18,"angiotensin converting enzyme inhibitor",NULL,"angiotensin-converting enzyme inhibitor","35457","2012-04-10 10:05:14","2015-10-27 17:47:42",NULL,NULL,"An EC 3.4.15.* (peptidyl-dipeptidase) inhibitor that interferes with the action of peptidyl-dipeptidase A (EC 3.4.15.1)."
19,"acetyl-CoA-carboxylase inhibitor",NULL,"enzyme inhibitor","23924","2012-04-10 10:05:14","2015-10-27 17:47:42",NULL,NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
20,"acetylcholinergic",NULL,"cholinergic drug","38323","2012-04-10 10:05:14","2015-10-27 17:47:43",NULL,NULL,"Any drug used for its actions on cholinergic systems. Included here are agonists and antagonists, drugs that affect the life cycle of acetylcholine, and drugs that affect the survival of cholinergic neurons."
21,"acetylcholinesterase inhibitor",NULL,"acetylcholinesterase inhibitor","38462","2012-04-10 10:05:14","2015-10-27 17:47:44",NULL,NULL,"An EC 3.1.1.* (carboxylic ester hydrolase) inhibitor that interferes with the action of enzyme acetylcholinesterase (EC 3.1.1.7), which helps breaking down of acetylcholine into choline and acetic acid."
22,"acidifier",NULL,"food additive","64047","2012-04-10 10:05:14","2015-10-27 17:47:44",NULL,NULL,"Any substance which is added to food to preserve or enhance its flavour and/or appearance."
23,"acidulant",NULL,"food additive","64047","2012-04-10 10:05:14","2015-10-27 17:47:45",NULL,NULL,"Any substance which is added to food to preserve or enhance its flavour and/or appearance."
24,"acnegenic",NULL,"aetiopathogenetic role","52209","2012-04-10 10:05:14","2015-10-27 17:47:45",NULL,NULL,"A role played by the molecular entity or part thereof which causes the development of a pathological process."
25,"adaptogenic","A substance or compounds that results in stabilization of physiological processes and promotion of homeostasis, an example being by decreased cellular sensitivity to stress.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:10",NULL,NULL,NULL
26,"addictive","A substance causing dependency, in spite of effects.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:10",NULL,NULL,NULL
27,"additive",NULL,"food additive","64047","2012-04-10 10:05:14","2015-10-29 22:41:00",NULL,NULL,"Any substance which is added to food to preserve or enhance its flavour and/or appearance."
28,"adenosine antagonist",NULL,"antagonist","48706","2012-04-10 10:05:14","2015-10-27 17:47:46",NULL,NULL,"Substance that attaches to and blocks cell receptors that normally bind naturally occurring substances."
29,"adenylate-cyclase inhibitor",NULL,"enzyme inhibitor","23924","2012-04-10 10:05:14","2015-10-27 17:47:46",NULL,NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
30,"adjuvant",NULL,"adjuvant","60809","2012-04-10 10:05:14","2015-10-29 22:41:00",NULL,NULL,"Any pharmacological or immunological agent that modifies the effect of other agents such as drugs or vaccines while having few if any direct effects when given by itself."
31,"adrenergic",NULL,"adrenergic agent","37962","2012-04-10 10:05:14","2015-10-27 17:47:47",NULL,NULL,"Any agent that acts on an adrenergic receptor or affects the life cycle of an adrenergic transmitter."
32,"aedifuge",NULL,"pesticide","25944","2012-04-10 10:05:14","2015-10-27 17:47:47",NULL,NULL,"Strictly, a substance intended to kill pests. In common usage, any substance used for controlling, preventing, or destroying animal, microbiological or plant pests."
33,"advanced glycation end products inhibitor",NULL,"inhibitor","35222","2012-04-10 10:05:14","2015-10-27 17:47:48",NULL,NULL,"A substance that diminishes the rate of a chemical reaction."
34,"aggregant","An agent that promotes conjugation or collection of particulars into a whole.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:14",NULL,NULL,NULL
35,"aryl-hydrocarbon-hydroxylase inhibitor",NULL,"enzyme inhibitor","23924","2012-04-10 10:05:14","2015-10-27 17:47:48",NULL,NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
36,"serine/threonine kinase inhibitor",NULL,"serine/threonine kinase inhibitor","50925","2012-04-10 10:05:14","2015-10-27 17:47:49",NULL,NULL,"An EC 2.7.11.* (protein-serine/threonine kinase) inhibitor that interferes with the action of non-specific serine/threonine protein kinase (EC 2.7.11.1), a kinase enzyme involved in phosphorylation of hydroxy group of serine or threonine."
37,"albuminurigenic",NULL,NULL,NULL,"2012-04-10 10:05:14","2012-04-10 10:05:14",NULL,NULL,NULL
38,"alcohol dehydrogenase inhibitor",NULL,"alcohol dehydrogenase inhibitor","50269","2012-04-10 10:05:14","2015-10-27 17:47:49",NULL,NULL,"An EC 1.1.1.* (oxidoreductase acting on donor CH-OH group, NAD(+) or NADP(+) acceptor) inhibitor that interferes with the action of alcohol dehydrogenase (EC 1.1.1.1)."
39,"aldehyde-oxidase inhibitor",NULL,"enzyme inhibitor","23924","2012-04-10 10:05:14","2015-10-27 17:47:50",NULL,NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
40,"aldose reductase inhibitor",NULL,"aldose reductase inhibitor","48550","2012-04-10 10:05:14","2015-10-27 17:47:50",NULL,NULL,"An EC 1.1.1.* (oxidoreductase acting on donor CH-OH group, NAD(+) or NADP(+) acceptor) inhibitor that interferes with the action of aldehyde reductase (EC 1.1.1.21)."
41,"allelochemic","Chemicals, released from plants, that cause an interaction between plants and other living organisms.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:18",NULL,NULL,NULL
42,"allelopathic","Biochemicals produced by an organism that influence the growth, survival, and reproduction of other organisms.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:18",NULL,NULL,NULL
43,"allergenic",NULL,"allergenic agent","50904","2012-04-10 10:05:14","2015-10-27 17:47:51",NULL,NULL,"A chemical compound which causes the onset of an allergic reaction by interacting with any of the molecular pathways involved in an allergy."
44,"alpha-amylase inhibitor",NULL,"alpha-amylase inhibitor","50627","2012-04-10 10:05:14","2015-10-27 17:47:52",NULL,NULL,"An EC 3.2.1.* (glycosidase) inhibitor that interferes with the action of alpha-amylase (EC 3.2.1.1)."
45,"alpha-glucosidase inhibitor",NULL,"alpha-glucoside hydrolase inhibitor","50628","2012-04-10 10:05:14","2015-10-27 17:47:52",NULL,NULL,"An EC 3.2.1.* (glycosidase) inhibitor that interferes with the action of alpha-glucosidase (EC 3.2.1.20)."
46,"alpha-reductase inhibitor",NULL,"enzyme inhibitor","23924","2012-04-10 10:05:14","2015-10-27 17:47:53",NULL,NULL,"A compound or agent that combines with an enzyme in such a manner as to prevent the normal substrate-enzyme combination and the catalytic reaction."
47,"amblyopic","A toxic sunstance causing amblyopia by damaging the optic nerve, such as lead, methanol, antifreeze, or certain drugs.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:11",NULL,NULL,NULL
48,"amebicide",NULL,"antimicrobial agent","33281","2012-04-10 10:05:14","2015-10-27 17:47:53",NULL,NULL,"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans."
49,"amnesigenic",NULL,"aetiopathogenetic role","52209","2012-04-10 10:05:14","2015-10-27 17:47:54",NULL,NULL,"A role played by the molecular entity or part thereof which causes the development of a pathological process."
50,"amphetaminagenic",NULL,NULL,NULL,"2012-04-10 10:05:14","2012-04-10 10:05:14",NULL,NULL,NULL
51,"amphiestrogenic",NULL,NULL,NULL,"2012-04-10 10:05:14","2012-04-10 10:05:14",NULL,NULL,NULL
52,"amphiglycemic","An agent that stabilizes blood sugar levels.
",NULL,NULL,"2012-04-10 10:05:14","2015-11-11 02:32:15",NULL,NULL,NULL
