Paper,compound
PMC7760007," -phellandrene (50.32   3.32%), limonene (23.03   2.53%),  -pinene (8.27   1.28%) and terpinolene"
PMC7803138,"3-carene (terpenes, (1R, 7S, E)-7-Isopropyl-4,10-dimethylenecyclodec-
5-enol (alkenol), and bicyclo[5.2.0]nonane,
2-methylene-4,8,8-trimethyl-4-vinyl-(cycloalkane). curcumene, ?-caryophyllene,
and davanone"
PMC7826859,"Camphene , b-Terpinene, D-Limonene, b-Mycene , g-Terpinene , 4-Terpinenol  . Safrole and Terpinolene  b-Caryophyllene,  Spathulenol and Bicyclogermacrene ,Copaene,  Anethole, Caryophyllene and a-Pinene , a-Selinene and a-Humulene."
PMC7867026,"germacrenes A, B, and D, germacrone, caryophyllene, atractylone, curzerene, and furanodiene"
PMC7898454,"Isopropyl alcohol, acetic acid, methyl ester, bis-dichloromethyl– ether, 5-hepten-2-one, 6-methyl, 2-methoxy-4-vinylphenol, 2,5-dimethyl-3-vinyl-4-hexen-2 ol, humulene Oxide,(?)caryophyllene oxide, benzofuran, neophytadiene, 3,7,
11,15-tetramethyl-2-hexadecen-1-ol, n-hexadecanoic acid, 8, 11, 14- docosatrienoic acid, cis-9-hexadecenal, Cis-cis-9, 12-octadecadienoic acid, 9-Octadecenoic acid,
(E)-, octadecanoic acid"
PMC7914077,eugenol
PMC7915774,"linalool, pinene,  terpinene , sylvestrene,  pinene, o-cymene "
PMC7917600," alpha-pinene,  beta-pinene, and phellandrene"
PMC7922985,"Carvacrol,  Thymol , Geraniol, Linalool, alha -Terpinyl acetate"
PMC7962113,"sesquiterpene.  alpha-pinene, alpha  -terpineol, aromadendrene, D-limonene, endo-borneol"
PMC7993383,
PMC7996600,sesquiterpenes
PMC7998681,"Methyleugenol, eugenol, sabinene, eucalyptol, 4-terpineol,  -pinene, camphor, elemene,  -copaene,  -caryophyllene, epi-cubebol,bcubebol and  -3-carene"
PMC8000019,"p-Cymene
cis-Sabinene hydrate
Terpinen-4-ol
Geraniol 
cis-Sabinene hydrate 
p-Cymene 
Geraniol 
cis-Sabinene hydrate
b-Bourbonene
cis-Sabinene hydrate 
Germacrene D 
Bicyclogermacrene 
"
PMC8000036," -thujene,
 -pinene,  -pinene,  -phellandrene,  -3-carene,  -terpinene, cis-sabinene hydrate, transsabinene
hydrate,  -terpineol,  -copaene, (E)- -caryophyllene, and germacrene D.  -phellandrene, borneol, carvone, and  -
cadinene"
PMC8000775," -panasinsen, (E)-caryophyllene ,
 -copaene selina-4,11-diene, linalool"
