EID	SYNONYM
C214	acetate
C214	Acetate Ion
C214	Acetate ions
C214	monoacetate
C214	ethanoate
C214	Acetat
C214	Ethanoat
C214	Shotgun
C214	Azetat
C214	racemic acetate
C214	acetyl hydroxide
C214	Acetic cid glacial
C215	acetic acid
C215	ethanoic acid
C215	Ethylic acid
C215	Acetic acid glacial
C215	Methanecarboxylic acid
C215	Glacial acetic acid
C215	Vinegar acid
C215	Acetasol
C215	Acide acetique
C215	Essigsaeure
C215	Aci-jel
C215	Azijnzuur
C215	Vinegar
C215	Acido acetico
C215	Kyselina octova
C215	Octowy kwas
C215	Pyroligneous acid
C215	Ethanoic acid monomer
C215	acetyl alcohol
C215	Aceticum acidum
C215	ethoic acid
C215	Otic Tridesilon
C215	Otic Domeboro
C215	Acetic acid (natural)
C215	AcOH
C215	ethanoate
C215	Carboxymethyl Group
C215	Ethanoat
C215	Shotgun
C215	Orlex
C215	Vosol
C215	aceticacid
C215	Somatrel
C215	Ghrh acetate
C215	Grf sumitomo
C215	Somatorelin acetate
C215	Acetic acid 0.25% in plastic container
C215	Essigsaure
C215	Ethylate
C215	Volsol
C215	acetic aicd
C215	acetic-acid
C215	Glacial acetate
C215	acetic cid
C215	actic acid
C215	Aceticacidglacial
C215	acetic -acid
C215	acetic acid-
C215	Methanecarboxylate
C215	Nat. Acetic Acid
C215	Acetasol (TN)
C215	Acetic Acid Natural
C215	Undiluted Acetic Acid
C215	methane carboxylic acid
C215	Acetic Acid (Recovered)
C215	10.Methanecarboxylic acid
C215	FA(2:0)
C215	3,3'-(1,4-phenylene)dipropiolic acid
C215	C2:0
C2776	acetaldehyde
C2776	ethanal
C2776	acetic aldehyde
C2776	ethyl aldehyde
C2776	Acetaldehyd
C2776	Acetylaldehyde
C2776	aldehyde
C2776	Acetic ethanol
C2776	Aldeide acetica
C2776	Octowy aldehyd
C2776	Aldehyde acetique
C2776	acetaldehydes
C2776	Azetaldehyd
C2776	Acetaldehyde (natural)
C2776	ethaldehyde
C2776	ethanone
C2776	1-oxapropylene
C2776	Ethylaldehyde
C2776	acetaldhyde
C2776	acetoaldehyde
C2776	Acetaldeyde
C2776	Aceteldehyde
C2776	acetic hydride
C2776	ethan-1-one
C2776	Acetaldehyde 10%
C2776	Acetaldehyde Natural
C2776	Aldehyde C(2)
C2776	Acetaldehyde polymerized
C2776	Oxidized polyvinyl alcohol
C2776	oxidised poly(vinyl alcohol)
C2776	an oxidized polyvinyl alcohol
C170	acetoin
C170	3-hydroxy-2-butanone
C170	3-hydroxybutan-2-one
C170	acetylmethylcarbinol
C170	Acetyl methyl carbinol
C170	Dimethylketol
C170	2,3-Butanolone
C170	2-Hydroxy-3-butanone
C170	1-Hydroxyethyl methyl ketone
C170	Acetoin (natural)
C170	Acethoin
C170	gamma-Hydroxy-beta-oxobutane
C170	3-hydroxyl-2-butanone
C170	2-Acetoin
C170	2-Butanol-3-one
C170	Butan-2-ol-3-one
C170	.gamma.-Hydroxy-.beta.-oxobutane
C170	2-hydroxy-3-oxobutane
C170	1-Hydroxethyl methyl ketone
C170	acetoine
C170	acetylmethyl-
C170	beta-oxobutane
C170	b-oxobutane
C170	DL-Acetoin
C170	3-Hydroxybutanone
C170	3-Oxo-2-butanol
C170	3-hydroxy-2-oxobutane
C170	3-hydroxy-butan-2-one
C170	3-hydroxy-butane-2-one
C170	Acetoin (may exist as crystalline dimer)
C170	3-Hydroxy-2-butanone; Acetylmethylcarbinol
C2780	acetone
C2780	2-propanone
C2780	propanone
C2780	Dimethyl ketone
C2780	Methyl ketone
C2780	propan-2-one
C2780	Dimethylformaldehyde
C2780	Pyroacetic ether
C2780	beta-Ketopropane
C2780	Dimethylketal
C2780	Chevron acetone
C2780	Ketone propane
C2780	Aceton
C2780	Pyroacetic acid
C2780	dimethylketone
C2780	Acetone (natural)
C2780	Dimethyl formaldehyde
C2780	.beta.-Ketopropane
C2780	d-acetone
C2780	Acetone (NF)
C2780	dimethylcetone
C2780	isopropanal
C2780	methylketone
C2780	Dimethylketon
C2780	Propanon
C2780	Sasetone
C2780	methyl-ketone
C2780	2propanone
C2780	b-Ketopropane
C2780	2-propanal
C2780	Acetone HP
C2780	Acetone (TN)
C2780	methyl methyl ketone
C2780	Pyroacetic spirit (archaic)
C2780	Citronellidene Acetone; Baccartol
C298	benzaldehyde
C298	Benzoic aldehyde
C298	Benzenecarbonal
C298	Phenylmethanal
C298	Benzenecarboxaldehyde
C298	Artificial almond oil
C298	Benzenemethylal
C298	Benzene carbaldehyde
C298	Oil Of bitter almond
C298	Benzene carboxaldehyde
C298	Almond artificial essential oil
C298	benzanoaldehyde
C298	Benzylaldehyde
C298	Benzoyl hydride
C298	Synthetic oil of bitter almond
C298	Artificial essential oil of almond
C298	benzaldehyd
C298	Benzaldehyde (natural)
C298	Benzadehyde
C298	Benzyaldehyde
C298	Phenylformaldehyde
C298	Artificial bitter almond oil
C298	Ethereal oil of bitter almonds
C298	Benzoic acid aldehyde
C298	Phenylmethanone
C298	Phenylmethanal benzenecarboxaldehyde
C298	Benzaldehyde (NF)
C298	Benzaldhyde
C298	benzaidehyde
C298	benzaldehvde
C298	benzaldehye
C298	benzaldeyde
C298	Bitter almond
