Essoil DB Correction needed	Multi CAIDs	caid	caname	unique/synonym	uactivityMatch	uactivity	caName and Synonyms	ActivityClass	(Phytomedicinal Activity) ActionType	Activity Description (AMBRISH: Please try to extract the activity descriptions into a new column/field. These need to be verified somehow)	Specific ActivityTarget	Reported Uses (Diseases, Symptoms, etc.)	MannyNotes_Compound Activity	Route of use: Topical Oral Uncertain Both	VC Product Class	VC Utitlity		caname
Gita, Ambarish, Peter: Please see the errors/updates that will need to be reflected in the EssoilDb’s CAIDs. Many records were associated to multiple activities. Once the activity names are normalized, these records will need to be associated separately to each relevant activity.	This column was meant to store the new CAIDs for the ones with multiple relations	Original EssoilDB caid	Original EssoilDb data	Search status as unique or synonym. First uniquely found activity is marked as `F` and `S` stands for synonym.	Found status of unique activities. `F` stands for uniquely found into Original EssoilDB data.	Unique activities after normalization. (it is alphabatically ordered ).	Ambarish: Please search for synonyms in this column too. Hopefully, you can widen the scope by changing the suffixes of the words (eg. Carcinogen, Carcinogenic, Carcinogenicity). Also, try with and without hyphens (eg. Anti-Viral and antiviral)	Note that I had to create an Activity Class which in some cases is distinct from the Phytomedicinal Activity ActionType. Some good examples of where the Activity Class and Action need to be distinguished is everything in the “Immune | Anti-allergic” or “Immune | Anti-inflammatory” classes. It’s important to define the activities by their specific mode or target of action, so that when formulating we can pinpoint what we want, or hit the problem from multiple angles simultaneously. 	Ambarish/Peter: Please note that there is some repetition here because in some cases, I have separate entries for different “Specific ActivityTarget” values for the same 	Ambarish: Wherever possible, please pull Activity descriptions (like the ones below) into a separate column/field so I can cross-reference against my own. Also, it is very important to me (if possible) that we keep alignment with my table so I can make adjustments to the Activity names in my formulation creation database.	Self explanatory	Self explanatory	Peter: There are quite a few open questions in here that I would love an expert judgement-call on.	When we are searching the liturature, we’ll need to find these words too: Topical Oral Uncertain Both	VC Internal Use Only	VC Internal Use Only		Original EssoilDb data
		9	Anesthetic	F	F	Abortifacient		Analgesic | Pain	Anesthetic (Anti-nociceptive)	Anesthetic: A substance that decreases nerve sensitivity to pain in affected area. numbs affected area, dulls sensation	Pain/Irritation Sensation	Pain/Irritation Sensation			RELIEVE	Good		Anesthetic
					F	Acaricide		Analgesic | Pain	Anesthetic (Anti-nociceptive)	Anesthetic: A substance that decreases nerve sensitivity to pain in affected area. numbs affected area, dulls sensation					RELIEVE	Good		
		8	Analgesic	F	F	ACE-inhibitor		Analgesic | Pain	Anti-nociceptive (Anodyne)	Pain-reliever. Relieves pain by altering the perception of nociceptive stimuli without producing anesthesia or loss of consciousness.  Characterized by reduced response to painful stimuli.	Pain/Irritation Sensation	Pain/Irritation Sensation			RELIEVE	Good		Analgesic
					F	AChE-Inhibitor		Analgesic | Pain	Cytokine IL-01-beta Inhibitor	INHIBITS Cytokine IL-01-beta | (A potent proinflammatory Cytokine that increases the sensation of pain)	IL-01-beta | Macrophage | Endogenous pyrogen, endothelial cell activation, induces acute-phase reactants				REMOVE	Good		
			Anti-pyretic	F	F	Aldose-Reductase Inhibitor		Analgesic | Temperature	Anti-pyretic (Febrifuge)	An agent that reduces fever. Also called an antipyretic.					RELIEVE	Good		Anti-pyretic
			Hypothermic	F	F	Allelochemic		Analgesic | Temperature	Hypothermal (Refrigerant)	A substance to lower the temperature of the body, a part of the body, to reduce the metabolic activity or its tissues, or to provide a local anesthetic effect.					RELIEVE	Neutral		Hypothermic
					F	Allelopathic		Analgesic | Temperature	Pyretic	Warming Effect					RELIEVE	Good		
		97	Counterirritant	F	F	Allergenic		Anti-Irritant | General	Counterirritant				What exactly is a Counter-irritant? Can we further define this into one or more actions or mechanisms of action?		RELIEVE	Good		Counterirritant
					F	Analgesic		Anti-Irritant | General	Emollient	An agent that has a protective and soothing action on the surfaces of the skin and membranes. softens and soothes the skin		rough, dry skin			RELIEVE	Good		
