DAVEid	PlantMatHistCat1	PlantMatHistCat2	SearchTerm	wikidataID
DAVE.PlantMaterialHistory.00	Growth Conditions	Light	full sunlight	
DAVE.PlantMaterialHistory.01	Growth Conditions	Location	altitude	Q190200
DAVE.PlantMaterialHistory.02	Growth Conditions	Propagation Method	micropropagated	Q1934105
DAVE.PlantMaterialHistory.03	Growth Conditions	Propagation Method	micropropagation	Q1934105
DAVE.PlantMaterialHistory.04	Growth Conditions	Season	winter	Q1311
DAVE.PlantMaterialHistory.05	Growth Conditions	Season	spring	Q1312
DAVE.PlantMaterialHistory.06	Growth Conditions	Season	summer	Q1313
DAVE.PlantMaterialHistory.07	Growth Conditions	Season	autumn	Q1314
DAVE.PlantMaterialHistory.08	Growth Conditions	Season	dry season	Q146575
DAVE.PlantMaterialHistory.09	Growth Conditions	Season	rainy season	Q3117517
DAVE.PlantMaterialHistory.10	Growth Conditions	Season	wet season	Q3117517
DAVE.PlantMaterialHistory.11	Growth Conditions	Season	planting time	
DAVE.PlantMaterialHistory.12	Growth Conditions	Season	seasonal change	
DAVE.PlantMaterialHistory.13	Growth Conditions	Stress Type	drought stress	Q12142810
DAVE.PlantMaterialHistory.14	Growth Conditions	Stress Type	salinity stress	
DAVE.PlantMaterialHistory.15	Growth Conditions	Temperature	temperature	Q11466
DAVE.PlantMaterialHistory.16	Growth Conditions	Temperature	incubated	Q28456368
DAVE.PlantMaterialHistory.17	Growth Conditions	Temperature	temperature variation	
DAVE.PlantMaterialHistory.18	Growth Conditions	Water	irrigation with fresh water	
DAVE.PlantMaterialHistory.19	Plant Life Stage		growth stage	Q1342838
DAVE.PlantMaterialHistory.20	Plant Life Stage		pollination	Q134624
DAVE.PlantMaterialHistory.21	Plant Life Stage		fruiting	Q1364
DAVE.PlantMaterialHistory.22	Plant Life Stage		germination stage	Q193838
DAVE.PlantMaterialHistory.23	Plant Life Stage		harvested	Q213753
DAVE.PlantMaterialHistory.24	Plant Life Stage		seed stage	Q40763
DAVE.PlantMaterialHistory.25	Plant Life Stage		vegetative	Q464666
DAVE.PlantMaterialHistory.26	Plant Life Stage		developmental stage	Q48834911
DAVE.PlantMaterialHistory.27	Plant Life Stage		after flowering	Q593803
DAVE.PlantMaterialHistory.28	Plant Life Stage		beginning of flowering	Q593803
DAVE.PlantMaterialHistory.29	Plant Life Stage		anthesis	Q593803
DAVE.PlantMaterialHistory.30	Plant Life Stage		flowering	Q593803
DAVE.PlantMaterialHistory.31	Plant Life Stage		late flowering	Q593803
DAVE.PlantMaterialHistory.32	Plant Life Stage		post anthesis	Q593803
DAVE.PlantMaterialHistory.33	Plant Life Stage		pre anthesis	Q593803
DAVE.PlantMaterialHistory.34	Plant Life Stage		budding	Q845312
DAVE.PlantMaterialHistory.35	Plant Life Stage		floral budding	Q845312
DAVE.PlantMaterialHistory.36	Plant Life Stage		full budding	Q845312
DAVE.PlantMaterialHistory.37	Plant Life Stage		blooming stage	Q885360
DAVE.PlantMaterialHistory.38	Plant Life Stage		full bloom	Q885360
DAVE.PlantMaterialHistory.39	Plant Life Stage		pre-blooming	Q885360
DAVE.PlantMaterialHistory.40	Plant Life Stage		fruit set	
DAVE.PlantMaterialHistory.41	Plant Material Product	Plant Extract	vacuum distilled oil	Q1648382
DAVE.PlantMaterialHistory.42	Plant Material Product	Plant Extract	conventionally distilled oil	
DAVE.PlantMaterialHistory.43	Plant Material Product	Plant Extract	residual oil	
DAVE.PlantMaterialHistory.44	Plant Material Product	Plant Extract	volatile extract	
DAVE.PlantMaterialHistory.45	Plant Material Product	Plant Extract	wax extract	
DAVE.PlantMaterialHistory.46	Plant Material Selection	Breed	cultivated breeds	Q788558
