term	wikidata
after flowering	
air dried	Q56402032
altitude	Q190200
autolysis products	
autumn	Q1314
beginning of flowering	
blooming stage	
budding	
cold pressed	
conventionally distilled oil	
cultivated breeds	
desiccation	Q903071
developmental stage	Q48834911
dried	
drought stress	Q12142810
dry season	Q146575
extraction technique	
female plants	
floral budding	
flowering	Q506
freeze-dried	Q723912
fresh plant	
fruit set	
fruiting	Q1364
full bloom	
full budding	
full sunlight	
harvested	
headspace solid phase microextraction	
headspace solvent microextraction	
hexane extract	
hydrodistillation	Q1164392
incubated	
irrigation with fresh water	Q57956381
late flowering	
male plant	Q3502269
micro-steam distillation	
microdistillation	
micropropagated	
microwave distillation	Q57203738
microwave-dried	
non-fruiting trees	
oven-dried	Q56403287
planting time	
post anthesis	
powdered	
pre anthesis	
pre-blooming	
rainy season	Q3117517
re-hydration	
residual oil	
salinity stress	
seasonal change	
shade-dried	
solid-phase microextraction	Q903970
solvent extraction	Q866399
species comparision	
spring	Q124714
steam distillation	Q1164392
summer	Q1313
supercritical co2	
supercritical extraction	
supercritical fluid extraction	
superheated water extraction	
temperature variation	
vacuum distilled oil	
variety comparision	
vegetative	Q464666
volatile extract	
water distillation	Q274959
wax extract	
wet season	Q3117517
wild breed	Q60031908
winter	Q1311
