activity,count
antioxidant,286
antimicrobial,259
antifungal,151
anti-inflammatory,139
agents,130
derivatives,84
antiviral,78
cytotoxicity,73
Antifungal,61
wound healing,37
analgesic,33
antiparasitic,29
anthelmintic,28
antidiabetic,28
cosmetics,22
sedative,20
antimalarial,19
derivative,18
antiseptic,17
Therapeutic,17
anxiolytic,16
wound healing,,15
repellent,15
Antioxidants,13
diuretic,12
antiprotozoal,12
antispasmodic,11
stimulant,10
genotoxic,10
antipyretic,10
hepatotoxicity,10
Antiparasitic,10
prostaglandin,10
GABAergic,10
wound healing.,8
adjuvant,8
genotoxicity,8
hypolipidemic,7
fungicides,7
antimycotic,7
insecticide,7
antimicrobial agent,6
adenosine,6
muscle relaxant,6
neurotoxicity,6
perfume,6
pesticides,6
antiulcer,6
anticancer drug,5
disinfectant,5
astringent,5
antihyperlipidemic,5
antineoplastic,5
aphrodisiac,5
antihyperglycemic,5
Calcium,5
pesticide,5
prostaglandins,5
vermifuge,4
Repellent,4
anti-inflammatory agent,4
anesthetic,4
hypnotic,4
insect repellent,4
purgative,4
anthelmintics,4
allergens,4
neuroprotection,4
Minor,4
immunomodulator,3
spermicide,3
hypocholesterolemic,3
liver damage,3
myorelaxant,3
oxidant,3
Inhibitors,3
carcinogens,3
fungicide,3
antimicrobial agent,,3
protease inhibitor,3
immunostimulant,3
make up,3
sunscreen,3
hemostatic,3
carcinogen,3
vasodilator,3
hypoglycemic agent,3
antihistamine,3
anticoagulant,2
Dermatitis,2
nephrotoxicity,2
antiulcerogenic,2
liver damage.,2
Diuretic,2
reproductive toxicity,2
antimicrobial agent.,2
larvicide,2
laxative,2
Antibacterials,2
prooxidant,2
phototoxic,2
anticancer agent.,2
acaricide,2
antitussive,2
muscle relaxant.,1
protease inhibitor.,1
Insecticides,1
analgesics,1
muscle relaxant,,1
antiviral drug,1
Antifeedant,1
emetic,1
Choleretic,1
acaricides,1
anti-inflammatory agent,,1
Bacteriostatic,1
reproductive toxicity,,1
hypoglycemic agents,1
Antiinflammatory,1
protease inhibitors,1
febrifuge,1
herbicides,1
calcium channel blockers,1
insect repellent,,1
antimutagens,1
Antiseptics,1
anticancer agent,1
irritant,1
bronchodilator,1
makeup,1
antiinflammatory agents,1
anticancer drug,,1
vermicide,1
anticancer agent,,1
anti-infective agent,1
allelopathy,1
antioxidante,1
anaphylactic,1
Chemoprevention,1
