eoPlant,count
oregano,48
rosemary,34
Origanum vulgare,33
basil,32
Thymus vulgaris,32
Nigella sativa,30
garlic,25
Rosmarinus officinalis,23
Syzygium aromaticum,23
Salvia officinalis,23
absinthium,21
Artemisia annua,19
Mentha pulegium,19
Cinnamon,18
Mentha longifolia,17
Ocimum basilicum,17
Mentha piperita,17
Zataria multiflora,16
Curcuma longa,16
Thyme,15
peppermint,15
Eucalyptus globulus,15
Artemisia dracunculus,15
Cymbopogon citratus,15
Psidium guajava,15
Allium sativum,15
Artemisia absinthium,15
lemongrass,14
Melaleuca alternifolia,14
Melissa officinalis,14
Zingiber officinale,14
Lemon,14
Rosemary,14
Lavandula angustifolia,13
Mentha spicata,13
Pistacia lentiscus,12
Echinacea purpurea,12
Foeniculum vulgare,12
marjoram,11
Satureja hortensis,11
fennel,10
rosaeodora,10
Litsea cubeba,10
Artemisia vulgaris,10
Achillea millefolium,9
Origanum syriacum,9
Piper nigrum,9
tarragon,9
Pelargonium graveolens,9
Cinnamomum zeylanicum,9
Citrus limon,9
spearmint,9
Artemisia sieberi,8
Origanum onites,8
lemon balm,8
Ageratum conyzoides,8
Rosa damascena,8
Coriandrum sativum,8
Artemisia herba-alba,8
Chenopodium ambrosioides,8
Thymus capitatus,7
Artemisia nilagirica,7
Hyptis suaveolens,7
Zingiber officinale,,7
Carica papaya,7
Acorus calamus,7
Guava,7
Turmeric,7
Artemisia abrotanum,7
Ocimum gratissimum,7
Cinnamomum zeylanicum,,6
Hypericum perforatum,6
Mentha arvensis,6
Calendula officinalis,6
Tetraclinis articulata,6
Laurus nobilis,6
Thymus algeriensis,6
Pistacia atlantica,6
Thymus daenensis,6
Argan,6
Nigella sativa,,6
Citrus aurantium,6
Citrus sinensis,5
Mentha rotundifolia,5
Salvia officinalis,,5
Eucalyptus citriodora,5
Rosmarinus officinalis,,5
Thymus munbyanus,5
Nicotiana tabacum,5
Mentha aquatica,5
wormwood,5
Ocimum basilicum,,5
Pimpinella anisum,5
Artemisia dracunculus,,5
Bunium persicum,4
Thymus serpyllum,4
Artemisia scoparia,4
Lavandula angustifolia,,4
Tagetes erecta,4
Origanum majorana,4
Lippia alba,4
Argania spinosa,4
Stachys lavandulifolia,4
Bupleurum rigidum,4
Satureja thymbra,4
Artemisia aucheri,4
Lavandula dentata,4
Pennyroyal,4
wild mint,4
Mentha spicata,,4
Thymus kotschyanus,4
Mentha piperita,,4
Ruta chalepensis,4
Aniba rosaeodora,4
Nigella sativa.,4
Artemisia absinthium,,4
Bixa orellana,4
Eucalyptus camaldulensis,4
Allium sativum,,4
Curcuma longa,,4
Satureja hortensis,,4
Lantana camara,3
Mentha rotundifolia,,3
Tagetes minuta,3
Bidens pilosa,3
Coriandrum sativum,,3
Cymbopogon nardus,3
Zataria multiflora,,3
mugwort,3
Schinus molle,3
black pepper,3
Myristica fragrans,3
Artemisia maritima,3
Mentha longifolia,,3
Myrtus communis,3
Thymus daenensis,,3
Nigella damascena,3
Montanoa tomentosa,3
Ocimum selloi,3
Annona reticulata,3
Ocimum sanctum,3
Artemisia campestris,3
Lippia sidoides,3
Stachys lavandulifolia,,3
Sphaeranthus indicus,3
Valeriana officinalis,3
Lavandula officinalis,3
lemon balm,,3
Cymbopogon citratus,,3
Piper nigrum,,3
Tanacetum vulgare,3
Carum carvi,3
Argania,3
Litsea cubeba,,3
Damask rose,2
Wedelia chinensis,2
Eucalyptus camaldulensis,,2
Laurus nobilis,,2
Psidium guajava,,2
Daucus carota,2
Rubus ulmifolius,2
hyssop,2
Malus domestica,2
Laggera pterodonta,2
Mentha citrata,2
Artemisia abrotanum,,2
Syzygium cordatum,2
Croton zehntneri,2
Zataria multiflora.,2
Artemisia nilagirica,,2
Cicer arietinum,,2
Pilgerodendron uviferum,2
Eucalyptus globulus,,2
Ageratum conyzoides,,2
Ageratum conyzoides.,2
Echinophora platyloba,,2
Dracocephalum kotschyi,2
Arnica montana,2
Valeriana jatamansi,2
Satureja sahendica,2
Pogostemon cablin,2
Foeniculum vulgare,,2
Melaleuca quinquenervia,2
Stachys schtschegleevii,2
Hypericum hircinum,2
Chenopodium ambrosioides,,2
Nepeta cataria,2
Myrtus communis L.,2
Origanum syriacum.,2
Teucrium persicum,2
Ocimum gratissimum,,2
Ocimum gratissimum.,2
Bupleurum fruticosum,2
Apium graveolens,2
Corymbia citriodora,2
Teucrium montanum,2
Apium graveolens,,2
Alpinia zerumbet,2
Myrica gale,2
Hedychium gardnerianum,2
Platycladus orientalis,2
Chrysopogon zizanioides,,2
Juniper,2
southernwood,2
Myrciaria floribunda,2
Artemisia judaica,2
lemon balm.,2
Feijoa sellowiana,2
Stachys lavandulifolia.,2
Anethum graveolens,2
Lavandula intermedia,2
Cymbopogon winterianus,2
Tagetes,2
Artemisia dracunculus.,2
Juniperus phoenicea,,2
bitter orange,2
Juniperus communis,2
Ruta graveolens,2
Monodora myristica,2
Eugenia uniflora,2
Ferula szowitsiana,2
Tobacco,2
Satureja montana,2
Hyptis suaveolens.,2
yarrow,2
Thymus vulgaris,,2
Mentha pulegium,,2
Anacardium humile,2
Origanum vulgare.,2
Helichrysum italicum,2
Melaleuca alternifolia.,2
Thymbra capitata,2
Anethum graveolens,,2
wild mint,,2
Ferula gummosa,2
Coridothymus capitatus,,2
Lippia javanica,,1
sweet potato,1
Dracocephalum moldavica,1
Origanum floribundum,1
Artemisia caerulescens,1
Bupleurum gibraltarium,1
Heteropyxis natalensis,1
Ceylon cinnamon,1
Lebanese oregano,,1
ajowan,1
Croton cajucara,1
old man,,1
Cymbopogon martini,1
Pimenta dioica,,1
Coleus aromaticus,1
Marrubium vulgare,1
Zingiber zerumbet,1
Monterey cypress,1
Pistacia lentiscus.,1
Pistacia lentiscus,,1
Annona glabra,1
Summer savory,,1
wood betony,1
Artemisia abrotanum.,1
field mint,,1
Echinacea purpurea,,1
Syzygium aromaticum,,1
Origanum dictamnus,1
Cupressus sempervirens,1
Agastache foeniculum,1
Aloysia gratissima,1
Citrus maxima,1
Trachyspermum ammi,1
Artemisia arborescens,1
Agastache foeniculum,,1
Cymbopogon proximus,1
Micromeria cristata,1
Hyptis spicigera,1
Artemisia deserti,1
Bupleurum marginatum,1
Heracleum persicum,1
Ficus benjamina,1
Aloysia triphylla,1
Rosa damascena,,1
Lavandula latifolia,1
Syrian oregano,,1
betony,1
wild thyme,1
Bible hyssop,1
absinthe,1
Juniperus oxycedrus,1
Artemisia fragrans,1
Thymbra spicata,,1
Lippia gracilis,1
Perovskia atriplicifolia,1
Thymus zygis,,1
Daucus carota,,1
Campomanesia xanthocarpa,1
Artemisia scoparia,,1
Eryngium billardieri,1
Cannabis sativa,1
Origanum syriacum,,1
Hyssopus officinalis,,1
Ferula glauca,1
Artemisia vulgaris.,1
Lavandula viridis,1
Artemisia vulgaris,,1
Water mint,1
Thymus capitatus,,1
Lippia graveolens,,1
Lippia graveolens,1
Mentha arvensis,,1
Coleus aromaticus,,1
Eucalyptus camaldulensis;,1
winter savory,1
Ziziphus spina-christi,1
Origanum acutidens,1
Pulicaria dysenterica,1
Petroselinum crispum,,1
Zingiber neesanum,1
Origanum ehrenbergii,1
Eupatorium triplinerve,1
Corymbia citriodora,,1
Copaifera reticulata,1
Lavandula stoechas,1
Zingiber officinale.,1
