eoplant_part,count
leaves,384
leaf,286
seed,274
fruit,181
root,155
herb,96
flowering,94
herbs,92
bark,81
flower,77
rhizome,62
peel,58
shoot,46
resin,44
wood,41
trichomes,36
epidermis,22
berry,20
trichome,17
needle,17
pomace,15
pollen,14
heartwood,14
tuber,14
branch,12
ovary,12
xylem,10
bulb,10
calyx,10
apical,9
sapwood,9
pericarp,8
cone,7
petiole,7
placenta,7
gall,7
corolla,7
radicle,6
corona,6
foliage,6
stomata,5
rosette,5
flowering top,5
twig,5
phloem,5
pith,4
flowering top,,4
panicle,4
coleoptile,3
blade,3
Trichome,3
stigma,3
petal,3
plant root,3
Pollen,2
pistil,2
filament,2
ovule,2
spine,2
stamen,2
gynoecium,1
plant stem.,1
raceme,1
floret,1
aril,1
guard cell,1
petiolate,1
carpel,1
Xylem,1
androecium,1
vascular bundle,1
Epidermis,1
Phloem,1
plant stem,1
receptacle,1
