disease,count
cancer,681
breast cancer,146
suppression,141
obesity,127
cardiovascular disease,99
colon cancer,92
malaria,83
leukemia,78
atherosclerosis,71
colorectal cancer,67
colitis,62
metabolic syndrome,61
asthma,58
arthritis,58
dermatitis,56
diarrhea,53
lung cancer,51
heart disease,51
prostate cancer,50
diabetes mellitus,48
pneumonia,44
candidiasis,43
hepatocellular carcinoma,42
tuberculosis,39
dementia,36
allergy,35
cardiovascular disease,,34
liver disease,33
filariasis,31
influenza,30
neuroblastoma,30
neurodegeneration,28
fatty liver disease,27
rheumatoid arthritis,,25
atopic dermatitis,24
cardiovascular disease.,24
rheumatoid arthritis,24
glioma,23
epilepsy,22
leishmaniasis,22
hyperglycemia,22
osteoarthritis,22
hepatitis,22
ulcerative colitis,22
herpes simplex,21
osteoporosis,21
dyslipidemia,21
ovarian cancer,19
periodontitis,19
hypersensitivity,19
heart disease,,19
infertility,18
pancreatic cancer,18
aids,18
anemia,18
lung carcinoma,17
mastitis,17
lymphoma,17
stroke,17
liver cancer,17
encephalitis,16
dental caries,16
cervical cancer,16
cirrhosis,15
metabolic syndrome,,15
chikungunya,15
dyspepsia,14
diabetes mellitus,,14
macular degeneration,14
constipation,13
contact dermatitis,13
liver disease,,12
psoriasis,12
myeloid leukemia,12
chronic kidney disease,12
cystic fibrosis,12
nephropathy,12
infectious disease,12
major depressive disorder,11
gout,11
gingivitis,11
glucose intolerance,11
peritonitis,10
yellow fever,10
irritable bowel syndrome,10
breast cancer,,10
oral cancer,10
trypanosomiasis,10
male infertility,10
periodontal disease,9
skin cancer,9
metabolic syndrome.,9
oral candidiasis,9
cardiomyopathy,9
scabies,9
dengue fever,9
bladder cancer,8
colon cancer.,8
anisakiasis,8
osteosarcoma,8
urinary tract infection,8
listeriosis,8
multiple sclerosis,8
allergic asthma,8
rhinitis,8
acute myocardial infarction,8
neuropathy,8
common cold,,7
migraine,7
anxiety disorder,7
cutaneous leishmaniasis,7
pulmonary fibrosis,7
gastric ulcer,7
chronic myeloid leukemia,7
stomatitis,7
dental caries.,6
atrial fibrillation,6
endocarditis,6
encephalopathy,6
breast cancer.,6
peptic ulcer,6
sinusitis,6
gastroenteritis,6
multiple myeloma,6
cholangiocarcinoma,6
food allergy,6
autism,6
generalized anxiety disorder,6
fibromyalgia,6
glaucoma,6
alopecia,6
amelanotic melanoma,6
stomach cancer,6
yellow fever,,6
malabsorption,6
schizophrenia,6
pancreatitis,5
periodontal disease,,5
mycosis,5
renal cell carcinoma,5
liver disease.,5
atopic dermatitis,,5
vaginitis,5
denture stomatitis,5
chronic obstructive pulmonary disease,5
cataract,5
multiple sclerosis,,5
meningitis,5
colorectal cancer,,5
sarcoma,5
vitiligo,5
prostate cancer,,4
fatty liver disease,,4
colon cancer,,4
cholestasis,4
myiasis,4
avian influenza,4
schistosomiasis,4
acne vulgaris,4
retinopathy,4
otitis media,4
syphilis,4
diabetic retinopathy,4
glioblastoma multiforme,4
encephalomyelitis,4
trichomoniasis,4
multiple myeloma,,4
mumps,4
heart disease.,4
coeliac disease,4
dengue fever,,4
endometrial cancer,4
hypoglycemia,4
allergic rhinitis,4
hyperuricemia,4
cardiovascular disease;,4
hyperinsulinemia,4
irritable bowel syndrome,,3
ileus,3
pulmonary fibrosis,,3
oral submucous fibrosis,3
liver cancer.,3
dental caries,,3
chronic lymphocytic leukemia,3
sleeping sickness,3
allergic contact dermatitis,3
macular degeneration,,3
rash,3
endophthalmitis,3
adenoma,3
pancreatic cancer,,3
gastrointestinal cancer,3
pediculosis,3
post-traumatic stress disorder,3
gonorrhea,3
rheumatoid arthritis.,3
cystic fibrosis,,3
cardiac arrest,3
fibrosarcoma,3
cutaneous leishmaniasis.,3
chronic kidney disease,,3
autoimmune disease,3
chronic kidney disease.,3
pharyngitis,3
polycystic ovary syndrome,3
diabetes mellitus.,3
hepatoblastoma,3
pulmonary hypertension,3
neurological disorder,3
proteinuria,3
cystitis,3
arteriosclerosis,3
echinococcosis,3
brain cancer,3
uveitis,3
choriocarcinoma,3
visceral leishmaniasis,3
ulcerative colitis,,3
typhoid fever,,3
cellulitis,3
lung cancer,,3
urticaria,3
parasitic disease,3
bipolar disorder,,2
giardiasis,2
dengue hemorrhagic fever,,2
amyloidosis,2
thyroid cancer,2
contact dermatitis,,2
gallbladder disease,2
monocytic leukemia,2
sleep disorder,2
prostate cancer.,2
lymphadenitis,2
fatty liver disease.,2
respiratory disease,2
vaginal discharge,2
heart attack,2
periodontal disease.,2
nasopharyngeal carcinoma,2
allergic asthma,,2
atopic dermatitis.,2
rhabdomyosarcoma,2
sleep apnea,2
pityriasis versicolor,,2
onchocerciasis,2
male infertility.,2
amyotrophic lateral sclerosis,,2
methemoglobinemia,2
hypogonadism,2
hepatic encephalopathy,2
septic arthritis,2
conjunctivitis,2
hemolytic anemia,2
otitis media,,2
scurvy,2
heart attack,,2
glucose intolerance,,2
keratitis,2
lung carcinoma,,2
peripheral neuropathy,2
cheilitis,2
chronic kidney disease;,2
rabies,2
acute promyelocytic leukemia,2
hepatocellular carcinoma;,2
hepatocellular carcinoma.,2
androgenic alopecia,2
endometriosis,2
pleurisy,2
gastric ulcer,,2
common cold,2
bipolar disorder,2
cardia cancer.,2
lipodystrophy,2
urethritis,2
gastrointestinal disease,2
diabetic neuropathy,2
infectious disease,,2
dengue fever.,2
skin cancer,,2
bacterial pneumonia,2
cystic echinococcosis,2
suppurative otitis media,2
diabetic retinopathy.,2
pernicious anemia,,2
osteomyelitis,2
hypothyroidism,2
colorectal cancer.,2
iron deficiency anemia,2
acute pancreatitis,2
dermatophytosis,2
campylobacteriosis,2
seborrheic dermatitis,,2
lung cancer.,2
aspergillosis,2
food allergy,,1
plague,1
toxoplasmosis,1
superficial mycosis,,1
carpal tunnel syndrome,1
eosinophilia,1
irritable bowel syndrome.,1
leprosy,1
irritant contact dermatitis,,1
smallpox,1
eye disease,,1
mite infestation;,1
acute respiratory distress syndrome,1
respiratory failure.,1
respiratory failure,,1
paralytic ileus,1
fanconi syndrome,1
movement disorder.,1
vascular dementia,1
ankylosing spondylitis,1
prostate cancer?,1
neonatal jaundice,1
premature ejaculation,1
liver cancer;,1
xerophthalmia,1
stomach disease.,1
nicotine dependence,1
metabolic disorder,,1
irritable bowel syndrome;,1
esophageal cancer,,1
amnesia,1
chickenpox,1
lung abscess,,1
duodenal ulcer,1
progeria,1
retinoblastoma,1
vaginal discharge.,1
rubella,1
septic arthritis,,1
anthrax,1
urinary tract infection.,1
amoebiasis,1
oligospermia,1
generalized anxiety disorder.,1
endometrial cancer.,1
esophageal cancer,1
bacterial disease.,1
somatization disorder,1
coeliac disease.,1
prediabetes,1
pyruvate dehydrogenase deficiency,,1
megaloblastic anemia.,1
lymphoid leukemia,1
cryptosporidiosis,1
breast cancer?,1
chronic apical periodontitis,1
pancreatic cancer.,1
atrial fibrillation,,1
orchitis,1
herpes zoster,1
amyotrophic lateral sclerosis.,1
periodontal disease?,1
idiopathic pulmonary fibrosis,1
infective endocarditis,1
sclerosing cholangitis,1
eye disease,1
acute tubular necrosis,1
neurological disorder,,1
varicose veins,,1
angioedema,1
bacterial meningitis,1
skin melanoma,1
cerebral infarction,,1
ariboflavinosis,1
typhoid fever,1
pulmonary tuberculosis,1
glucose intolerance.,1
ovarian cancer,,1
pemphigus,1
cerebral malaria,1
heart attack.,1
acute monocytic leukemia,1
substance abuse,,1
tick-borne encephalitis,1
lysosomal storage disease,1
vaccinia virus,1
intestinal cancer,1
hypokalemia,1
collagenous colitis,1
chronic obstructive pulmonary disease,,1
toxic shock syndrome,1
hernia,1
impetigo,1
oral submucous fibrosis,,1
coronary thrombosis,1
actinic keratosis,,1
head and neck cancer,,1
lung disease,1
goiter,1
retinitis,1
cutaneous leishmaniasis,,1
brain ischemia,,1
systolic heart failure,1
vulvovaginitis,1
anxiety disorder.,1
cerebral infarction,1
insulinoma,1
glycogen storage disease,1
bowel obstruction.,1
hypophosphatemia,1
platelet storage pool deficiency,1
aortic atherosclerosis,1
hemorrhoid,1
ileitis,1
oral candidiasis;,1
metabolic disorder,1
corneal disease,1
cervical cancer,,1
diabetes mellitus;,1
mastocytosis,1
androgenic alopecia,,1
