monoterpene,count
Limonene,304
Linalool,264
Carvacrol,168
Thymol,164
Camphor,155
Camphene,152
Sabinene,151
Terpinen-4-ol,131
Myrcene,127
Borneol,127
Geraniol,83
Carvone,75
Eucalyptol,72
Citral,61
Piperitone,51
Menthol,51
Pulegone,48
Linalyl acetate,45
Menthone,37
Citronellal,36
Citronellol,33
Nerol,33
Verbenone,32
Terpineol,23
Thymoquinone,22
Ocimene,21
Thujone,21
Terpinene,18
Phellandrene,15
Fenchone,14
Pinene,14
Menthofuran,13
Thujene,10
Carveol,10
Cuminaldehyde,9
Lavandulyl acetate,9
Lavandulol,8
Chrysanthenone,7
Verbenol,6
Ascaridole,6
Carene,6
Fenchol,6
Perillaldehyde,5
Safranal,4
Rose oxide,4
Geranic acid,4
Umbellulone,4
Alpha-Pinene,4
P-Cymene,3
Perillene,2
Picrocrocin,2
Myrcenol,2
Sobrerol,1
Geranyl pyrophosphate;,1
Beta-Pinene,1
Levoverbenone,1
Linalyl acetate,,1
8-Hydroxygeraniol,1
Perilla ketone,1
Bornane,1
