funders,count
World Health Organization,66
World Health Organization.,13
Ministry of Health,12
Royal Society,11
Microsoft,11
Food and Drug Administration,10
National Academy of Sciences,10
Merck,9
Research and Development,8
Orange,8
Health Research,8
Ministry of Education,,8
Roche,8
National Research Foundation,6
School of Medicine,,6
United Nations,6
Shell,6
EMBO,6
National Institutes of Health,6
Wellcome Trust,6
United Nations.,6
King Saud University,6
Bill and Melinda Gates Foundation,5
Thermo Scientific,5
National Natural Science Foundation of China,5
University of California,,5
Thermo Scientific,,5
World Health Organization;,5
European Parliament,4
National Institutes of Health,,4
European Commission,4
Tabriz University of Medical Sciences,,4
Centers for Disease Control and Prevention,4
National Cancer Institute,4
Department of Health,4
University of Ghana.,4
National Institute of Allergy and Infectious Diseases,4
Agilent Technologies,4
Home Office,4
National Science Foundation,4
Jimma University,4
European Social Fund,3
National Institute of Standards and Technology,3
University of Karachi,3
Texas Tech University,3
Ministry of Education,3
Medicines for Malaria Venture,3
National Institute of Allergy and Infectious Diseases,,3
University of Ibadan,,3
Cairo University,,3
University of the Punjab,,3
GlaxoSmithKline,3
Siemens,3
Indiana University,3
KU Leuven,3
AstraZeneca,3
Universiti Sains Malaysia,3
College of Pharmacy,,3
North-Eastern Hill University,,2
Harvard University,2
Ministry of Public Health,2
National and Kapodistrian University of Athens,2
U.S. Food and Drug Administration,2
University of Cape Town,2
Chinese Academy of Sciences,,2
Shanghai Jiao Tong University,,2
Queen Mary University of London.,2
University of Dundee,,2
Ministry of Higher Education,,2
Faculty of Veterinary Medicine, Cairo University,,2
University Grants Commission,,2
Technische Universität Dresden,2
Agilent Technologies,,2
U.S. Department of Agriculture,,2
University of Oklahoma,2
Division of Integrative Organismal Systems,2
Southern Cross University,2
John Templeton Foundation,2
University of Pretoria,,2
University of Georgia,2
National Oceanic and Atmospheric Administration,2
Hokkaido University,,2
Food and Drug Administration,,2
Food and Drug Administration.,2
King Saud University,,2
King Saud University.,2
Medical Research Council,2
BASF,2
GE Healthcare,2
Universiti Teknologi MARA,,2
Tabriz University of Medical Sciences,2
Texas Tech University.,2
Ministry of Environment,,2
Biotechnology and Biological Sciences Research Council,2
Natural Sciences and Engineering Research Council of Canada,2
Chinese Academy of Sciences,2
World Health Organization,,2
Hitachi,2
Science and Engineering Research Board,2
Ministry of Higher Education,2
Western Michigan University,,2
Public Health Institute,2
Ministry of Public Health,,2
Imperial College London,2
University of Melbourne,,2
University of Queensland,2
Animal and Plant Health Agency,2
University of Toronto,,2
National Academy of Sciences.,2
University of Cape Town,,2
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,2
Medical Research Council,,2
McGill University,,2
Flinders University,2
Baylor College of Medicine.,2
Flinders University,,2
Health Research,,2
European Research Council,2
National and Kapodistrian University of Athens.,2
National and Kapodistrian University of Athens,,2
Oregon State University,2
Bayer,2
University of Pennsylvania,,2
Teagasc,2
Quaid-i-Azam University,2
Ministry of Natural Resources,2
PATH,1
Fundação de Apoio ao Desenvolvimento do Ensino, Ciência e Tecnologia do Estado de Mato Grosso do Sul,1
Abdul Wali Khan University, Mardan,,1
Royal Society,,1
Natural History Museum,1
Universidade Federal do Pará,1
Veterinary Laboratories Agency,1
University of California,1
South African Medical Research Council,1
Ministry of Agriculture and Rural Development,1
KU Leuven,,1
John Innes Foundation,,1
Australian Research Council,1
George Washington University,1
Shandong Province,1
Instituto de Salud Carlos III,1
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,,1
American University of Beirut,,1
University of Melbourne,1
Janssen Pharmaceuticals,1
Centers for Disease Control and Prevention,,1
Academy of Medical Sciences,1
Agricultural Research Council,,1
Tulane University,,1
Lupus Research Institute,,1
University of Minnesota,1
University of Strathclyde,1
Jackson Laboratory,1
Taipei Medical University,,1
Cochlear,1
Technische Universität Dresden,,1
Ministry of Agriculture, Food and Rural Affairs,1
Marine Institute,,1
American Society for Microbiology,1
Open University,1
National Science Council,1
University of Chicago,1
American Association of University Women,1
Universidad Nacional Autónoma de México,,1
University of Hong Kong,1
Amon G. Carter Foundation,,1
Emory University,,1
Herb Society of America,1
Department of Health,,1
EMD Serono,1
University of Arizona,1
National Research Centre,,1
Calouste Gulbenkian Foundation.,1
National Research Centre.,1
Seoul National University,1
North-Eastern Hill University,1
Taibah University,,1
Novartis,1
South China Normal University,,1
Philips,1
Mahidol University,1
Mahidol University.,1
China Medical University,,1
Ministry of Science and Technology,1
Drug Applied Research Center, Tabriz University of Medical Sciences,,1
"State Administration of Traditional Chinese Medicine of the People's Republic of China",1
Ministry of Health,,1
Institut National de la Recherche Agronomique,,1
Hospital for Sick Children,,1
Yangzhou University,,1
Conselho Nacional de Desenvolvimento Científico e Tecnológico,1
Morris Animal Foundation,1
Sanofi,1
Zhejiang University,1
Hong Kong University of Science and Technology,,1
Aston University,,1
Faculty of Veterinary Medicine, Cairo University,1
Chinese Academy of Agricultural Sciences,,1
Ministry of Finance,1
South African Medical Research Council,,1
ProQuest,1
Hokkaido University,1
Moredun Foundation.,1
National Research Centre,1
American Chemical Society,,1
National Institute of Allergy and Infectious Diseases.,1
University of Illinois at Chicago,,1
Howard Hughes Medical Institute,1
Mayo Clinic,1
Canadian Institutes of Health Research,1
Deutsche Forschungsgemeinschaft,1
Universidade Federal do Piauí,,1
COMSATS Institute of Information Technology,,1
Universiti Putra Malaysia.,1
Pfizer,1
Chinese Academy of Medical Sciences,,1
Durban University of Technology,,1
VIT University,1
Indian Council of Medical Research,1
European Social Fund,,1
European Social Fund.,1
Cairo University,1
Department for International Development,,1
National Cancer Center,1
Academy of Medical Sciences,,1
Oak Ridge Associated Universities,,1
Public Health Institute,,1
Emory University,1
China Postdoctoral Science Foundation,1
University of Ibadan,1
University of Saskatchewan,1
North Carolina Agricultural Foundation.,1
Ministerio de Economía y Competitividad,1
U.S. Department of Health and Human Services.,1
John S. Dunn Foundation,,1
University of Sydney,,1
Universiti Sains Malaysia.,1
Smithsonian Tropical Research Institute,,1
Indian National Science Academy,1
Conselho Nacional de Desenvolvimento Científico e Tecnológico,,1
China Agricultural University,,1
Stavros Niarchos Foundation,1
International Atomic Energy Agency,,1
New England Biolabs,,1
American Chemical Society,1
U.S. Geological Survey,1
Met Office,1
Unilever,1
University of Pennsylvania,1
Western Michigan University,1
Johnson and Johnson,1
College of Pharmacy,1
Stanford University,,1
Michigan State University,,1
University of Peshawar,,1
Faculty of Science, Cairo University,,1
Universidade Federal de Goiás,,1
Swansea University,,1
Universidade de São Paulo,,1
United Nations,,1
Abramson Family Cancer Research Institute,,1
National Center for Research Resources,1
North Carolina State University,,1
Stanford University,1
Quaid-i-Azam University,,1
National Academy of Sciences,,1
European Centre for Disease Prevention and Control,1
