compound	frequency	WIKIDATA_name	WIKIDATA_id	PubChem_CID	PubChem_name
nonacosane	not found	nonacosane	Q151038	12409	nonacosane
alpha-pinene	141	(+)-.alpha.-pinene	Q2095629	6654	alpha-pinene
beta-pinene	131	beta-pinene	Q300928	14896	beta-pinene
limonene	117	(.plusminus.)-limonene	Q278809	22311	limonene
linalool	110	(+/-)-linalool	Q410932	6549	linalool
caryophyllene oxide	102	.beta.-caryophyllene oxide	Q27136294	1742210	caryophyllene oxide
gamma-terpinene	102	.gamma.-terpinene	Q423975	7461	gamma-terpinene
p-cymene	94	p-cymene	Q284072	7463	p-cymene
beta-caryophyllene	92	(+)-beta-caryophyllene	Q27132453	5281515	beta-caryophyllene
camphene	90	camphene	Q416775	6616	camphene
alpha-terpineol	87	alpha-terpineol	Q27109437	17100	alpha-terpineol
sabinene	86	sabinene	Q421278	18818	sabinene
spathulenol	83	spathulenol	Q1376658	92231	spathulenol
germacrene d	82	germacrene d	Q27121451	5317570	germacrene d
delta-cadinene	81	delta-cadinene	Q74417605	441005	(+)-delta-cadinene
alpha-humulene	77	humulene	Q1995108	5281520	humulene
1,8-cineole	76	eucalyptol	Q161572	2758	1,8-cineole
alpha-terpinene	68	.alpha.-terpinene	Q423851	7462	alpha-terpinene
alpha-phellandrene	67	(-)-.alpha.-phellandrene	Q25933788	7460	alpha-phellandrene
beta-elemene	67	beta-elemene	Q72470661	6918391	beta-elemene
camphor	67	camphor	Q181559	2537	camphor
alpha-copaene	66	copaene	Q5168276	70678558	alpha-copaene
myrcene	66	myrcene	Q424577	31253	myrcene
terpinen-4-ol	65	(+/-)-4-terpineol	Q416114	11230	terpinen-4-ol
bicyclogermacrene	61	bicyclogermacrene	Q27132747	13894537	bicyclogermacrene
terpinolene	57	terpinolene	Q2405051	11463	terpinolene
alpha-thujene	51	alpha-thujene	Q27121796	17868	alpha-thujene
borneol	51	borneol	Q27103499	64685	isoborneol
eugenol	48	eugenol	Q423357	3314	eugenol
aromadendrene	43	allo-aromadendrene	Q67879598	91354	aromadendrene
gamma-cadinene	42	(+)-.gamma.-cadinene	Q27132468	6432404	gamma-cadinene
alpha-cadinol	41	(-)-.alpha.-cadinol	Q4734900	10398656	alpha-cadinol
thymol	41	thymol	Q408883	6989	thymol
carvacrol	40	carvacrol	Q225543	10364	carvacrol
beta-bisabolene	39	.beta.-bisabolene	Q11595687	10104370	beta-bisabolene
bornyl acetate	39	(.plusminus.)-bornyl acetate	Q780165	6448	bornyl acetate
beta-selinene	36	(+)-beta-selinene	Q27108640	442393	beta-selinene
beta-myrcene	34	myrcene	Q424577	31253	myrcene
(e)-nerolidol	33	nerolidol	Q72494054	5284507	3,7,11-trimethyldodeca-1,6,10-trien-3-ol
alpha-muurolene	33	alpha-muurolene	Q27133436	12306047	alpha-muurolene
gamma-muurolene	33	gamma-muurolene	Q27133437	12313020	gamma-muurolene
(e)-beta-ocimene	31	(3e)-.beta.-ocimene	Q26777012	5281553	beta-ocimene
beta-phellandrene	31	.beta.-phellandrene	Q19606727	11142	beta-phellandrene
elemol	30	elemol	Q27282855	92138	elemol
(z)-beta-ocimene	29	(3z)-.beta.-ocimene	Q26777005	5320250	(z)-beta-ocimene
alpha-cubebene	28	(-)-.alpha.-cubebene	Q27108605	442359	alpha-cubebene
germacrene b	28	germacrene	Q5550970	5281519	germacrene b
piperitone	28	dl-piperitone	Q2041498	6987	piperitone
viridiflorol	28	viridiflorol	Q27280014	11996452	viridiflorol
delta-3-carene	27	carene	Q19414	26049	3-carene
delta-elemene	26	.delta.-elemene	Q63409802	12309449	delta-elemene
caryophyllene	25	caryophyllene	Q421614	5281515	beta-caryophyllene
geraniol	25	geraniol	Q410836	637566	geraniol
globulol	25	globulol	Q27278826	101716	globulol
myrtenol	25	myrtenol	Q15425810	10582	myrtenol
beta-bourbonene	24	beta-bourbonene	Q27160892	62566	beta-bourbonene
carvone	24	(.plusminus.)-carvone	Q416800	7439	carvone
alpha-selinene	23	.alpha.-selinene	Q7448480	10856614	alpha-selinene
gamma-elemene	22	elemenes	Q56009873	6432312	gamma-elemene
tau-cadinol	22	tau-cadinol	Q55995547	160799	cedrelanol
cis-sabinene hydrate	21	cis-sabinene hydrate	Q72266305	101629835	cis-sabinene hydrate
trans-pinocarveol	21	trans-(-)-pinocarveol	Q27156713	10931630	pinocarveol, cis-(+/-)-
beta-eudesmol	20	.beta.-eudesmol	Q27108630	91457	beta-eudesmol
neral	20	neral	Q27104033	643779	neral
alpha-bisabolol	19	levomenol	not found	1549992	bisabolol
beta-cubebene	19	beta-cubebene	Q27108624	93081	beta-cubebene
citronellol	19	(+/-)-.beta.-citronellol	Q27122080	8842	citronellol
geranyl acetate	19	geranyl acetate	Q426437	1549026	geranyl acetate
verbenene	19	verbenene	Q67880188	6427476	verbenene
alpha-eudesmol	18	.alpha.-eudesmol	Q27108609	92762	alpha-eudesmol
alpha-muurolol	18	not found	not found	100949538	(1r,4r,4ar,6s,8ar)-1,6-dimethyl-4-propan-2-yl-3,4,4a,5,6,7,8,8a-octahydro-2h-naphthalen-1-ol
beta-sesquiphellandrene	18	beta-sesquiphellandrene	Q27133237	12315492	(-)-beta-sesquiphellandrene
myristicin	18	myristicin	Q414057	4276	myristicin
(e)-beta-farnesene	17	(6e)-.beta.-farnesene	Q27108631	5281517	beta-farnesene
germacrene a	17	germacrene a	Q27116867	9548706	(-)-germacrene a
myrtenal	17	myrtenal	Q27270628	61130	myrtenal
nerol	17	nerol	Q415359	643820	nerol
neryl acetate	17	neryl acetate	Q1368877	1549025	neryl acetate
tricyclene	17	tricyclene	Q27133173	79035	tricyclene
nonanal	16	nonanal	Q419668	31289	nonanal
trans-carveol	16	(+/-)-4-terpineol	Q416114	94221	(-)-trans-carveol
4-terpineol	15	(+/-)-4-terpineol	Q416114	11230	terpinen-4-ol
allo-aromadendrene	15	allo-aromadendrene	Q67879598	42608158	allo-aromadendrene
cubenol	15	not found	not found	11770062	cubenol
eucalyptol	15	eucalyptol	Q161572	2758	eucalyptol
linalyl acetate	15	(.plusminus.)-linalyl acetate	Q188314	8294	linalyl acetate
methyl eugenol	15	methyl eugenol	Q419829	7127	methyleugenol
p-cymen-8-ol	15	p-cymen-8-ol	Q27265496	14529	2-(4-methylphenyl)propan-2-ol
pinocarvone	15	pinocarvone	Q27104017	121719	pinocarvone
alpha-farnesene	14	.alpha.-farnesene	Q419814	5281516	alpha-farnesene
alpha-guaiene	14	alpha-guaiene	Q5613309	5317844	alpha-guaiene
alpha-gurjunene	14	(-)-alpha-gurjunene	Q27131296	15560276	(-)-alpha-gurjunene
alpha-terpinolene	14	terpinolene	Q2405051	11463	terpinolene
citronellal	14	(rs)-citronellal	Q61651085	7794	citronellal
curzerene	14	curzerene	Q15410912	572766	curzerene
geranial	14	geranial	Q410888	638011	citral
nerolidol	14	nerolidol	Q72494054	5284507	3,7,11-trimethyldodeca-1,6,10-trien-3-ol
pulegone	14	pulegone	Q413816	442495	pulegone
tau-muurolol	14	(+)-tau-muurolol	Q27132742	51394521	(+)-tau-muurolol
trans-sabinene hydrate	14	(+)-trans-4-thujanol	Q27276574	12315151	trans-sabinene hydrate
1-epi-cubenol	13	(+)-epicubenol 	Q27131288	519857	1-isopropyl-4,7-dimethyl-1,3,4,5,6,8a-hexahydro-4a(2h)-naphthalenol
1-octen-3-ol	13	oct-1-en-3-ol	Q161667	18827	1-octen-3-ol
alpha-cadinene	13	(+)-.alpha.-cadinene	Q27149802	12306048	alpha-cadinene
alpha-terpinyl acetate	13	(+/-)-α-terpinyl acetate 	Q4456134	111037	alpha-terpinyl acetate
beta-ocimene	13	beta-ocimene	Q27108635	5281553	beta-ocimene
gamma-eudesmol	13	gamma-eudesmol	Q27131974	6432005	gamma-eudesmol
o-cymene	13	o-cymene	Q27161449	10703	o-cymene
phytol	13	phytol	Q415945	5280435	phytol
valencene	13	valencene	Q289496	9855795	valencene
viridiflorene	13	ledene	Q27132626	10910653	viridiflorene
(e)-caryophyllene	12	caryophyllene	Q421614	5281515	beta-caryophyllene
alpha-amorphene	12	(-)-alpha-amorphene	Q74417798	12306052	(-)-alpha-amorphene
alpha-calacorene	12	3,4-dihydrocadalene	Q27160655	12302243	alpha-calacorene
beta-copaene	12	.beta.-copaene	Q27277937	57339298	beta-ylangene
menthol	12	menthol	Q407418	1254	menthol
ar-curcumene	11	.alpha.-curcumene	Q27132148	92139	alpha-curcumene
d-limonene	11	(+)-limonene	Q27888324	440917	d-limonene
dillapiole	11	dillapiole	Q419537	10231	dillapiol
