activity,count
antioxidant,459
antimicrobial,370
antibacterial,278
antifungal,203
anti-inflammatory,153
cytotoxic,121
anticancer,77
bactericidal,56
analgesic,48
fungicidal,38
antitumor,37
antiviral,29
insecticide,26
sedative,26
apoptotic,25
hepatoprotective,24
antiseptic,18
bacteriostatic,18
antispasmodic,16
antimutagenic,16
antimalarial,16
fungicide,15
stimulant,14
anti-tumor,13
carcinogenic,13
diuretic,12
antiinflammatory,11
carminative,11
antileishmanial,11
pesticide,10
anticonvulsant,9
antipyretic,8
allelopathic,8
transdermal,7
anti-microbial,7
acaricide,7
anticholinesterase,6
chemopreventive,6
vasodilator,6
perfumery,5
anesthetic,4
neurotoxic,4
antigenotoxic,4
larvicide,4
laxative,3
hypocholesterolemic,3
hypnotic,3
decongestant,3
antiestrogenic,3
antitussive,3
antiacetylcholinesterase,3
irritant,3
antifeedant,2
antiplasmodial,2
teratogenic,2
prooxidant,2
antiacne,2
stomachic,2
antiallergic,2
lipolytic,2
antiobesity,2
expectorant,2
pheromone,2
antiulcer,2
immunomodulator,1
antileukemic,1
spermicide,1
antihistaminic,1
deodorant,1
myorelaxant,1
nematicide,1
antiasthmatic,1
antiflu,1
herbicide,1
hypothermic,1
choleretic,1
