funders,count
World Health Organization,24
Merck,17
National Institute of Standards and Technology,16
Microsoft,11
Conselho Nacional de Desenvolvimento Científico e Tecnológico,10
Royal Society,10
Agilent Technologies,9
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,9
Agilent Technologies,,7
Islamic Azad University,6
United Nations,6
Ministry of Higher Education,6
Ministry of Health,6
Roche,6
European Parliament,5
Thermo Scientific,5
National Natural Science Foundation of China,5
Research and Development,5
Tabriz University of Medical Sciences,5
World Health Organization.,5
Kerman University of Medical Sciences,,5
Department of Health,5
King Saud University,5
Environmental Protection Agency,4
Shiraz University,4
European Commission,4
Ministry of Science and Technology,4
Ministry of Health,,4
Food and Drug Administration,4
Cairo University,,4
National Institutes of Health,4
Islamic Azad University,,4
National Institute of Standards and Technology.,4
College of Pharmacy,,4
Urmia University,3
National Research Foundation,3
Bangladesh Council of Scientific and Industrial Research,,3
School of Medicine,,3
Fundação de Amparo à Pesquisa do Estado de São Paulo,3
King Saud University,,3
Council of Scientific and Industrial Research,,3
Ministério da Saúde,3
World Health Organization,,3
WILEY,3
Kerman University of Medical Sciences,3
Kashan University of Medical Sciences,,3
U.S. Fish and Wildlife Service,,3
American Chemical Society,3
United Nations,,3
Mashhad University of Medical Sciences,3
SAS Institute,,3
Hainan University,,2
United Arab Emirates University,2
Harvard University,2
Gyeongnam National University of Science and Technology,2
Beijing University of Chinese Medicine,2
National Institutes of Health,,2
Purdue University,2
Università della Calabria,,2
U.S. Department of Agriculture.,2
Science and Technology Development Fund,2
University of Delhi,,2
University of Kansas,2
Council for Scientific and Industrial Research,2
Shahrekord University,2
European Commission,,2
Central Drug Research Institute,2
Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro,2
University of California,,2
EMBO,2
Natural Sciences and Engineering Research Council of Canada,2
National Cancer Institute,,2
U.S. Fish and Wildlife Service,2
Council of Scientific and Industrial Research,2
Cairo University,2
Orange,2
Canada Foundation for Innovation,2
U.S. Department of Commerce,2
Fundação Cearense de Apoio ao Desenvolvimento Científico e Tecnológico,2
Urmia University,,2
Consejo Nacional de Ciencia y Tecnología,2
Universidade Federal do Pará,,2
Université de Liège,,2
Fundação Calouste Gulbenkian,2
Horticultural Research Institute,2
University of Karachi,,2
National Institute of Standards and Technology,,2
Faculty of Pharmacy, Cairo University,,2
Universität Wien,,2
SAS Institute.,2
Leco,2
Korea Basic Science Institute,2
University of Leicester,,2
Food Standards Agency,2
Bayer,2
Empresa Brasileira de Pesquisa Agropecuária,2
National Taiwan University,,2
Royal Society.,1
Concordia University,,1
Huazhong University of Science and Technology,,1
University of Regina,1
State Committee of Science,1
Tyson,1
Avicenna Tajik State Medical University,1
Vrije Universiteit Brussel,1
Shantou University,1
Centers for Disease Control and Prevention,,1
U.S. Geological Survey,,1
Institute of Genetics,1
World Anti-Doping Agency,1
Centers for Disease Control and Prevention.,1
Arak University,,1
Chinese Academy of Sciences.,1
Universidade Federal do Rio Grande do Sul,,1
University of Minnesota,1
University of Tehran,,1
Aligarh Muslim University,,1
Agricultural Research Service,1
Universidad Complutense de Madrid,,1
American Society for Microbiology,1
University of Johannesburg,,1
Kagoshima University,,1
Instituto Politécnico Nacional.,1
Tabriz University of Medical Sciences.,1
Centers for Disease Control and Prevention,1
University of Cambridge,1
Queensland Government,1
Agilent Technologies.,1
Universidad Nacional Autónoma de México.,1
Avicenna Research Institute,1
University of Adelaide,,1
Seoul National University,1
Novartis,1
Shiraz University,,1
Norges Forskningsråd,1
Philips,1
Rijksuniversiteit Groningen;,1
Jinan University,,1
University of Pretoria,,1
Argonne National Laboratory,1
Zhejiang University.,1
Botanical Society of Britain and Ireland,1
Ministry of Education,1
American Cancer Society,1
Borders,1
Universidade Federal de Santa Maria,1
Food and Drug Administration,,1
Food and Drug Administration.,1
Faculty of Pharmacy, Cairo University,1
National Center for Complementary and Integrative Health,1
King Saud University.,1
Isfahan University of Medical Sciences,1
Ain Shams University,1
Argonne National Laboratory,,1
American Chemical Society.,1
International Union of Pure and Applied Chemistry,,1
Technische Universität München;,1
Consejo Superior de Investigaciones Científicas,1
Office of Dietary Supplements;,1
Engineering Laboratory,1
Natural Science Foundation of Shanxi Province,,1
Institute of Food and Agricultural Sciences,1
American Society for Microbiology;,1
Mars,1
Yale University,1
United Arab Emirates University,,1
SAS Institute,1
Universitat de Barcelona,1
Banaras Hindu University,,1
COMSATS Institute of Information Technology,,1
Sultan Qaboos University,,1
Thermo Scientific,,1
Instituto Tecnológico y de Estudios Superiores de Monterrey,,1
Hitachi,1
Guangdong Science and Technology Department,1
Daegu University,,1
World Health Organization;,1
Science and Engineering Research Board,1
University of York,,1
DuPont,1
Cairo University.,1
University of Ottawa,1
Middle Tennessee State University,1
National Academy of Sciences,1
University of North Carolina,1
Universidade de Brasília,,1
Universidad de Alicante,1
Duke University,1
South China University of Technology,,1
U.S. Department of Health and Human Services,,1
Uniwersytet Medyczny w Lodzi,1
Bundesministerium für Ernährung und Landwirtschaft,1
American Institute for Cancer Research,,1
Rural Industries Research and Development Corporation,1
Beijing University of Chinese Medicine.,1
University of Otago,,1
Vanderbilt University,1
Department of Surgery,,1
Health Canada,,1
Mashhad University of Medical Sciences,,1
University of Alberta,1
Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco,1
American Chemical Society;,1
Louisiana State University,1
Faculty of Science, Cairo University.,1
Faculty of Science, Cairo University,,1
United Nations.,1
Urmia University.,1
Bharathiar University,1
Chonbuk National University,,1
Ministry of Environment,1
Quaid-i-Azam University,,1
Institut National Polytechnique de Toulouse,1
Universidad de Murcia,1
University of Adelaide,1
National Academy of Sciences.,1
Ministry of Research and Innovation,1
Alltech,1
The Research Council,1
American Pharmacists Association,1
Generalitat Valenciana;,1
Shandong Province,,1
Ministry of Education,,1
MDC,1
Engineering and Physical Sciences Research Council,1
Brown University,,1
Academy of Scientific Research and Technology,1
University of Florida,1
Agency for Healthcare Research and Quality,1
Ministry of Food and Drug Safety,1
University of British Columbia.,1
McGill University,,1
Bangladesh Council of Scientific and Industrial Research,1
Takasago,1
Ministry of Education;,1
University of Michigan,,1
National Park Service,,1
Cargill,1
State Committee of Science,,1
Columbia University,1
University of Regina,,1
University of Regina.,1
Medizinische Universität Wien,,1
Dongguk University,,1
Universidade de Macau,1
University of Johannesburg,1
Shahrekord University,,1
Zagazig University,,1
Taibah University,1
U.S. Department of Health and Human Services,1
Oregon State University,1
Environmental Protection Agency.,1
National Institute of Standards and Technology;,1
Universidad Michoacana de San Nicolás de Hidalgo,,1
Kermanshah University of Medical Sciences,,1
University Grants Commission,1
Shahid Beheshti University of Medical Sciences,,1
Faculty of Graduate Studies and Research, University of Regina,1
Entomological Society of America,1
Universidade Nova de Lisboa,,1
Agricultural Research Service,,1
Ministry of Research and Innovation,,1
Université de Toulouse,1
