Unnamed: 0,pmcid,fig_no,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7,frequency(yes),link
0,PMC6323817,Fig. 6,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6323817/figure/Fig6/
2,PMC6356271,Fig. 2,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6356271/figure/cells-08-00058-f002/
4,PMC6374618,Fig. 4,no,no,no,no,no,yes,no,no,1,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6374618/figure/F4/
7,PMC6423058,Fig. 2,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6423058/figure/F2/
9,PMC6441073,Fig. 3,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6441073/figure/Fig3/
11,PMC6475556,Figure 7,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6475556/figure/fig7/
12,PMC6486373,Fig. (1),no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6486373/figure/F1/
13,PMC6509841,Fig. 8,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6509841/figure/Fig8/
15,PMC6546118,FIGURE 3,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6546118/figure/F3/
17,PMC6589721,Figure 2,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6589721/figure/mpp12800-fig-0002/
20,PMC6593971,Figure 3,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6593971/figure/jipb12788-fig-0003/
21,PMC6600569,Figure 23,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6600569/figure/ijms-20-02694-f023/
24,PMC6646362,Figure 3,no,no,yes,no,no,no,no,no,1,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6646362/figure/Fig3/
25,PMC6650903,Figure 4,no,no,yes,no,no,no,yes,no,2,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6650903/figure/ijms-20-03307-f004/
26,PMC6651063,Figure 6,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6651063/figure/ijms-20-03321-f006/
27,PMC6651195,Figure 1,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6651195/figure/molecules-24-02452-f001/
28,PMC6667825,Fig. 16,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6667825/figure/fig16/
29,PMC6676540,Fig. 5,no,no,no,no,no,no,no,no,0,https://www.ncbi.nlm.nih.gov//pmc/articles/PMC6676540/figure/Fig5/
