,pmcid,fig_no,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6
0,PMC6323817,Fig. 6,yes,yes,no,no,no,yes,no
1,PMC6348685,Fig. 4,yes,yes,yes,no,yes,yes,no
2,PMC6356271,Fig. 2,yes,yes,no,no,no,yes,no
3,PMC6360084,Fig. 8,yes,no,yes,yes,no,yes,no
4,PMC6374618,Fig. 4,yes,no,no,no,no,no,no
5,PMC6394206,Fig. 5,yes,no,yes,no,no,yes,yes
6,PMC6412517,Fig. 2,no,yes,yes,no,yes,yes,yes
7,PMC6423058,Fig. 2,yes,yes,yes,yes,no,no,no
8,PMC6437448,Fig. 1,yes,no,no,no,yes,no,no
9,PMC6441073,Fig. 3,yes,yes,yes,yes,yes,yes,no
10,PMC6453882,Figure 4,yes,no,yes,no,no,no,yes
11,PMC6475556,Figure 7,no,yes,yes,no,no,no,no
12,PMC6486373,Fig. (1),yes,no,no,no,no,yes,no
13,PMC6509841,Fig. 8,yes,yes,no,no,no,no,no
14,PMC6544981,Fig. 1,yes,yes,yes,no,no,no,no
15,PMC6546118,FIGURE 3,yes,no,yes,no,yes,no,yes
16,PMC6585571,FIGURE 1,yes,no,yes,no,no,yes,no
17,PMC6589721,Figure 2,no,yes,yes,no,no,no,no
18,PMC6589721,Figure 3,yes,no,yes,no,no,no,yes
19,PMC6589726,Figure 1,yes,yes,yes,yes,yes,yes,no
20,PMC6593971,Figure 3,yes,yes,yes,no,no,no,no
21,PMC6600569,Figure 23,yes,no,yes,no,no,no,yes
22,PMC6627501,Figure 1,yes,yes,yes,no,no,no,no
23,PMC6627624,Figure 5,no,no,no,no,no,no,yes
24,PMC6646362,Figure 3,yes,yes,yes,no,yes,yes,no
25,PMC6650903,Figure 4,no,yes,yes,yes,yes,yes,no
26,PMC6651063,Figure 6,no,no,yes,no,yes,no,yes
27,PMC6651195,Figure 1,yes,yes,yes,no,no,yes,yes
28,PMC6667825,Fig. 16,yes,no,no,no,no,yes,no
29,PMC6676540,Fig. 5,yes,no,no,yes,no,no,no
