,pmcid,fig_no,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6
0,PMC6323817,Fig. 6,yes,no,yes,no,yes,yes,no
1,PMC6348685,Fig. 4,yes,yes,yes,no,no,yes,yes
2,PMC6356271,Fig. 2,yes,yes,no,yes,yes,yes,yes
3,PMC6360084,Fig. 8,no,no,yes,no,no,no,no
4,PMC6374618,Fig. 4,yes,no,yes,no,yes,no,no
5,PMC6394206,Fig. 5,yes,yes,yes,yes,yes,no,no
6,PMC6412517,Fig. 2,yes,yes,yes,no,no,yes,no
7,PMC6423058,Fig. 2,yes,yes,yes,no,no,yes,no
8,PMC6437448,Fig. 1,no,no,yes,no,no,yes,yes
9,PMC6441073,Fig. 3,no,no,no,yes,yes,no,yes
10,PMC6453882,Figure 4,yes,yes,no,no,no,no,no
11,PMC6475556,Figure 7,yes,no,yes,no,yes,no,no
12,PMC6486373,Fig. (1),yes,yes,no,no,yes,no,no
13,PMC6509841,Fig. 8,no,no,yes,yes,no,yes,no
14,PMC6544981,Fig. 1,no,no,yes,no,yes,yes,no
15,PMC6546118,FIGURE 3,yes,yes,yes,yes,no,no,yes
16,PMC6585571,FIGURE 1,yes,yes,yes,yes,yes,no,yes
17,PMC6589721,Figure 2,no,no,no,yes,yes,no,no
18,PMC6589721,Figure 3,yes,no,yes,no,yes,yes,no
19,PMC6589726,Figure 1,no,no,yes,yes,yes,yes,no
20,PMC6593971,Figure 3,yes,no,yes,no,yes,no,yes
21,PMC6600569,Figure 23,yes,no,no,no,yes,no,no
22,PMC6627501,Figure 1,no,yes,yes,yes,yes,yes,no
23,PMC6627624,Figure 5,yes,yes,yes,no,no,yes,no
24,PMC6646362,Figure 3,no,yes,no,no,no,no,no
25,PMC6650903,Figure 4,no,no,yes,no,no,no,no
26,PMC6651063,Figure 6,yes,yes,yes,yes,no,yes,no
27,PMC6651195,Figure 1,no,no,yes,no,no,no,no
28,PMC6667825,Fig. 16,yes,yes,yes,yes,no,no,no
29,PMC6676540,Fig. 5,yes,yes,yes,no,yes,yes,no
