Article	Table type	Table Image	"paragraphs just before the table (with title, if any)"	Table_Caption	Keywords_Phrases	Table_Footnote_KEY_Abbreviations	Measurements	Measurement Unit	Method	Plant Material	Targets	"Non-Plant Control Substances, Solvents, Media, Substrate"	Notes	Table Type	Col1	Col2	Col3	Col4	Col5	Col6
PMC5080681	Antimicrobial		"Antibacterial and antifungal activities
The essential oil of T. bovei extracted by microwave-ultrasonic method used in this study exhibited potential bioactivity against the growth of all microbes examined in this study. With all of the studied pathogens, the highest antimicrobial activity (lowest MIC) against microbes examined was seen against Pseudomonas aeruginosa, Staphylococcus aureus and Candida albicans with MIC value of 0.25 mg/ml, while the MIC for Escherichia coli and MRSA was 0.5 mg/ml as shown in Table 4."	Antimicrobial activities of T. bovei essential oil	[ACTIVITY(S)] activities of [PLANT(S)] [EXTRACT(S)]		MIC value	(mg/ml)							Microorganism	MIC value (mg/ml) for T. bovei essential oil				
PMC5132230	antibacterial_MIC		"Microbiological activity of the essential Aeollanthus suaveolens oil
The discovery of new natural products with antibiotic potential is of considerable interest due to the growing resistance of many bacteria to antibiotics currently used for the treatment of infections [33].
Table 4 refers to a microbial activity of essential oil from A. suaveolens. The results showed that gram-negative bacteria Escherichia coli and Salmonella were more susceptible to the essential oil from A. suaveolens, with MIC 50 mg.mL-1 when compared with the gram-positive bacteria Staphylococcus aureus MIC 100 mg.mL-1. With respect to MBC, the OE concentration equivalent to 100 A. suaveolens mg.mL-1 was sufficient to inhibit the growth of E. coli.
"	Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) of the essential oil Aeollanthus suaveolens.	[MEASUREMENT(S)] of the [EXTRACT(S)] [PLANT(S)].	ND: Not Detected	Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC)	mg.mL-1							Microorganism	MIC (mg.mL-1)	MBC (mg.mL-1)			
PMC5203915	antiMicrobialMIC		"3.2. The Higher Antibacterial Activity of R. carthamoides HR and SGR Essential Oils against Gram-Positive and Gram-Negative Bacteria Than against Yeasts
In this study, the Minimum Inhibitory Concentration (MIC), the Minimum Bactericidal Concentration (MBC), and the Minimum Fungicidal Concentration (MFC) of HR and SGR essential oils were investigated against the Gram-positive bacteria, Gram-negative bacteria, and yeasts. It was found that both essential oils showed similar properties. The essential oils showed stronger antibacterial (MIC = 125–250 μg/mL) than antifungal activity (MIC = 625–1250 μg/mL) (Table 2). The highest antibacterial activity with a MIC value of 125 μg/mL was observed against Enterococcus faecalis and Pseudomonas aeruginosa. No significant difference in susceptibility was found between Gram-positive bacteria and Gram-negative bacteria (Table 2). In order to address the bacteriostatic and bactericidal properties of the samples, the MBC values were also evaluated. The MBC values are no more than four times the MIC values observed (Table 2).
"	"Antibacterial and antifungal activity of essential oils from Rhaponticum carthamoides hairy roots (HR) and roots of soil-grown plants (SGR).
The Minimum Inhibitory Concentration (MIC), the Minimum Bactericidal Concentration (MBC), and the Minimum Fungicidal Concentration (MFC) of essential oils were determined using the microdilution assay and are presented in µg/mL."	"[ACTIVITY(S)] activity of [EXTRACT(S)] from [PLANT(S)] [PLANT PART(S)] of [GROWTH MEDIUM?] plants. 
The [MEASUREMENT(S)] of essential oils were determined using the [METHOD(S)] and are presented in [UNIT(S)].
"	"aVancomycin; bnorfloxacin; camphotericin B.
Data represent the median values of at least three replicates.
"		µg/mL	microdilution assay						Microorganism	Essential oil	Positive control			
PMC5324201	Antibacterial_ZOI		"Antimicrobial activity of Anethum sowa L. root essential oil
The results of antimicrobial activity of Anethum sowa L. essential oils are shown in Tables 13, 
,14
14 and Figs. 5 & 6. The oil inhibited the growth of bacterial strains producing a zone diameter of inhibition from 3 to 16 mm, depending on the susceptibility of the tested bacteria and the different dosage level. The highest inhibition of zone was found against Escherichia coli 2799 followed by Pseudomonas aeruginosa and their effects are also higher than standard antibiotic tetracycline and lower than ciprofloxacin. On the other hand, Enterococcus faecalis showed the high resistant to the essential oil. However, other Gram-positive and Gram-negative bacteria exhibited moderate to weak activities than the standard antibiotics. The MICs of the essential oils were within concentration ranges from 62.5 to 250 μg/mL and the respective MBCs were from 125 to 500 μg/mL. The organism like E. coli 12079 and S. typhi were less susceptible to the oil with MICs value of 250 μg/mL respectively. The MIC and MBC values of standard ciprofloxacin were varied between 0.19–6.25 μg/mL and 3.125–100 μg/mL respectively.
"	Anti-bacterial activity (Zone of Inhibition) of Anethum sowa L. root essential oil by diffusion method	[ACTIVITY(S)] activity [MEASUREMENT(S)] of [PLANT(S)] [PART(S)] [EXTRACT(S)] by [METHOD] method	"CP Standard Ciprofloxacin (5 μg/disc), TE Standard Tetracycline (30 μg/disc)"	disk diffusion method	μg/well				"CP Standard Ciprofloxacin (5 μg/disc)
TE Standard Tetracycline (30 μg/disc)"			Test organisms	Zone of Inhibition in mm				
PMC5324201	antibacterial_MIC_MBC			Minimum inhibitory concentration (MIC) and Minimum bactericidal concentration (MBC) of Anethum sowa L. root essential oil and standard ciprofloxacin	[MEASUREMENT(S)] of [PLANT(S)] [PART(S)] [EXTRACT(S)] and standard [CONTROL SUBSTANCE]	Std. CP Standard Ciprofloxacin	"MIC
MBC"	 (μg/mL)				Std. CP Standard Ciprofloxacin			Test organisms	MIC (μg/mL)	MBC (μg/mL)			
PMC5324201	AntiFungal_ZOI		"Antifungal activity of Anethum sowa L. root essential oil
The antifungal activity of the essential oil shown in Table 15. The highest zone of inhibition was shown against A. niger at 800 μg/well but there was no observable zone of inhibition was found in T. sp. On the other hand, no zone was observed at 400 μg/well dose level. The standard drug fluconazole was highly sensitive to all the fungi at the dose of 100 μg/well. In the MICs and MBCs experiments, the essential oil showed the highest inhibition i.e. the lowest MICs and MBCs. In the case of fluconazole, it completely inhibited the entire test fungi."	Anti-fungal activity of Anethum sowa L. root essential oil	[ACTIVITY(S)] activity of [PLANT(S)] [PART(S)] [EXTRACT(S)]				Zone of Inhibition				"Note that the results in the last two columns contain two measurements separated with a “/”
MIC/MBC (μg/mL)"		Fungi	Zone of Inhibition in mm	MIC/MBC (μg/mL)			
PMC5344628	Antibacterial_MIC		"2.3. Minimum Inhibitory Concentration
The minimum inhibitory concentrations of the tested essential oils (EOs of thyme, clove, rosemary, and tea tree oils) are presented in Table 4.
The data presented in Table 4 shows that, from all the essential oils tested in this study, rosemary oil did not show desirable results against the selected fungi.
The results evidenced that the most effective essential oil from the tested oils was thyme essential oil, which displayed strong antifungal activity with MIC values between 116.27 and 174.41 ppm. MIC values of clove, rosemary, and tea tree essential oils were found within the range of 465.11–1395.34 ppm.
"	"Minimum inhibitory concentration (MIC) of essential oils tested against Fusarium graminearum G87, Penicillium corylophilum CBMF1, and Aspergillus brasiliensis ATCC 16404."	[MEASUREMENT(S)] of [EXTRACT(S)] tested against [TARGET(S)]	NA—not applicable.	Minimum inhibitory concentration (MIC) 	 (ppm)					The header on this table is incorrect. I believe “Essential Oil” should be above the columns for each EO result.		Fungal Strain	Essential Oil				
PMC5344628	antiBacterial_DD		"Thyme oil had the highest inhibition zones for the three test strains, followed by tea tree oil, and then by clove oil. Rosemary oil was the least active.
Thyme essential oil is strongly antimicrobial, antifungal, antiviral, antiparasitic, mainly due to the high content of thymol [49]. This is in accordance with other studies that reported that thyme essential oil is efficient against Gram-positive and Gram-negative bacteria [29,30] and fungi [28,51,52].
Due to its antimicrobial, antifungal, antivermin, and antiviral activity [34,35], clove essential oil is used as a preservative but also exhibits other effects with positive impacts on consumer health, including antiseptic, antihelmintic, anti-inflammatory, antispastic, carminative, anti-neuralgic, antiulcer, anti-thrombotic, anticancerinogenic, and anticoagulant activities. Moreover, it acts as a local analgesic [36].
The inhibition zones observed after 24 h were stable and identical after 48 and 72 h of incubation. EOs are less effective in the vapor disc diffusion method compared to the disc diffusion method. Thyme and clove oils had volatile components that had inhibition zones even when the disc with EO had no contact with the bacteria. Thyme had the best effect for all test microorganisms, while clove only had an effect on S. aureus (Table 5)."	Mean Inhibition zone diameter (mm) by the vapor disc diffusion method	[MEASUREMENT(S)] [UNIT(S)] by [METHOD(S)] method		Mean Inhibition zone diameter	(mm)	"Vapor disc diffusion method Vapor Phase Method"				"Find international spellings. Eg: Vapor/vapour"							
PMC5344628	antiBacterial_MIC		"The minimal inhibitory concentration of an antimicrobial agent is the lowest (i.e., minimal) concentration of the antimicrobial agent that inhibits a given bacterial isolate from multiplying and producing visible growth in the test system. This concentration was determined by incubating a known quantity of bacteria with specified dilutions of the antimicrobial agent. Using a similar broth dilution method, Zhang et al. [53] found that MIC was 1.0 mg/mL of cinnamon for both S. aureus and E. coli. Broth microdilution is the most widely used method in clinical laboratories, but agar diffusion is also used. Due to the oily content of EOs, using solvents is needed to obtain homogeneous dilutions. The results obtained using three solvents namely Tween-20, DMSO, and ethanol by the two test methods (agar MIC testing and the broth microdilution test) are shown in Table 6. There are some differences between the test results, but they all showed that thyme is the most effective EO, with a very low concentration needed to inhibit the growth of S. aureus and E. coli, followed by clove and tea tree oils. The thyme oil MIC values with the broth dilution method was approximately 0.39%–3.13% for S. aureus and 1.56%–3.13% for E. coli. Similarly, clove MIC value range were approximately 3.13%–6.26% for S. aureus and 6.25% for E. coli. A strong antimicrobial activity of thyme was also found by Mith et al. [54] when they tested different EOs and determined MIC against both food-borne pathogens and spoilage bacteria with a broth dilution method. The MIC value ranges of tea tree oil were approximately 0.80%–25.00% for S. aureus and 12.5%–25.00% for E. coli."	The minimal inhibitory concentration (MIC) (%) of essential oils in three different solvents (v/v).	[MEASUREMENT(S)] [UNIT(S)] of [EXTRACT(S)] in three different [SOLVENT(S)] [SOLVENT UNIT]	tea tree essential oil (TTO) 	The minimal inhibitory concentration (MIC) (%) of essential oils in three different solvents (v/v).	"(MIC) (%) solvents (v/v)"				"different solvents (v/v)  Tween-20
DMSO
Ethanol
 Agar Broth"								
PMC5364420	AntibacterialMIC_MBC_ZOI		"ZOI, MIC and MBC of the essential oil
The ZOI, MIC, and MBC values of the essential oil from C. rotundus rhizomes are presented in Table 3. The results showed that the essential oil had a satisfactory antibacterial activity on all of the tested Gram-positive and Gram-negative bacteria. The ZOI values of the essential oil were in the range of 10.5–24.4 mm for all tested bacterial strains, respectively. The MIC and MBC values for tested bacterial strains were in the range of 10–40 mg/mL and 20–40 mg/mL, respectively. Unfortunately, the MIC and MBC values of the essential oil for E. coli have not been gained when the concentration of essential oil reached the maximum in method system tested. Of these bacteria, the essential oil performed both a minimum MIC of 10 mg/mL and a minimum MBC of 20 mg/mL against S. aureus and B. subtilis, which indicated it was the most effective bacterial inhibitor and bactericide against B. subtilis. On the whole, the Gram positive bacteria were more sensitive than the Gram-negative ones to the essential oil from C. rotundus rhizomes (p < 0.05). To some extent, these results were consistent with previous studies on antibacterial activity of C. rotundus essential oils17,33, which was likely due to the significant differences in the outer layers of Gram-negative and Gram-positive bacteria. Resistance of Gram-negative bacteria against essential oils is attributed the presence of a hydrophilic outer membrane which possess hydrophilic polysaccharide chain as a barrier hydrophobic essential oil34,35,36."	"ZOI, MIC, and MBC of essential oil from C. rotundus rhizomes."	[MEASUREMENT(S)] of [EXTRACT(S)] from [PLANT(S)] [PARTS(S)]. 	"aValues represent means of three independent replicates ± SD.
bNT, not tested. Different letters within a column indicate statistically significant differences between the means (p < 0.05) for ZOI.
"	"ZOI
MIC
MBC"	"ZOI (mm)
MIC (mg/mL)
MBC (mg/mL)

"		rhizomes	Bacteria				Bacterial strains	ZOI (mm)a	MIC (mg/mL)	MBC (mg/mL)		
