"Status of existing checking account";"Duration in months";"Credit history";"Purpose";"Credit amount";"Savings account/bonds";"Present employment since";"Installment rate in percentage of disposable income";"Personal status and sex";"Other debtors / guarantors";"Present residence since";"Property";"Age in years";"Other installment plans";"Housing";"Number of existing credits at this bank";"Job";"Number of people being liable to provide maintenance for";"Telephone";"Foreign worker";"Score"
"Negative";6;"critical account/ other credits existing (not at this bank)";"radio/television";1169;"unknown / no savings account";"more than 7 years";4;"male (single)";"none";4;"real estate";67;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";48;"existing credits paid back duly till now";"radio/television";5951;"less than 100";"1 to 4 years";2;"female (divorced/separated/married)";"none";2;"real estate";22;"none";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"No checking account";12;"critical account/ other credits existing (not at this bank)";"education";2096;"less than 100";"4 to 7 years";2;"male (single)";"none";3;"real estate";49;"none";"own";1;"unskilled - resident";2;"none";"Yes";"good"
"Negative";42;"existing credits paid back duly till now";"furniture/equipment";7882;"less than 100";"4 to 7 years";2;"male (single)";"guarantor";4;"building society savings agreement/ life insurance";45;"none";"for free";1;"skilled employee / official";2;"none";"Yes";"good"
"Negative";24;"delay in paying off in the past";"car (new)";4870;"less than 100";"1 to 4 years";3;"male (single)";"none";4;"unknown / no property";53;"none";"for free";2;"skilled employee / official";2;"none";"Yes";"bad"
"No checking account";36;"existing credits paid back duly till now";"education";9055;"unknown / no savings account";"1 to 4 years";2;"male (single)";"none";4;"unknown / no property";35;"none";"for free";1;"unskilled - resident";2;"yes, registered under the customers name";"Yes";"good"
"No checking account";24;"existing credits paid back duly till now";"furniture/equipment";2835;"500 to 1000";"more than 7 years";3;"male (single)";"none";4;"building society savings agreement/ life insurance";53;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";36;"existing credits paid back duly till now";"car (used)";6948;"less than 100";"1 to 4 years";2;"male (single)";"none";2;"car or other";35;"none";"rent";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";12;"existing credits paid back duly till now";"radio/television";3059;"more than 1000";"4 to 7 years";2;"male (divorced/separated)";"none";4;"real estate";61;"none";"own";1;"unskilled - resident";1;"none";"Yes";"good"
"0 - 200";30;"critical account/ other credits existing (not at this bank)";"car (new)";5234;"less than 100";"Unemployed";4;"male (married/widowed)";"none";2;"car or other";28;"none";"own";2;"management / self-employed / highly qualified employee / officer";1;"none";"Yes";"bad"
"0 - 200";12;"existing credits paid back duly till now";"car (new)";1295;"less than 100";"less than 1 year";3;"female (divorced/separated/married)";"none";1;"car or other";25;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"bad"
"Negative";48;"existing credits paid back duly till now";"business";4308;"less than 100";"less than 1 year";3;"female (divorced/separated/married)";"none";4;"building society savings agreement/ life insurance";24;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"bad"
"0 - 200";12;"existing credits paid back duly till now";"radio/television";1567;"less than 100";"1 to 4 years";1;"female (divorced/separated/married)";"none";1;"car or other";22;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"Negative";24;"critical account/ other credits existing (not at this bank)";"car (new)";1199;"less than 100";"more than 7 years";4;"male (single)";"none";4;"car or other";60;"none";"own";2;"unskilled - resident";1;"none";"Yes";"bad"
"Negative";15;"existing credits paid back duly till now";"car (new)";1403;"less than 100";"1 to 4 years";2;"female (divorced/separated/married)";"none";4;"car or other";28;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"good"
"Negative";24;"existing credits paid back duly till now";"radio/television";1282;"100 to 500";"1 to 4 years";4;"female (divorced/separated/married)";"none";2;"car or other";32;"none";"own";1;"unskilled - resident";1;"none";"Yes";"bad"
"No checking account";24;"critical account/ other credits existing (not at this bank)";"radio/television";2424;"unknown / no savings account";"more than 7 years";4;"male (single)";"none";4;"building society savings agreement/ life insurance";53;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"Negative";30;"no credits taken / all credits paid back duly";"business";8072;"unknown / no savings account";"less than 1 year";2;"male (single)";"none";3;"car or other";25;"bank";"own";3;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";24;"existing credits paid back duly till now";"car (used)";12579;"less than 100";"more than 7 years";4;"female (divorced/separated/married)";"none";2;"unknown / no property";44;"none";"for free";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";24;"existing credits paid back duly till now";"radio/television";3430;"500 to 1000";"more than 7 years";3;"male (single)";"none";2;"car or other";31;"none";"own";1;"skilled employee / official";2;"yes, registered under the customers name";"Yes";"good"
"No checking account";9;"critical account/ other credits existing (not at this bank)";"car (new)";2134;"less than 100";"1 to 4 years";4;"male (single)";"none";4;"car or other";48;"none";"own";3;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"Negative";6;"existing credits paid back duly till now";"radio/television";2647;"500 to 1000";"1 to 4 years";2;"male (single)";"none";3;"real estate";44;"none";"rent";1;"skilled employee / official";2;"none";"Yes";"good"
"Negative";10;"critical account/ other credits existing (not at this bank)";"car (new)";2241;"less than 100";"less than 1 year";1;"male (single)";"none";3;"real estate";48;"none";"rent";2;"unskilled - resident";2;"none";"No";"good"
"0 - 200";12;"critical account/ other credits existing (not at this bank)";"car (used)";1804;"100 to 500";"less than 1 year";3;"male (single)";"none";4;"building society savings agreement/ life insurance";44;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";10;"critical account/ other credits existing (not at this bank)";"furniture/equipment";2069;"unknown / no savings account";"1 to 4 years";2;"male (married/widowed)";"none";1;"car or other";26;"none";"own";2;"skilled employee / official";1;"none";"No";"good"
"Negative";6;"existing credits paid back duly till now";"furniture/equipment";1374;"less than 100";"1 to 4 years";1;"male (single)";"none";2;"real estate";36;"bank";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";6;"no credits taken / all credits paid back duly";"radio/television";426;"less than 100";"more than 7 years";4;"male (married/widowed)";"none";4;"car or other";39;"none";"own";1;"unskilled - resident";1;"none";"Yes";"good"
"Over 200";12;"all credits at this bank paid back duly";"radio/television";409;"more than 1000";"1 to 4 years";3;"female (divorced/separated/married)";"none";3;"real estate";42;"none";"rent";2;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";7;"existing credits paid back duly till now";"radio/television";2415;"less than 100";"1 to 4 years";3;"male (single)";"guarantor";2;"real estate";34;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"Negative";60;"delay in paying off in the past";"business";6836;"less than 100";"more than 7 years";3;"male (single)";"none";4;"unknown / no property";63;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"0 - 200";18;"existing credits paid back duly till now";"business";1913;"more than 1000";"less than 1 year";3;"male (married/widowed)";"none";3;"real estate";36;"bank";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"Negative";24;"existing credits paid back duly till now";"furniture/equipment";4020;"less than 100";"1 to 4 years";2;"male (single)";"none";2;"car or other";27;"stores";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";18;"existing credits paid back duly till now";"car (new)";5866;"100 to 500";"1 to 4 years";2;"male (single)";"none";2;"car or other";30;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";12;"critical account/ other credits existing (not at this bank)";"business";1264;"unknown / no savings account";"more than 7 years";4;"male (single)";"none";4;"unknown / no property";57;"none";"rent";1;"unskilled - resident";1;"none";"Yes";"good"
"Over 200";12;"existing credits paid back duly till now";"furniture/equipment";1474;"less than 100";"less than 1 year";4;"female (divorced/separated/married)";"none";1;"building society savings agreement/ life insurance";33;"bank";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";45;"critical account/ other credits existing (not at this bank)";"radio/television";4746;"less than 100";"less than 1 year";4;"male (single)";"none";2;"building society savings agreement/ life insurance";25;"none";"own";2;"unskilled - resident";1;"none";"Yes";"bad"
"No checking account";48;"critical account/ other credits existing (not at this bank)";"education";6110;"less than 100";"1 to 4 years";1;"male (single)";"none";3;"unknown / no property";31;"bank";"for free";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"Over 200";18;"existing credits paid back duly till now";"radio/television";2100;"less than 100";"1 to 4 years";4;"male (single)";"co-Applicant";2;"real estate";37;"stores";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"Over 200";10;"existing credits paid back duly till now";"domestic appliances";1225;"less than 100";"1 to 4 years";2;"male (single)";"none";2;"car or other";37;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";9;"existing credits paid back duly till now";"radio/television";458;"less than 100";"1 to 4 years";4;"male (single)";"none";3;"real estate";24;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
